id,timestamp,drone,FCU,id_orig,t_sensor_selection_0,t_ekf2_timestamps_0,t_vehicle_status_flags_0,t_vehicle_status_0,t_vehicle_rates_setpoint_0,t_vehicle_magnetometer_0,t_vehicle_local_position_0,t_vehicle_land_detected_0,t_vehicle_attitude_setpoint_0,t_vehicle_attitude_0,t_vehicle_air_data_0,t_telemetry_status_0,t_system_power_0,t_sensor_preflight_0,t_sensor_combined_0,t_rate_ctrl_status_0,t_estimator_status_0,t_ekf2_innovations_0,t_cpuload_0,t_battery_status_1,t_battery_status_0,t_actuator_outputs_1,t_actuator_outputs_0,t_actuator_controls_0_0,t_yaw_estimator_status_0,t_logger_status_0,t_vehicle_imu_status_0,t_vehicle_imu_0,t_sensor_mag_1,t_sensor_mag_0,t_sensor_gyro_0,t_sensor_gps_0,t_sensor_baro_0,t_sensor_accel_0,t_estimator_status_flags_0,t_estimator_states_0,t_estimator_sensor_bias_0,t_estimator_innovations_0,t_estimator_innovation_variances_0,t_estimator_innovation_test_ratios_0,t_estimator_event_flags_0,t_ekf_gps_drift_0,t_telemetry_status_1,t_multirotor_motor_limits_0,t_vehicle_angular_acceleration_0,t_vehicle_local_position_setpoint_0,t_vehicle_gps_position_0,t_vehicle_global_position_0,t_vehicle_control_mode_0,t_vehicle_constraints_0,t_vehicle_angular_velocity_0,t_vehicle_acceleration_0,t_trajectory_setpoint_0,t_test_motor_0,t_takeoff_status_0,t_sensors_status_imu_0,t_sensor_preflight_mag_0,t_safety_0,t_rtl_flight_time_0,t_radio_status_0,t_position_setpoint_triplet_0,t_parameter_update_0,t_mission_result_0,t_manual_control_switches_0,t_manual_control_setpoint_0,t_input_rc_0,t_home_position_0,t_commander_state_0,t_actuator_controls_3_0,t_actuator_armed_0,t_vehicle_imu_status_1,t_vehicle_imu_1,t_sensor_gyro_1,t_sensor_accel_1,t_px4io_status_0,t_hover_thrust_estimate_0,t_vehicle_command_0,t_follow_target_0
0,2021-01-24 16:42:42,,,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2021-08-12 15:28:46,,,0,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
2,2021-05-23 14:39:42,,,10,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False
3,2021-08-12 15:55:52,,,10,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False
4,2021-05-23 14:42:30,,,11,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False
5,2021-08-12 15:58:30,,,11,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
6,2021-05-23 14:42:54,,,12,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False
7,2021-08-12 15:59:54,,,12,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False
8,2021-06-12 17:27:16,,,13,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False
9,2021-08-12 16:00:26,,,13,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False
10,2021-06-12 17:28:06,,,14,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False
11,2021-08-12 16:00:58,,,14,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
12,2021-06-12 17:28:56,,,15,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False
13,2021-08-12 16:01:30,,,15,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False
14,2021-06-12 17:30:46,,,16,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,True,True,False,True,False,True,True,True,True,True,True,False,False,False
15,2021-08-12 16:02:42,,,16,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False
16,2021-06-12 17:31:44,,,17,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False
17,2021-08-12 18:11:58,,,17,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False
18,2021-06-12 17:31:58,,,18,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False
19,2021-08-12 18:17:34,,,18,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False
