timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
82060418,0.01610152,0.10462061,0.003080354,0
82290949,0.016857516,0.097954094,0.0027922806,0
82471361,0.017925447,0.09213292,0.0026662943,0
82651776,0.01785761,0.086823076,0.0029548062,0
82852236,0.018256765,0.083682224,0.002687488,0
83052697,0.019751314,0.07770202,0.0028402763,0
83243134,0.020317191,0.072861515,0.0029590875,0
83463640,0.021887315,0.068754815,0.0027891519,0
83654082,0.02252654,0.06264786,0.0029401376,0
83854539,0.02419471,0.058191754,0.0026829033,0
84054999,0.02485407,0.05232323,0.0028498028,0
84255459,0.026541673,0.045572054,0.0028012847,0
84455919,0.028217005,0.040056884,0.0028364228,0
84646357,0.02889623,0.034874413,0.0028098118,0
84856842,0.030545745,0.027458906,0.0029664857,0
85057300,0.032187752,0.022711188,0.0027014692,0
85247739,0.033822056,0.015469238,0.0027286077,0
85468245,0.03503901,0.008429389,0.0025191105,0
85658682,0.03665223,0.0017760042,0.0025389914,0
85849119,0.038205836,0.0039616497,0.002445877,0
86049579,0.03941492,0.009986479,0.0023163727,0
86250040,0.04087396,0.015180027,0.0022781976,0
86450500,0.042329222,0.020972861,0.0023235725,0
86660983,0.043409836,0.026441647,0.0022254097,0
86851420,0.043539573,0.031822473,0.001834004,0
87051881,0.04495873,0.036402132,0.0019495874,0
87242318,0.046355244,0.041092087,0.0019116378,0
87472847,0.046283666,0.0458652,0.0017751317,0
87653283,0.04772547,0.050536867,0.002151091,0
87853722,0.049049783,0.053123668,0.0019447515,0
88054183,0.05000854,0.057557546,0.0019634562,0
88254643,0.050316248,0.061203275,0.0017853276,0
88455103,0.05124804,0.06487855,0.001964344,0
88645540,0.0525269,0.06721156,0.0019494361,0
88856023,0.052418035,0.06873051,0.0019426969,0
89056484,0.05331355,0.07025354,0.0017108938,0
89256944,0.05331355,0.07025354,0.0017108938,1
89457404,0.05331355,0.07025354,0.0017108938,1
89657865,0.05331355,0.07025354,0.0017108938,1
89858330,0.05331355,0.07025354,0.0017108938,1
90048762,0.05331355,0.07025354,0.0017108938,1
90249227,0.05331355,0.07025354,0.0017108938,1
90459706,0.05331355,0.07025354,0.0017108938,1
90660167,0.05331355,0.07025354,0.0017108938,1
90850604,0.05331355,0.07025354,0.0017108938,1
91071109,0.05331355,0.07025354,0.0017108938,1
91251525,0.05331355,0.07025354,0.0017108938,1
91482053,0.05331355,0.07025354,0.0017108938,1
91652444,0.05331355,0.07025354,0.0017108938,1
91852905,0.05331355,0.07025354,0.0017108938,1
92053365,0.05331355,0.07025354,0.0017108938,1
92253846,0.05331355,0.07025354,0.0017108938,1
92454285,0.05331355,0.07025354,0.0017108938,1
92644724,0.05331355,0.07025354,0.0017108938,1
92845182,0.05331355,0.07025354,0.0017108938,1
93045643,0.05331355,0.07025354,0.0017108938,1
93246117,0.05331355,0.07025354,0.0017108938,1
