timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
653160423,2,0,98,95,93,34,49
654186425,2,0,99,98,100,35,62
655107435,2,0,94,96,95,47,52
656151955,2,0,104,97,100,34,50
657070641,2,0,115,112,100,31,54
658107423,2,0,109,105,100,42,49
659163584,2,0,120,122,100,40,65
660082549,2,0,128,123,99,40,64
661116428,2,0,121,109,95,44,69
662160662,2,0,142,138,94,36,54
663084546,2,0,139,136,100,36,48
664117420,2,0,124,119,96,35,47
665176421,2,0,135,133,99,37,49
666209417,2,0,124,121,100,31,71
667141420,2,0,123,119,93,40,63
668171421,2,0,120,120,100,35,64
669098502,2,0,123,121,95,38,48
670128411,2,0,119,118,100,36,62
671182416,2,0,127,125,93,35,62
672087420,2,0,141,135,100,35,50
673148411,2,0,137,137,94,31,61
674074469,2,0,127,119,100,56,47
675091344,2,0,122,115,96,39,52
676132619,2,0,127,121,100,31,59
677187423,2,0,128,127,97,35,54
678095528,2,0,122,125,99,40,50
679157418,2,0,130,125,95,36,64
680194660,2,0,126,123,95,35,53
681109957,2,0,123,121,95,35,59
682143521,2,0,111,115,96,37,66
683073425,2,0,120,119,99,39,59
