timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
670153476,0,0,167,162,100,34,39
671097436,0,0,168,162,98,31,48
672119414,0,0,162,157,97,46,43
673178435,0,0,165,160,90,43,34
674081655,0,0,155,144,97,35,31
675135539,0,0,155,150,99,36,51
676167411,0,0,156,152,95,35,46
677087414,0,0,160,156,100,37,45
678076283,0,0,160,154,100,39,40
679084073,0,0,168,162,100,41,43
680103435,0,0,160,158,91,42,35
681149427,0,0,158,154,100,41,44
682088416,0,0,159,155,100,46,40
683112419,0,0,161,157,100,45,41
684144702,0,0,159,155,100,37,48
685084448,0,0,153,151,97,46,36
686107490,0,0,156,158,100,39,36
687142669,0,0,156,151,98,43,44
688101621,0,0,157,149,100,38,37
689110551,0,0,159,151,100,39,34
690150961,0,0,162,154,100,46,37
691208422,0,0,162,155,91,39,38
692121431,0,0,165,158,100,39,46
693161421,0,0,167,161,97,38,44
694085175,0,0,168,162,100,42,50
695113418,0,0,169,164,97,49,36
696083419,0,0,170,164,100,44,44
697086502,0,0,163,165,97,33,31
698136420,0,0,154,145,100,53,53
699171414,0,0,134,115,100,47,37
700103796,0,0,135,129,100,47,44
701130431,0,0,150,147,100,40,46
702171417,0,0,151,140,100,43,41
703221725,0,0,144,134,100,48,38
704143146,0,0,137,126,100,42,39
705173415,0,0,142,129,100,46,41
706098600,0,0,154,153,100,41,37
707130418,0,0,159,151,100,39,45
708173637,0,0,159,157,100,45,34
709106416,0,0,148,145,100,40,37
710139421,0,0,159,155,100,40,42
711192419,0,0,163,160,99,42,48
712110487,0,0,151,147,98,38,33
713144420,0,0,160,157,100,37,46
714100426,0,0,161,158,100,44,39
715124742,0,0,155,150,97,39,46
716164414,0,0,155,149,100,36,54
717080411,0,0,167,160,100,37,51
718126417,0,0,174,169,100,38,48
719115516,0,0,174,170,100,39,43
720087468,0,0,174,170,100,37,36
721130475,0,0,166,162,96,40,36
722152413,0,0,162,157,100,39,48
723086440,0,0,162,156,100,37,38
724119625,0,0,152,146,100,44,49
