timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
167161421,1,0,114,110,96,36,48
168075562,1,0,112,105,100,41,53
169118487,1,0,112,106,95,37,62
170159587,1,0,110,104,100,39,61
171096461,1,0,115,111,95,42,48
172153495,1,0,116,111,100,40,66
173176624,1,0,118,111,96,40,65
174092421,1,0,124,111,97,38,50
175125423,1,0,144,140,97,37,44
176163422,1,0,148,145,99,36,61
177082462,1,0,148,144,97,40,45
178136434,1,0,148,144,92,43,53
179177429,1,0,148,145,100,38,46
180091419,1,0,148,145,97,39,58
181136666,1,0,147,142,100,37,51
182165651,1,0,147,143,99,38,57
183111427,1,0,149,143,95,57,60
184132418,1,0,149,145,98,42,59
185083746,1,0,150,144,100,41,58
186097422,1,0,149,143,98,39,61
187153431,1,0,147,142,100,38,64
188184603,1,0,145,141,97,41,54
189115423,1,0,144,139,95,38,61
190143869,1,0,145,140,97,40,53
191080411,1,0,146,140,100,40,58
192116640,1,0,147,141,97,37,46
193155586,1,0,148,141,100,45,49
194089641,1,0,148,142,100,42,65
195113838,1,0,149,143,95,34,55
196167503,1,0,150,144,91,43,59
197076599,1,0,150,145,100,43,64
198130644,1,0,150,146,93,43,48
199159699,1,0,150,146,100,45,64
200075587,1,0,150,146,98,55,63
201137427,1,0,151,146,94,40,47
202147582,1,0,151,146,98,47,49
203090426,1,0,151,146,97,43,60
204114543,1,0,151,147,96,41,60
205179449,1,0,152,148,100,36,60
206076411,1,0,152,149,96,55,55
207137439,1,0,153,149,94,43,52
208168465,1,0,153,149,97,40,53
209100418,1,0,153,148,95,38,67
210131453,1,0,153,148,100,37,67
211184508,1,0,153,148,99,37,59
212101224,1,0,153,148,100,47,50
213151419,1,0,153,147,100,34,61
214190426,1,0,149,142,93,43,59
215099434,1,0,149,142,95,41,52
216152566,1,0,149,144,98,34,64
217073414,1,0,149,144,100,39,61
218099538,1,0,149,144,100,38,56
219077816,1,0,149,141,97,44,58
220190420,1,0,149,142,97,38,63
221147465,1,0,149,142,91,42,50
222155619,1,0,149,143,97,44,60
223072429,1,0,149,142,100,41,54
224107532,1,0,149,142,96,40,48
225167653,1,0,148,140,95,41,49
226084414,1,0,148,141,100,40,54
227126590,1,0,149,142,95,40,61
228154411,1,0,151,146,100,35,65
229088430,1,0,152,147,98,43,59
230119423,1,0,152,147,100,37,56
231081425,1,0,152,147,97,39,49
232095699,1,0,152,145,99,39,58
233136504,1,0,152,147,98,38,54
234180417,1,0,152,145,93,38,55
235095897,1,0,152,145,96,49,50
236130987,1,0,152,145,100,39,52
237097420,1,0,152,145,96,49,49
238101444,1,0,152,145,100,37,52
239143457,1,0,152,145,98,39,50
240189429,1,0,152,146,100,38,54
241098427,1,0,152,146,95,40,56
242155609,1,0,152,146,100,42,56
243075301,1,0,152,144,100,39,56
244121950,1,0,150,142,97,42,58
245152533,1,0,146,141,93,47,65
246180202,1,0,121,119,97,38,61
247111548,1,0,116,103,95,33,51
248145424,1,0,112,105,97,37,48
249075425,1,0,112,107,100,38,49
250108435,1,0,112,102,98,32,45
251164645,1,0,116,110,95,33,57
