timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
787078443,4,0,99,100,100,38,66
788236524,4,0,110,104,95,42,68
789154417,4,0,108,112,97,40,63
790195674,4,0,113,113,97,30,63
791113423,4,0,121,113,93,45,51
792157422,4,0,135,134,90,39,49
793083435,4,0,137,132,100,36,55
794123421,4,0,136,132,91,43,53
795157484,4,0,135,136,100,48,52
796084442,4,0,146,147,97,34,53
797159927,4,0,131,129,100,35,65
798078919,4,0,123,119,100,34,56
799096421,4,0,125,121,94,31,52
800114416,4,0,138,140,95,40,72
801176717,4,0,140,141,97,56,60
802099414,4,0,144,143,100,43,56
803141658,4,0,137,135,96,39,63
804172418,4,0,139,136,96,40,50
805090424,4,0,143,140,96,37,70
806136009,4,0,151,147,96,36,60
807185425,4,0,149,148,97,29,65
808104014,4,0,140,141,95,34,45
809141651,4,0,140,137,91,43,57
810191499,4,0,132,125,96,40,61
811109641,4,0,128,123,93,38,56
812147421,4,0,127,119,96,37,56
813181429,4,0,135,130,98,33,54
814103637,4,0,130,123,100,41,50
815267423,4,0,128,115,95,41,67
816081422,4,0,109,108,100,36,47
817109761,4,0,101,95,93,49,62
818145460,4,0,102,102,96,40,52
819087424,4,0,100,97,97,34,51
