timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
29126042,4,0,116,111,98,38,59
30076425,4,0,113,104,100,29,49
31119418,4,0,117,107,97,36,58
32137449,4,0,114,109,100,36,30
33166456,4,0,115,116,93,35,40
34099425,4,0,115,108,100,35,46
35128420,4,0,115,106,97,32,51
36085427,4,0,117,112,98,50,48
37079416,4,0,113,103,100,32,46
38127543,4,0,114,106,98,40,44
39175438,4,0,113,102,97,33,38
40088461,4,0,116,106,100,39,40
41135419,4,0,120,110,97,51,41
42177144,4,0,117,110,96,38,41
43091421,4,0,119,109,98,27,41
44140369,4,0,119,107,94,29,51
