timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
84401536,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
84906107,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
85413206,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
85924173,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86431104,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86938104,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
87447069,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
87955110,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
88461070,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
88967450,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
89473071,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
89980069,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
90487092,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
90993210,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
91502069,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
92008071,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
92019199,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
92530233,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
