timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
704700434,1,0,1,1,0,0,1,1,0,1,1,1,1,0
705203118,1,0,1,1,0,0,1,1,0,1,1,1,1,0
705712966,1,0,1,1,0,0,1,1,0,1,1,1,1,0
706213973,1,0,1,1,0,0,1,1,0,1,1,1,1,0
706722929,1,0,1,1,0,0,1,1,0,1,1,1,1,0
707233185,1,0,1,1,0,0,1,1,0,1,1,1,1,0
707741932,1,0,1,1,0,0,1,1,0,1,1,1,1,0
708250968,1,0,1,1,0,0,1,1,0,1,1,1,1,0
708751104,1,0,1,1,0,0,1,1,0,1,1,1,1,0
709261032,1,0,1,1,0,0,1,1,0,1,1,1,1,0
709773320,1,0,1,1,0,0,1,1,0,1,1,1,1,0
710284070,1,0,1,1,0,0,1,1,0,1,1,1,1,0
710794281,1,0,1,1,0,0,1,1,0,1,1,1,1,0
711304062,1,0,1,1,0,0,1,1,0,1,1,1,1,0
711816249,1,0,1,1,0,0,1,1,0,1,1,1,1,0
712326926,1,0,1,1,0,0,1,1,0,1,1,1,1,0
712835929,1,0,1,1,0,0,1,1,0,1,1,1,1,0
713336934,1,0,1,1,0,0,1,1,0,1,1,1,1,0
713845932,1,0,1,1,0,0,1,1,0,1,1,1,1,0
714345975,1,0,1,1,0,0,1,1,0,1,1,1,1,0
714724327,0,0,1,1,0,0,1,1,0,1,1,1,1,0
715228926,0,0,1,1,0,0,1,1,0,1,1,1,1,0
