timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
172186097,1,0,1,1,0,0,1,1,0,0,0,1,1,0
172690154,1,0,1,1,0,0,1,1,0,0,0,1,1,0
173196736,1,0,1,1,0,0,1,1,0,0,0,1,1,0
173696927,1,0,1,1,0,0,1,1,0,0,0,1,1,0
174205930,1,0,1,1,0,0,1,1,0,0,0,1,1,0
174715974,1,0,1,1,0,0,1,1,0,0,0,1,1,0
175227755,1,0,1,1,0,0,1,1,0,0,0,1,1,0
175404670,1,0,1,1,0,0,1,1,0,1,1,1,1,0
175914048,1,0,1,1,0,0,1,1,0,1,1,1,1,0
176414136,1,0,1,1,0,0,1,1,0,1,1,1,1,0
176915971,1,0,1,1,0,0,1,1,0,1,1,1,1,0
177425969,1,0,1,1,0,0,1,1,0,1,1,1,1,0
177936932,1,0,1,1,0,0,1,1,0,1,1,1,1,0
178447547,1,0,1,1,0,0,1,1,0,1,1,1,1,0
178956935,1,0,1,1,0,0,1,1,0,1,1,1,1,0
179466195,1,0,1,1,0,0,1,1,0,1,1,1,1,0
179975932,1,0,1,1,0,0,1,1,0,1,1,1,1,0
180486930,1,0,1,1,0,0,1,1,0,1,1,1,1,0
180996969,1,0,1,1,0,0,1,1,0,1,1,1,1,0
181507939,1,0,1,1,0,0,1,1,0,1,1,1,1,0
182010967,1,0,1,1,0,0,1,1,0,1,1,1,1,0
182514050,1,0,1,1,0,0,1,1,0,1,1,1,1,0
183014339,1,0,1,1,0,0,1,1,0,1,1,1,1,0
183514938,1,0,1,1,0,0,1,1,0,1,1,1,1,0
184016783,1,0,1,1,0,0,1,1,0,1,1,1,1,0
184526332,1,0,1,1,0,0,1,1,0,1,1,1,1,0
185035939,1,0,1,1,0,0,1,1,0,1,1,1,1,0
185536962,1,0,1,1,0,0,1,1,0,1,1,1,1,0
186036983,1,0,1,1,0,0,1,1,0,1,1,1,1,0
186547930,1,0,1,1,0,0,1,1,0,1,1,1,1,0
187057265,1,0,1,1,0,0,1,1,0,1,1,1,1,0
187567978,1,0,1,1,0,0,1,1,0,1,1,1,1,0
188078939,1,0,1,1,0,0,1,1,0,1,1,1,1,0
188587927,1,0,1,1,0,0,1,1,0,1,1,1,1,0
189088013,1,0,1,1,0,0,1,1,0,1,1,1,1,0
189597931,1,0,1,1,0,0,1,1,0,1,1,1,1,0
190097975,1,0,1,1,0,0,1,1,0,1,1,1,1,0
190608097,1,0,1,1,0,0,1,1,0,1,1,1,1,0
191116929,1,0,1,1,0,0,1,1,0,1,1,1,1,0
191617944,1,0,1,1,0,0,1,1,0,1,1,1,1,0
192121930,1,0,1,1,0,0,1,1,0,1,1,1,1,0
192624257,1,0,1,1,0,0,1,1,0,1,1,1,1,0
193132932,1,0,1,1,0,0,1,1,0,1,1,1,1,0
193633061,1,0,1,1,0,0,1,1,0,1,1,1,1,0
194141179,1,0,1,1,0,0,1,1,0,1,1,1,1,0
194649937,1,0,1,1,0,0,1,1,0,1,1,1,1,0
195154047,1,0,1,1,0,0,1,1,0,1,1,1,1,0
195659013,1,0,1,1,0,0,1,1,0,1,1,1,1,0
196170180,1,0,1,1,0,0,1,1,0,1,1,1,1,0
196676244,1,0,1,1,0,0,1,1,0,1,1,1,1,0
197186977,1,0,1,1,0,0,1,1,0,1,1,1,1,0
197695800,1,0,1,1,0,0,1,1,0,1,1,1,1,0
198209287,1,0,1,1,0,0,1,1,0,1,1,1,1,0
198710968,1,0,1,1,0,0,1,1,0,1,1,1,1,0
199211011,1,0,1,1,0,0,1,1,0,1,1,1,1,0
199720975,1,0,1,1,0,0,1,1,0,1,1,1,1,0
200222900,1,0,1,1,0,0,1,1,0,1,1,1,1,0
200732888,1,0,1,1,0,0,1,1,0,1,1,1,1,0
201242930,1,0,1,1,0,0,1,1,0,1,1,1,1,0
201742971,1,0,1,1,0,0,1,1,0,1,1,1,1,0
202252931,1,0,1,1,0,0,1,1,0,1,1,1,1,0
202465522,1,0,1,0,1,0,1,1,0,1,1,1,1,0
202974930,1,0,1,0,1,0,1,1,0,1,1,1,1,0
203475170,1,0,1,0,1,0,1,1,0,1,1,1,1,0
203983215,1,0,1,0,1,0,1,1,0,1,1,1,1,0
204494095,1,0,1,0,1,0,1,1,0,1,1,1,1,0
204994157,1,0,1,0,1,0,1,1,0,1,1,1,1,0
205502932,1,0,1,0,1,0,1,1,0,1,1,1,1,0
206002963,1,0,1,0,1,0,1,1,0,1,1,1,1,0
206505931,1,0,1,0,1,0,1,1,0,1,1,1,1,0
207005947,1,0,1,0,1,0,1,1,0,1,1,1,1,0
207518266,1,0,1,0,1,0,1,1,0,1,1,1,1,0
208020953,1,0,1,0,1,0,1,1,0,1,1,1,1,0
208527970,1,0,1,0,1,0,1,1,0,1,1,1,1,0
209037202,1,0,1,0,1,0,1,1,0,1,1,1,1,0
209540805,1,0,1,0,1,0,1,1,0,1,1,1,1,0
210041069,1,0,1,0,1,0,1,1,0,1,1,1,1,0
210546007,1,0,1,0,1,0,1,1,0,1,1,1,1,0
211049192,1,0,1,0,1,0,1,1,0,1,1,1,1,0
211552021,1,0,1,0,1,0,1,1,0,1,1,1,1,0
212052057,1,0,1,0,1,0,1,1,0,1,1,1,1,0
212555928,1,0,1,0,1,0,1,1,0,1,1,1,1,0
213067643,1,0,1,0,1,0,1,1,0,1,1,1,1,0
213578150,1,0,1,0,1,0,1,1,0,1,1,1,1,0
