timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
670774107,1,0,1,1,0,0,1,1,0,0,0,1,1,0
671274256,1,0,1,1,0,0,1,1,0,0,0,1,1,0
671784405,1,0,1,1,0,0,1,1,0,0,0,1,1,0
672292941,1,0,1,1,0,0,1,1,0,0,0,1,1,0
672793199,1,0,1,1,0,0,1,1,0,0,0,1,1,0
673305110,1,0,1,1,0,0,1,1,0,0,0,1,1,0
673592485,1,0,1,1,0,0,1,1,0,1,1,1,1,0
674100979,1,0,1,1,0,0,1,1,0,1,1,1,1,0
674611286,1,0,1,1,0,0,1,1,0,1,1,1,1,0
675122654,1,0,1,1,0,0,1,1,0,1,1,1,1,0
675632935,1,0,1,1,0,0,1,1,0,1,1,1,1,0
676143163,1,0,1,1,0,0,1,1,0,1,1,1,1,0
676652048,1,0,1,1,0,0,1,1,0,1,1,1,1,0
677152278,1,0,1,1,0,0,1,1,0,1,1,1,1,0
677662009,1,0,1,1,0,0,1,1,0,1,1,1,1,0
678172935,1,0,1,1,0,0,1,1,0,1,1,1,1,0
678684524,1,0,1,1,0,0,1,1,0,1,1,1,1,0
679195006,1,0,1,1,0,0,1,1,0,1,1,1,1,0
679698140,1,0,1,1,0,0,1,1,0,1,1,1,1,0
680206957,1,0,1,1,0,0,1,1,0,1,1,1,1,0
680716735,1,0,1,1,0,0,1,1,0,1,1,1,1,0
681224931,1,0,1,1,0,0,1,1,0,1,1,1,1,0
681726266,1,0,1,1,0,0,1,1,0,1,1,1,1,0
682227983,1,0,1,1,0,0,1,1,0,1,1,1,1,0
682728930,1,0,1,1,0,0,1,1,0,1,1,1,1,0
683238981,1,0,1,1,0,0,1,1,0,1,1,1,1,0
683750062,1,0,1,1,0,0,1,1,0,1,1,1,1,0
684258932,1,0,1,1,0,0,1,1,0,1,1,1,1,0
684759012,1,0,1,1,0,0,1,1,0,1,1,1,1,0
685192943,1,0,1,0,1,0,1,1,0,1,1,1,1,0
685701813,1,0,1,0,1,0,1,1,0,1,1,1,1,0
686204053,1,0,1,0,1,0,1,1,0,1,1,1,1,0
686297444,1,0,1,1,0,0,1,1,0,1,1,1,1,0
686800937,1,0,1,1,0,0,1,1,0,1,1,1,1,0
687302968,1,0,1,1,0,0,1,1,0,1,1,1,1,0
687809059,1,0,1,1,0,0,1,1,0,1,1,1,1,0
688316069,1,0,1,1,0,0,1,1,0,1,1,1,1,0
688818472,1,0,1,1,0,0,1,1,0,1,1,1,1,0
689329049,1,0,1,1,0,0,1,1,0,1,1,1,1,0
689838970,1,0,1,1,0,0,1,1,0,1,1,1,1,0
690347967,1,0,1,1,0,0,1,1,0,1,1,1,1,0
690857935,1,0,1,1,0,0,1,1,0,1,1,1,1,0
691358154,1,0,1,1,0,0,1,1,0,1,1,1,1,0
691869250,1,0,1,1,0,0,1,1,0,1,1,1,1,0
692378930,1,0,1,1,0,0,1,1,0,1,1,1,1,0
692879000,1,0,1,1,0,0,1,1,0,1,1,1,1,0
693387970,1,0,1,1,0,0,1,1,0,1,1,1,1,0
693899162,1,0,1,1,0,0,1,1,0,1,1,1,1,0
694409939,1,0,1,1,0,0,1,1,0,1,1,1,1,0
694912086,1,0,1,1,0,0,1,1,0,1,1,1,1,0
