timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
208577296,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
209081075,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
209587235,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
210095359,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
210604543,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
211111112,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
211618756,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
212124616,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
212630089,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
213136076,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
213643566,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
214150108,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
214469304,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
214976076,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
215482757,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
215989074,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
216497075,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
217005107,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
217512394,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
218018235,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
218524865,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
218634752,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
219145073,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
