timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
78715265,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
79219456,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
79726070,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80233072,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80741080,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
81249113,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
81755273,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
82264104,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
82771834,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
83277475,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
83784226,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
84291094,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
84798377,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
85305228,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
85812068,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86320121,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86827071,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
87333072,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
87839071,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
88346112,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
88853072,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
89362071,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
89868073,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
90375233,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
90882169,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
91389070,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
91895243,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
92402100,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
92710334,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
92979202,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
93490099,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
