timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
548029811,548029427,3801098,-0.022690132,0.05438175,-0.006924219,39.443085,0,10
549031276,549030876,3801098,-0.009853696,-0.02892193,0.008841695,39.394127,0,10
550028954,550028565,3801098,-0.013422332,0.08942895,-0.048203215,39.198288,0,10
551029143,551028758,3801098,0.010599381,-0.015339808,-0.001970739,39.394127,0,10
552030584,552030199,3801098,-0.026791401,-0.006711166,0.037497308,39.10037,0,10
553032024,553031639,3801098,-0.014274543,0.040480047,-0.0073503247,39.247246,0,10
554029717,554029332,3801098,0.03898868,-0.018588865,0.039947417,39.247246,0,10
555029914,555029522,3801098,0.016138757,0.05454154,0.021944448,39.051407,0,10
556031358,556030958,3801098,0.024501082,-0.014860439,0.010812434,39.247246,0,10
557029043,557028649,3801098,-0.04415521,0.054594804,-0.0063383235,39.051407,0,10
