timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
19625911,19625525,3801098,0.00085221155,0.016777916,-0.06119944,43.55569,0,10
20624988,20624582,3801098,0.021145498,-0.0021837922,-0.03169162,43.310894,0,10
21626525,21626133,3801098,-0.032437302,0.006924219,-0.07542072,42.968178,0,10
22626817,22626431,3801098,0.11510182,-0.047670584,0.03259709,43.017136,0,10
23624619,23624233,3801098,-0.13646038,0.081226416,0.019654129,43.066097,0,10
24626169,24625783,3801098,0.47963533,-0.3016829,0.064075656,42.968178,0,10
25626481,25626081,3801098,0.3121225,-0.060613547,0.103756756,42.968178,0,10
26624267,26623881,3801098,0.2531601,0.0793622,0.009321064,42.821297,0,10
27625819,27625428,3801098,-0.9141034,-0.19867182,-0.09608685,42.821297,0,10
28626117,28625724,3801098,-0.30940607,-0.010812434,-0.103756756,42.77234,0,10
29627654,29627269,3801098,0.17022926,-0.39398804,0.12405004,42.968178,0,10
30625459,30625067,3801098,-0.21401162,0.17401095,-0.08937569,42.87026,0,10
31625754,31625362,3801098,-0.7635816,0.0052197957,0.025726136,42.67442,0,10
32627294,32626907,3801098,0.6826215,-0.047883637,-0.11190603,43.066097,0,10
33623839,33623453,3801098,0.043835633,-0.29885995,0.23659523,42.67442,0,10
34625387,34624993,3801098,-1.646739,0.13795175,-0.0053263223,43.017136,0,10
35624440,35624047,3801098,0.34461305,0.32330775,0.07563377,42.87026,0,10
36624711,36624325,3801098,0.038083203,0.18924423,-0.025353294,42.625458,0,10
37625027,37624618,3801098,-0.3283145,-0.013848438,-0.046072688,42.52754,0,10
38626546,38626152,3801098,-0.022370553,0.18136127,-0.010652645,42.67442,0,10
39626831,39626446,3801098,-0.23105586,-0.06295713,0.036964677,42.625458,0,10
40625866,40625475,3801098,-0.11968246,-0.054754592,0.032011196,42.47858,0,10
41624912,41624509,3801098,-0.2461826,-0.12751216,0.07600662,42.28274,0,10
42626430,42626037,3801098,-0.5729525,0.44975466,-0.0037816889,42.47858,0,10
43627963,43627571,3801098,0.4811267,0.23078954,0.12804478,42.331703,0,10
44624493,44624099,3801098,0.379607,-0.031212248,0.17853832,42.086903,0,10
45626014,45625625,3801098,-0.091186635,-0.095074855,-0.0618386,42.28274,0,10
46626300,46625905,3801098,-0.2825614,-0.32565135,0.08032094,42.086903,0,10
47624070,47623676,3801098,0.33811495,0.23568976,-0.06881608,41.988983,0,10
48625575,48625190,3801098,-0.13912353,-0.016937705,0.030306773,41.744186,0,10
49625838,49625453,3801098,-0.14610101,-0.07952199,0.0036751623,41.744186,0,10
50627356,50626965,3801098,-0.02412824,0.030360037,-0.002876214,41.69523,0,10
