timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
82278611,82278431,3932170,0.006338324,-0.014114754,-0.004527374,37.141983,0
82279855,82279678,3932170,0.005912218,-0.015765915,-0.0015446335,37.141983,0
83279647,83279470,3932170,0.010812435,-0.016138757,-0.0041012685,37.239902,0
84280691,84280516,3932170,0.0063915867,-0.014274544,-0.0002663161,37.141983,0
85281747,85281566,3932170,0.0076699043,-0.016138757,-0.0045806374,37.093025,0
86279031,86278856,3932170,0.009321064,-0.012037489,-0.006870956,37.141983,0
87280079,87279904,3932170,0.008468852,-0.015499598,-0.0030360038,37.239902,0
88281128,88280953,3932170,0.009853696,-0.014221281,-0.0032490566,37.239902,0
89282219,89282045,3932170,0.0077231675,-0.012676648,-0.050173957,37.141983,0
90279539,90279364,3932170,-0.009001484,-0.049002163,0.0013315806,37.093025,0
91280516,91280340,3932170,0.024660872,-0.0068176924,-0.00644485,37.239902,0
92281562,92281388,3932170,0.018801916,-0.022423819,-0.044528052,37.38678,0
93278853,93278678,3932170,0.020186761,-0.016724652,-0.0048469533,37.093025,0
