timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
30629155,30628977,3932170,0.008468852,-0.014966966,-0.0034088462,35.869034,0
30630418,30630232,3932170,0.0075101145,-0.015872441,-0.007084009,35.869034,0
31633916,31633739,3932170,0.0032490566,-0.014327806,-0.0029827405,35.820072,0
32632408,32632234,3932170,0.006231797,-0.018535601,-0.0037816889,35.820072,0
33629655,33629479,3932170,0.00644485,-0.015446335,-0.004527374,35.820072,0
34630657,34630483,3932170,0.007616641,-0.015393071,-0.0029294773,35.673195,0
35631663,35631488,3932170,0.0075633777,-0.01603223,-0.0024501083,35.771114,0
36628913,36628738,3932170,0.007936221,-0.013582122,-0.004314321,36.01591,0
37629963,37629786,3932170,0.005432849,-0.016564863,-0.0044208476,35.771114,0
38630931,38630757,3932170,0.010599381,-0.013635385,-0.005060006,35.966953,0
39631930,39631754,3932170,0.011398329,-0.012303805,-0.0026098979,35.869034,0
40629180,40629002,3932170,0.007190535,-0.014434334,-0.00047936902,35.673195,0
41630191,41630016,3932170,0.005965481,-0.016405074,-0.0065513765,35.966953,0
