timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
1332892091,0.0,0.0,0.0,0.0
1333091859,0.0,0.0,0.0,0.0
1333297870,0.0,0.0,0.0,0.0
1333496398,0.0,0.0,0.0,0.0
1333693698,0.0,0.0,0.0,0.0
1333893430,0.0,0.0,0.0,0.0
1334093194,0.0,0.0,0.0,0.0
1334292964,0.0,0.0,0.0,0.0
1334492740,0.0,0.0,0.0,0.0
1334696253,0.0,0.0,0.0,0.0
1334896022,0.0,0.0,0.0,0.0
1335095794,0.0,0.0,0.0,0.0
1335295573,0.0,0.0,0.0,0.0
1335495334,0.0,0.0,0.0,0.0
1335695114,0.0,0.0,0.0,0.0
1335894883,0.0,0.0,0.0,0.0
1336094662,0.0,0.0,0.0,0.0
1336294431,0.0019221794,-9.856202e-05,-2.860262e-05,0.0
1336494204,0.004574419,-0.00014025708,-6.953822e-05,0.0
1336693958,0.007085034,-0.00025829684,-9.656661e-05,0.0
1336893729,0.007993091,-0.0011214135,-0.00012290274,0.0
1337092252,0.007107284,-0.0036792564,0.00025288522,0.0
1337292026,0.006572854,-0.0055305995,0.00045784927,0.0
1337496787,0.006677447,-0.005732572,0.0001959564,0.0
1337694063,0.0065304856,-0.0066055427,0.000107004125,0.0
1337893833,0.0065063615,-0.0076036425,3.3888715e-05,0.0
1338093601,0.0063150753,-0.008340151,-3.6488877e-05,0.0
1338293372,0.006377061,-0.008523264,3.9037262e-05,0.0
1338493147,0.0071428134,-0.008931287,0.0005569948,0.0
1338691672,0.007895435,-0.009336,0.0011351393,0.0
1338896439,0.008526126,-0.009782172,0.0017330808,0.0
1339096205,0.0090224715,-0.010362862,0.0016136199,0.0
1339295970,0.0089531755,-0.011181996,0.001123943,0.0
1339495742,0.008730059,-0.012114787,0.00051045016,0.0
1339695516,0.008552762,-0.012826119,-0.00020247484,0.0
1339895282,0.008003811,-0.013437803,-0.00094041775,0.0
1340092565,0.00764042,-0.013764312,-0.0014414187,0.0
1340294826,0.007179555,-0.014338839,-0.0018983361,0.0
1340494592,0.0067990203,-0.015104875,-0.002476131,0.0
1340694380,0.0061217034,-0.015819885,-0.003322961,0.0
1340894153,0.0056516677,-0.01623735,-0.003965254,0.0
1341092668,0.0053275214,-0.016209729,-0.0040695015,0.0
1341292434,0.0052927127,-0.016604647,-0.0036784946,0.0
1341497192,0.004918105,-0.016430045,-0.0031274469,0.0
1341696963,0.0045912107,-0.0164244,-0.0027869479,0.0
1341894236,0.0042462917,-0.016625043,-0.0026251324,0.0
1342094006,0.0035757693,-0.016294414,-0.0026187687,0.0
1342293777,0.0024589102,-0.01613482,-0.0031175087,0.0
1342493559,0.00090330344,-0.015949553,-0.0042395988,0.0
1342692069,-0.0008333437,-0.016395206,-0.005871464,0.0
1342891840,-0.0026660948,-0.016535144,-0.007959246,0.0
1343096611,-0.0041194744,-0.016942414,-0.010200847,0.0
1343296389,-0.005288501,-0.017131224,-0.012342942,0.0
1343496151,-0.0054248543,-0.017558722,-0.016257936,0.0
1343695921,-0.0068341866,-0.018729111,-0.024302648,0.0
1343894449,-0.0067634475,-0.018407984,-0.028222142,0.0
1344099207,-0.00659713,-0.018216671,-0.02987609,0.0
1344293982,-0.0069791945,-0.017518828,-0.03027467,0.0
1344495024,-0.00764449,-0.016854797,-0.03039459,0.0
1344694772,-0.008342065,-0.016793875,-0.029888786,0.0
1344894562,-0.008879346,-0.016845403,-0.02857769,0.0
1345096812,-0.008998856,-0.016999876,-0.027501006,0.0
1345297831,-0.009255594,-0.017108902,-0.027052978,0.0
1345497603,-0.010343948,-0.018560467,-0.020805389,0.0
1345692393,-0.011357893,-0.017189706,-0.021668049,0.0
1345897140,-0.012182105,-0.024218028,-0.019483909,0.0
1346094426,-0.013194776,-0.024835896,-0.01894049,0.0
1346294179,-0.012709342,-0.02479185,-0.020224096,0.0
1346493958,-0.0130600585,-0.023350721,-0.02041965,0.0
1346693719,-0.014238331,-0.020029888,-0.019157672,0.0
1346892240,-0.014131721,-0.021061195,-0.02248104,0.0
1347100761,-0.01704959,-0.019349005,-0.02606555,0.0
1347296775,-0.01980632,-0.018399457,-0.025413036,0.0
1347496547,-0.021714939,-0.018441422,-0.022246627,0.0
1347696318,-0.024955342,-0.020270452,-0.018178854,0.0
1347896084,-0.027198067,-0.02549164,-0.006584504,0.0
1348095861,-0.027285146,-0.02851309,0.0021959404,0.0
1348295623,-0.026525047,-0.030501148,0.0023843574,0.0
1348491653,-0.025986042,-0.030828843,0.0048623253,0.0
1348695170,-0.02535216,-0.030725662,0.004229417,0.0
1348894931,-0.023783825,-0.031932514,0.0055223005,0.0
1349094701,-0.022316804,-0.0328484,0.006037007,0.0
1349294469,-0.020829573,-0.033271838,0.007135501,0.0
1349494241,-0.019410225,-0.03381655,0.008692914,0.0
1349692761,-0.018726896,-0.034727,0.009988037,0.0
1349892542,-0.017607989,-0.035939746,0.011344976,0.0
1350096044,-0.01705171,-0.037404753,0.0126791,0.0
1350295815,-0.01635724,-0.038872518,0.014566977,0.0
1350495585,-0.015997,-0.040147383,0.016216923,0.0
1350694116,-0.016556626,-0.040472534,0.016963908,0.0
1350893891,-0.016544158,-0.042108126,0.019177468,0.0
1351092405,-0.016635396,-0.043308765,0.022240788,0.0
1351295913,-0.015459246,-0.04435117,0.025197571,0.0
1351496931,-0.015516361,-0.04595651,0.027162809,0.0
1351696698,-0.015838845,-0.046645224,0.028872676,0.0
1351895223,-0.015858294,-0.04807051,0.031258166,0.0
1352096240,-0.014965147,-0.049301006,0.03418261,0.0
1352296033,-0.01418969,-0.05008138,0.036764562,0.0
1352494531,-0.013468812,-0.05071495,0.039240785,0.0
1352695546,-0.018906841,-0.054302733,0.03818219,0.0
1352899072,-0.010676407,-0.046231862,0.03872824,0.0
1353095107,-0.013703149,-0.045317467,0.035393644,0.0
1353294867,-0.013798524,-0.044232436,0.035688,0.0
1353493389,-0.012542169,-0.046284843,0.030282108,0.0
1353694402,-0.012795657,-0.047939338,0.03282768,0.0
1353892919,-0.014097422,-0.049383026,0.033939242,0.0
1354092690,-0.016975623,-0.0509814,0.033933975,0.0
1354294948,-0.014361746,-0.052312832,0.0325437,0.0
1354494713,-0.013796635,-0.05375979,0.02931371,0.0
1354694480,-0.008263523,-0.055288695,0.025477342,0.0
1354894248,-0.00873823,-0.055981748,0.026194531,0.0
1355092765,-0.007045613,-0.056767948,0.024192294,0.0
1355292532,-0.0041092737,-0.056904394,0.027715148,0.0
1355497298,-0.003464517,-0.0587306,0.030121608,0.0
1355697061,-0.0038218412,-0.059072558,0.029684067,0.0
1355896845,-0.0018952596,-0.059178777,0.02599644,0.0
1356096595,-0.0022638787,-0.060077168,0.025344683,0.0
1356296361,-0.0024628022,-0.058856755,0.026068028,0.0
1356496136,-0.0061106915,-0.06048775,0.027348809,0.0
1356692154,-0.0055980915,-0.059194513,0.02188814,0.0
1356891926,-0.0066801305,-0.05717691,0.020068677,0.0
1357099179,-0.009392656,-0.056820538,0.02421894,0.0
1357298942,-0.012181511,-0.054044887,0.017948203,0.0
1357494962,-0.014381638,-0.05183529,0.011884989,0.0
1357694730,-0.01421126,-0.051192645,0.012633667,0.0
1357894492,-0.016398227,-0.0504109,0.0144640645,0.0
1358094263,-0.019553784,-0.048436575,0.01471168,0.0
1358294024,-0.019963067,-0.047288682,0.014406542,0.0
1358497548,-0.023094442,-0.047687497,0.01580602,0.0
1358694814,-0.02778549,-0.05121865,0.015787145,0.0
1358894581,-0.025205748,-0.04077531,0.016283667,0.0
1359093088,-0.027364397,-0.04225832,0.017478347,0.0
1359294123,-0.029264892,-0.040495418,0.018283587,0.0
1359492620,-0.03188241,-0.039936498,0.012171577,0.0
1359692405,-0.029972613,-0.041159175,0.0106592905,0.0
1359897155,-0.034046013,-0.04126255,0.010158531,0.0
1360096911,-0.03309498,-0.04246327,0.004896003,0.0
1360296681,-0.033741485,-0.044970006,0.007735574,0.0
1360496457,-0.03375939,-0.047462124,0.00928545,0.0
1360696201,-0.032729745,-0.052111134,0.010146638,0.0
1360892221,-0.038928747,-0.041153233,0.0056034653,0.0
1361095729,-0.034718256,-0.041199613,0.004789676,0.0
1361295487,-0.03331159,-0.040993735,-0.0008540159,0.0
1361495253,-0.028649265,-0.04409435,0.0046812226,0.0
1361695011,-0.027771192,-0.045117997,0.004538536,0.0
1361894776,-0.026715787,-0.043604396,0.004629468,0.0
1362094539,-0.02391243,-0.04285678,0.0072617047,0.0
1362294303,-0.020791339,-0.04414345,0.0005159554,0.0
1362497808,-0.019057421,-0.044483893,-0.0027398954,0.0
1362696324,-0.014668152,-0.047076106,-0.00013300127,0.0
1362894844,-0.014992519,-0.04180658,0.0035270408,0.0
1363094612,-0.012621983,-0.039104104,0.0056893714,0.0
1363293126,-0.013567527,-0.038525634,-0.0029494544,0.0
1363492887,-0.013913766,-0.03887888,-0.0035526552,0.0
1363692640,-0.01405185,-0.038821436,-0.0025986156,0.0
1363892410,-0.015794242,-0.035725296,-0.013437364,0.0
1364097165,-0.01681027,-0.035663035,-0.011599886,0.0
1364295681,-0.018455155,-0.033275556,-0.022896752,0.0
1364496691,-0.01926287,-0.033514638,-0.020630518,0.0
1364700196,-0.018944485,-0.034442265,-0.017823203,0.0
1364898704,-0.021956319,-0.028992,-0.016963122,0.0
1365092250,-0.020300396,-0.028903501,-0.019913498,0.0
1365295736,-0.020042611,-0.027916802,-0.018049328,0.0
1365495496,-0.016551282,-0.028949725,-0.022305466,0.0
1365695257,-0.016741399,-0.029558467,-0.020954184,0.0
