timestamp,lat,lon,alt,vy,vx,vz,est_cap
1376342818,-23.5560378,-46.730140299999995,725.3817,0.555728,0.6693776,0.0,0
1376742433,-23.5560388,-46.73014,725.09106,0.1924349,0.23014955,0.0,0
1377329962,-23.5560388,-46.73014,725.09106,0.1924349,0.23014955,0.0,0
1377696258,-23.5560406,-46.730144499999994,724.3401,0.0,0.0,0.0,0
1378392428,-23.5560406,-46.730144499999994,724.3401,0.0,0.0,0.0,0
1378848726,-23.5560415,-46.7301472,724.4581,0.24974264,-0.01134074,0.0,0
1379349443,-23.5560415,-46.7301472,724.4581,0.24974264,-0.01134074,0.0,0
1379846840,-23.556041699999998,-46.730149399999995,724.7993,0.0,0.0,0.0,0
1380343440,-23.556041699999998,-46.730149399999995,724.7993,0.0,0.0,0.0,0
1380844435,-23.556042299999998,-46.730151799999994,724.60376,0.0,0.0,0.0,0
1381392483,-23.556042299999998,-46.730151799999994,724.60376,0.0,0.0,0.0,0
1381852446,-23.5560425,-46.730154999999996,724.177,0.0,0.0,0.0,0
1382392426,-23.5560425,-46.730154999999996,724.177,0.0,0.0,0.0,0
1382848884,-23.5560427,-46.7301639,724.01196,0.0,0.0,0.0,0
1383348115,-23.5560427,-46.7301639,724.01196,0.0,0.0,0.0,0
1383747838,-23.5560428,-46.7301688,723.96106,-0.27873975,0.11092409,0.0,0
1384351253,-23.5560428,-46.7301688,723.96106,-0.27873975,0.11092409,0.0,0
1384850654,-23.556037099999998,-46.730171399999996,723.719,0.07340448,0.7765383,0.0,0
1385368419,-23.556037099999998,-46.730171399999996,723.719,0.07340448,0.7765383,0.0,0
1385876503,-23.556031299999997,-46.730173199999996,724.06885,-0.22440052,0.25542986,0.0,0
1386349125,-23.556031299999997,-46.730173199999996,724.06885,-0.22440052,0.25542986,0.0,0
1386846420,-23.5560284,-46.7301734,723.89624,0.3321955,-0.07243035,0.0,0
1387343670,-23.5560284,-46.7301734,723.89624,0.3321955,-0.07243035,0.0,0
1387854426,-23.556023399999997,-46.7301752,723.58813,-0.4814453,0.7005073,0.0,0
1388359527,-23.556023399999997,-46.7301752,723.58813,-0.4814453,0.7005073,0.0,0
1388851404,-23.556018899999998,-46.7301757,723.74927,0.38407502,0.06772279,0.0,0
1389346428,-23.556018899999998,-46.7301757,723.74927,0.38407502,0.06772279,0.0,0
1389801476,-23.5560184,-46.7301784,723.9221,-0.5234586,-0.46474838,0.0,0
1390397426,-23.5560184,-46.7301784,723.9221,-0.5234586,-0.46474838,0.0,0
1390848540,-23.556019,-46.730185399999996,724.354,-0.65443516,0.32344183,0.0,0
1391348326,-23.556019,-46.730185399999996,724.354,-0.65443516,0.32344183,0.0,0
1391860420,-23.5560194,-46.73019,723.3998,0.05941127,0.70750993,0.0,0
1392351711,-23.5560194,-46.73019,723.3998,0.05941127,0.70750993,0.0,0
1392841974,-23.5560197,-46.730193199999995,723.59094,0.04202178,-0.72878957,0.0,0
1393270408,-23.5560197,-46.730193199999995,723.59094,0.04202178,-0.72878957,0.0,0
1393881488,-23.556015199999997,-46.7301935,724.8257,-0.23276219,0.77583617,0.0,0
1394386433,-23.556015199999997,-46.7301935,724.8257,-0.23276219,0.77583617,0.0,0
