timestamp,main_state_changes,main_state
1332637965,21,2
1333142062,21,2
1333652982,21,2
1334164109,21,2
1334675516,21,2
1335185960,21,2
1335695944,21,2
1336204940,21,2
1336705990,21,2
1337217396,21,2
1337727998,21,2
1338236988,21,2
1338748113,21,2
1339258987,21,2
1339759027,21,2
1340260078,21,2
1340770943,21,2
1341271033,21,2
1341781223,21,2
1342289079,21,2
1342799999,21,2
1343310234,21,2
1343399387,22,12
1343900028,22,12
1344408422,22,12
1344918941,22,12
1345419234,22,12
1345926549,22,12
1346431010,22,12
1346941192,22,12
1347441987,22,12
1347951296,22,12
1348456066,22,12
1348962008,22,12
1349470096,22,12
1349970990,22,12
1350477259,22,12
1350984218,22,12
1351494063,22,12
1351999991,22,12
1352501033,22,12
1353011953,22,12
1353523685,22,12
1354025941,22,12
1354537411,22,12
1355044394,22,12
1355556321,22,12
1356060940,22,12
1356569988,22,12
1357071297,22,12
1357580951,22,12
1358087923,22,12
1358597944,22,12
1359104105,22,12
1359612945,22,12
1360115776,22,12
1360625507,22,12
1361130952,22,12
1361634213,22,12
1362148635,22,12
1362649134,22,12
1363153029,22,12
1363656981,22,12
1364164072,22,12
1364670017,22,12
1365172983,22,12
1365680035,22,12
1366184061,22,12
1366693127,22,12
1367203020,22,12
1367711288,22,12
1368222394,22,12
1368735063,22,12
1369236192,22,12
1369745944,22,12
1370253460,22,12
1370761562,22,12
1371261711,22,12
1371763199,22,12
1372262990,22,12
1372771037,22,12
1373280230,22,12
1373789943,22,12
1374295694,22,12
1374798021,22,12
1375299224,22,12
1375809055,22,12
1376312986,22,12
1376823029,22,12
1377335631,22,12
1377841048,22,12
1378344985,22,12
1378853127,22,12
1379357942,22,12
1379862353,22,12
1380366790,22,12
1380872942,22,12
1381382993,22,12
1381891241,22,12
1382400941,22,12
1382901312,22,12
1383407562,22,12
1383909950,22,12
1384421048,22,12
1384930248,22,12
1385440981,22,12
1385942064,22,12
1386449387,22,12
1386959972,22,12
1387465991,22,12
1387967030,22,12
1388469031,22,12
1388971231,22,12
1389476033,22,12
1389985448,22,12
1390500348,22,12
1391000953,22,12
1391509950,22,12
1392015948,22,12
1392524982,22,12
1393030575,22,12
1393535834,22,12
1394045995,22,12
1394549971,22,12
1395050170,22,12
1395554104,22,12
1396062945,22,12
1396567401,22,12
1397070837,22,12
1397570942,22,12
1398073025,22,12
1398582116,22,12
1399094499,22,12
1399598950,22,12
1399798961,23,2
1400307981,23,2
1400820216,23,2
1401320308,23,2
1401820942,23,2
1402321152,23,2
1402821981,23,2
1403322077,23,2
1403833025,23,2
1404344092,23,2
1404844320,23,2
1405352949,23,2
1405863149,23,2
1406374924,23,2
1406884942,23,2
1407394975,23,2
1407904942,23,2
1408414070,23,2
1408914399,23,2
1409422941,23,2
1409933107,23,2
1410445022,23,2
1410955981,23,2
1411456189,23,2
1411965946,23,2
1412476569,23,2
1412609173,24,5
1413109184,24,5
1413620025,24,5
1414130942,24,5
1414631240,24,5
1415141988,24,5
1415643485,24,5
1416153045,24,5
1416661915,24,5
1417171204,24,5
1417672331,24,5
1418180031,24,5
1418684898,24,5
1419191985,24,5
1419693623,24,5
1420202828,24,5
1420707951,24,5
1421211941,24,5
1421717214,24,5
1422225941,24,5
1422735288,24,5
1423240019,24,5
1423749941,24,5
1424250492,24,5
1424762542,24,5
1425270939,24,5
1425770989,24,5
1426280944,24,5
1426780994,24,5
1427284712,24,5
1427784943,24,5
1428294986,24,5
1428806254,24,5
1429309169,24,5
1429820002,24,5
1430330009,24,5
1430840998,24,5
1431341948,24,5
1431851947,24,5
1432353134,24,5
1432864066,24,5
1433374343,24,5
1433886363,24,5
1434386987,24,5
1434887322,24,5
1435389986,24,5
1435891324,24,5
1436402008,24,5
1436468406,24,5
1436978981,24,5
1437489193,24,5
1437999978,24,5
1438421129,24,5
1438928989,24,5
