timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1332249800,20000.0,1.0,1943.421,0.0,57984,0,65.91253,14647,114,0,0,0,0.007783164,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1333010012,20000.0,1.0,1778.8851,0.0,58012,0,39.773846,14648,114,0,0,0,0.0077826325,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1333251124,20000.0,1.0,1778.8851,0.0,58029,0,39.773846,14649,114,0,0,0,0.007782101,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1334257037,20000.0,1.0,1891.7579,0.0,58070,0,39.889465,14651,114,0,0,0,0.007781039,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1335255048,20000.0,1.0,1700.3088,0.0,58114,0,39.889946,14653,114,0,0,0,0.007779977,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1336239263,20000.0,1.0,1894.8352,0.0,58154,0,39.912273,14655,114,0,0,0,0.007778915,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1337254737,20000.0,1.0,1772.2078,0.0,58200,0,39.98213,14657,114,0,0,0,0.0077778534,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1338249281,20000.0,1.0,1896.0721,0.0,58241,0,39.89631,14659,114,0,0,0,0.0077767926,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1339258004,20000.0,1.0,1707.3679,0.0,58285,0,39.9618,14661,114,0,0,0,0.0077757314,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1340244161,20000.0,1.0,1894.6605,0.0,58324,0,39.866608,14663,114,0,0,0,0.007774671,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1341252233,20000.0,1.0,1701.7539,0.0,58372,0,39.830402,14665,114,0,0,0,0.0077736108,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1342250680,20000.0,1.0,1951.2799,0.0,58413,0,39.944317,14667,114,0,0,0,0.0077725505,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1343255963,20000.0,1.0,1705.4764,0.0,58457,0,39.91753,14669,114,0,0,0,0.007771491,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1344249415,20000.0,1.0,1985.4679,0.0,58500,0,57.984463,14672,114,0,0,0,0.007769902,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1345257152,20000.0,1.0,1765.4167,0.0,58545,0,981.3406,14691,115,0,0,0,0.007827922,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1346249996,20000.0,1.0,1963.3854,0.0,58587,0,2244.2974,14712,116,0,0,0,0.00788472,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1347250896,20000.0,1.0,1771.782,0.0,58632,0,2139.7368,14732,117,0,0,0,0.007941895,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1348259811,20000.0,1.0,1958.9675,0.0,58674,0,1925.0546,14754,117,0,0,0,0.0079300525,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1349243714,20000.0,1.0,1809.4829,0.0,58717,0,2032.1731,14776,117,0,0,0,0.007918246,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1350243001,20000.0,1.0,1958.9655,0.0,58759,0,2343.9758,14798,117,0,0,0,0.007906474,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
