timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
1332579161,1332571099,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1333579247,1333571091,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1334579336,1334571132,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1335587154,1335579119,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1336588191,1336575224,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1337595197,1337583197,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1338603259,1338591167,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1339611151,1339599210,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1340619205,1340608625,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1341627297,1341615180,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1342636390,1342623224,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1343643151,1343631247,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1344651423,1344639172,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1345659154,1345647217,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1346670768,1346656500,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1347675286,1347663162,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1348683816,1348671203,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1349691254,1349679301,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1350699335,1350687174,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1351709861,1351696903,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1352715167,1352704807,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1353723314,1353711161,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1354727617,1354719209,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1355735643,1355727314,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1356747335,1356735189,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1357748029,1357735088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1358751562,1358743088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1359759240,1359751197,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1360767550,1360759088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1361775276,1361767088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1362783251,1362775154,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1363791468,1363783088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1364798512,1364791088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1365799162,1365791131,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1366808283,1366799088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1367810908,1367796364,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1368814741,1368807096,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1369815163,1369803247,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1370819473,1370811088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1371831155,1371819088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1372835739,1372827092,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1373838444,1373827088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1374843365,1374835088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1375843372,1375835088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1376843413,1376835503,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1377851159,1377843090,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1378859168,1378847907,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1379867282,1379859088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1380867319,1380859084,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1381875190,1381863088,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1382883603,1382871118,38,4,1,3,0,0,3,0,0,0,0,0,0,0
1383887678,1383880659,38,4,1,3,0,0,3,0,0,0,0,0,0,0
