timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
1332883108,1332883108,255,0,0,0,982,1494,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1333391091,1333391091,255,0,0,0,982,1493,1490,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1333887390,1333887390,255,0,0,0,1012,1493,1491,1510,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1334391171,1334391171,255,0,0,0,1293,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1334883107,1334883107,255,0,0,0,1560,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1335387088,1335387088,255,0,0,0,1702,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1335891301,1335891301,255,0,0,0,1772,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1336387209,1336387209,255,0,0,0,1833,1493,1492,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1336891088,1336891088,255,0,0,0,1873,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1337387417,1337387417,255,0,0,0,1887,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1337891215,1337891215,255,0,0,0,1887,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1338387155,1338387155,255,0,0,0,1887,1493,1492,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1338891088,1338891088,255,0,0,0,1887,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1339383117,1339383117,255,0,0,0,1837,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1339887090,1339887090,255,0,0,0,1647,1493,1492,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1340391132,1340391132,255,0,0,0,1630,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1340888390,1340888390,255,0,0,0,1630,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1341391582,1341391582,255,0,0,0,1630,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1341887303,1341887303,255,0,0,0,1630,1494,1492,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1342391295,1342391295,255,0,0,0,1630,1493,1492,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1342887088,1342887088,255,0,0,0,1630,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1343391091,1343391091,255,0,0,0,1630,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1343888836,1343888836,255,0,0,0,1630,1494,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1344387167,1344387167,255,0,0,0,1630,1494,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1344891168,1344891168,255,0,0,0,1586,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1345387088,1345387088,255,0,0,0,1585,1494,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1345897402,1345897402,255,0,0,0,1585,1493,1492,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1346387088,1346387088,255,0,0,0,1585,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
1346891122,1346891122,255,0,0,0,1585,1494,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
