timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1241722840,1241721465,-23.55599714024144,-46.730141480256016,724.5538,728.1428,-0.0,1.0369604,1.5417542,724.4483,2,0,1,0
1241922668,1241921234,-23.555997157495362,-46.730141706265755,724.5583,728.1671,-0.0,1.0369354,1.542193,724.4502,2,0,1,0
1242122175,1242121003,-23.555997186417745,-46.73014191483076,724.5604,728.1893,-0.0,1.0369049,1.5420237,724.4485,2,0,1,0
1242322640,1242320772,-23.555997221294437,-46.73014213068429,724.55963,728.209,-0.0,1.0368694,1.5418544,724.4462,2,0,1,0
1242522409,1242520545,-23.555997237303668,-46.73014237466273,724.5577,728.22687,-0.0,1.0368296,1.5416853,724.44696,2,0,1,0
1242716623,1242715316,-23.555997242929852,-46.73014261766577,724.55676,728.24603,-0.0,1.0365865,1.541958,724.44574,2,0,1,0
1242916785,1242915097,-23.555997244281674,-46.7301428847214,724.5556,728.26447,-0.0,1.0365415,1.5417941,724.4463,2,0,1,0
1243116237,1243114861,-23.55599726045815,-46.730143139761275,724.55585,728.2851,-0.0,1.036512,1.5416299,724.4518,2,0,1,0
1243315839,1243314624,-23.55599725087695,-46.7301434005295,724.5587,728.3081,-0.0,1.0364871,1.5420713,724.4551,2,0,1,0
1243515618,1243514393,-23.555997228316144,-46.73014364223903,724.5624,728.33154,-0.0,1.0364658,1.5419053,724.4551,2,0,1,0
1243715397,1243714162,-23.555997213111922,-46.73014385731598,724.5654,728.3546,-0.0,1.0364385,1.5417393,724.4548,2,0,1,0
1243915286,1243913934,-23.555997195268255,-46.73014405884975,724.5694,728.37854,-0.0,1.036416,1.5421795,724.4529,2,0,1,0
1244114924,1244113700,-23.555997102243225,-46.73014414941361,724.58997,728.4193,-0.0,1.0363988,1.5420116,724.4529,2,0,1,0
1244314763,1244313506,-23.555996901629094,-46.73014402838101,724.64795,728.49664,-0.0,1.036386,1.5418459,724.4529,2,0,1,0
1244524580,1244523227,-23.555996696782444,-46.73014380067305,724.7497,728.61896,-0.0,1.0365949,1.5418448,724.4529,2,0,1,0
1244724419,1244722996,-23.55599646782057,-46.730143440836024,724.85754,728.7466,-0.0,1.0366194,1.5416768,724.4529,2,0,1,0
1244924538,1244922765,-23.55599625718689,-46.730143079637664,724.9744,728.88367,-0.0,1.0366535,1.5421154,724.4529,2,0,1,0
1245123942,1245122534,-23.555996013358545,-46.73014276835494,725.1081,729.0373,-0.0,1.0366865,1.5419457,724.4529,2,0,1,0
1245324019,1245322303,-23.55599574607962,-46.73014249634275,725.2489,729.1981,-0.0,1.0367275,1.5417782,724.4529,2,0,1,0
1245523789,1245522072,-23.55599536706259,-46.73014233659157,725.40125,729.3702,-0.0,1.036775,1.5422201,724.4529,2,0,1,0
1245723623,1245721846,-23.555994814819627,-46.73014242899614,725.5583,729.5475,-0.0,1.0367904,1.5420508,724.4529,2,0,1,0
1245922913,1245921611,-23.555994309225856,-46.73014259047562,725.713,729.72186,-0.0,1.0367869,1.5418816,724.4529,2,0,1,0
1246123302,1246121391,-23.555993780791475,-46.73014293456115,725.8777,729.90674,-0.0,1.0367653,1.5417126,724.4529,2,0,1,0
1246322492,1246321149,-23.555993204418126,-46.73014355065877,726.0513,730.1007,-0.0,1.0367188,1.5421515,724.4529,2,0,1,0
1246522137,1246520919,-23.55599262705733,-46.730144407972375,726.2321,730.30145,-0.0,1.0366796,1.5419809,724.4529,2,0,1,0
1246721906,1246720688,-23.555991969991933,-46.73014567856582,726.4177,730.5066,-0.0,1.036583,1.5418127,724.4529,2,0,1,0
1246921677,1246920458,-23.555991259684014,-46.73014717105221,726.6183,730.7267,-0.0,1.0365537,1.5422524,724.4529,2,0,1,0
1247121450,1247120227,-23.555990682180497,-46.73014845965178,726.80066,730.9296,-0.0,1.0367752,1.5422585,724.4529,2,0,1,0
1247316707,1247315002,-23.555990219094223,-46.73014949414949,726.9158,731.0648,-0.0,1.0366392,1.5419136,724.4529,2,0,1,0
1247516214,1247514772,-23.555989715102953,-46.73015045871851,726.99615,731.1649,-0.0,1.0366856,1.54174,724.4529,2,0,1,0
1247715821,1247714541,-23.555989373672652,-46.730151040452974,727.09015,731.279,-0.0,1.0367252,1.5421764,724.4529,2,0,1,0
1247915593,1247914311,-23.55598903720179,-46.73015155681995,727.2046,731.4136,-0.0,1.0367686,1.5420027,724.4529,2,0,1,0
1248115510,1248114081,-23.55598880633248,-46.73015195486776,727.2902,731.5193,-0.0,1.0368152,1.5418291,724.4529,2,0,1,0
1248315157,1248313869,-23.555988627313024,-46.730152280727374,727.3648,731.61365,-0.0,1.036885,1.5422678,nan,2,0,0,0
