timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
718487106,1628794861599784,11010077,-235560452,-467302016,725905,720632,0.18400002,0.40193343,0.65000004,1.179,0.62,0.98999995,71,36,0.016,0.011000001,0.012,0.014,3.5585127,0,nan,0.0,3510,4,0,1,16
719486980,1628794862599785,11010077,-235560455,-467302026,725822,720550,0.193,0.4019404,0.65000004,1.1810001,0.62,0.97999996,77,25,0.034,-0.006,0.033,-0.031000001,3.5585127,0,nan,0.0,3354,4,0,1,16
720487089,1628794863599786,11010077,-235560457,-467302033,725755,720482,0.15400001,0.40194756,0.652,1.1850001,0.62,0.97999996,76,53,0.013,-0.003,0.013,0.0,3.5585127,0,nan,0.0,3354,4,0,1,16
721486880,1628794864599787,11010077,-235560459,-467302043,725768,720495,0.22100002,0.4019542,0.648,1.176,0.62,0.97999996,77,35,0.003,0.002,0.001,-0.031000001,3.5585127,0,nan,0.0,3588,4,0,1,16
722483823,1628794865599788,11010077,-235560457,-467302051,725752,720479,0.24000001,0.4019605,0.64000005,1.161,0.62,0.97999996,82,34,0.018000001,0.011000001,-0.015000001,-0.061000004,3.5585127,0,nan,0.0,3432,4,0,1,16
723486939,1628794866599789,11010077,-235560458,-467302057,725598,720325,0.22800002,0.4019671,0.64500004,1.1680001,0.62,0.97999996,82,27,0.026,0.018000001,0.019000001,-0.054,3.5585127,0,nan,0.0,3510,4,0,1,16
724485921,1628794867599790,11010077,-235560452,-467302062,725563,720290,0.18300001,0.40197393,0.64100003,1.156,0.62,0.97999996,81,43,0.1,0.086,0.05,-0.163,3.5585127,0,nan,0.0,3510,4,0,1,16
725685143,1628794868799791,11010077,-235560436,-467302054,725746,720473,0.23200001,0.40198737,0.64400005,1.1570001,0.64,0.98999995,82,25,0.115,0.09,0.072000004,-0.39000002,3.5585127,0,nan,0.0,3354,4,0,1,15
726483211,1628794869599791,11010077,-235560429,-467302051,726156,720883,0.26200002,0.7316111,0.65400004,1.1750001,0.64,0.98999995,82,28,0.24200001,0.21900001,0.10300001,-0.637,1.6360593,0,nan,0.0,3354,4,0,1,15
727487033,1628794870599792,11010077,-235560433,-467302057,726394,721121,0.275,0.73161894,0.669,1.1960001,0.65,1.04,82,38,0.063,-0.0050000004,-0.063,-0.316,1.6360593,0,nan,0.0,3354,4,0,1,15
