timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
1728924556,1728924270,-0.067214526,0.019249966,-0.13861707
1728945775,1728945493,-0.044679906,-0.033365086,0.08911974
1728967007,1728966719,-0.009566506,0.060313184,0.001905603
1728986981,1728986697,-0.023022221,-0.10113994,-0.074445665
1729004463,1729004178,0.053536855,0.08307277,0.04219167
1729025686,1729025404,0.023391655,-0.02399185,-0.012879418
1729046935,1729046636,-0.035164423,0.052877817,0.012205859
1729064399,1729064111,0.0032449118,-0.049760483,-0.0065232003
1729085619,1729085337,0.15917699,-0.47626626,-0.2796573
1729106855,1729106564,-0.0020959005,-0.12170614,0.60614526
1729128083,1729127790,-0.12418676,0.40986013,-0.21959594
1729145563,1729145270,-0.07107373,0.057797514,-0.5525769
1729165530,1729165248,-0.052427072,-0.27655184,1.1838791
1729186763,1729186475,-0.26783168,-0.20366162,-0.39815146
1729204238,1729203957,0.26537007,0.24891701,-1.3382927
1729225467,1729225182,-0.0025985134,0.57206285,0.9976449
1729246709,1729246408,0.1525056,-0.34905854,0.24310619
1729267920,1729267634,0.08492846,0.34192735,0.3163024
1729285403,1729285115,-0.36286992,-0.59980184,-1.6880442
1729306680,1729306353,0.6068843,0.56841433,2.4216192
1729327860,1729327572,-0.078774214,-0.09473103,-0.11891142
1729344084,1729343800,0.52972883,0.09812031,-0.71406686
1729365308,1729365026,0.037569486,-0.5923301,1.3004591
1729386534,1729386253,0.7043887,0.2482548,1.2583765
1729407766,1729407479,-0.99429995,0.09114231,-0.16653758
1729425241,1729424960,-0.7500427,0.15389216,-1.268798
1729446471,1729446189,1.1275651,-0.2092983,-0.96118784
1729467697,1729467413,1.1268077,-1.0116627,0.52846843
1729485178,1729484893,0.08963927,0.4265476,1.3851169
1729505156,1729504873,-0.59303683,0.58245426,0.26483345
1729526393,1729526100,-1.1065856,1.0723066,-0.2843422
1729547608,1729547324,-0.5427449,0.33718708,-0.5913572
1729565086,1729564804,0.6452345,-0.7609778,-0.6850612
1729586321,1729586033,1.0249243,-1.1991324,-0.77295
1729607555,1729607257,0.8378379,-0.69556236,0.052684594
1729625019,1729624738,-0.23629038,0.19771582,1.1237648
1729645001,1729644719,-0.7307182,1.1727964,0.8565237
1729666223,1729665942,-0.8701649,1.2163732,0.50693095
1729687456,1729687167,-1.3691739,1.0397174,0.9992298
1729704924,1729704647,-0.42280328,-0.18484467,-0.09362397
1729726150,1729725874,0.5421698,0.7852371,-0.77397686
1729747386,1729747100,-0.21683477,0.2899403,-0.5916067
1729764861,1729764581,0.9315862,-1.0799776,-0.7234739
1729786095,1729785807,0.8887571,-1.458421,-0.18520348
1729806062,1729805785,0.675524,-1.6864864,-0.46302024
1729827291,1729827011,1.4298364,-1.3020926,-0.91761464
1729844769,1729844492,0.034693435,-0.85238594,-0.3953348
1729865995,1729865718,1.1917952,-0.38472673,0.014939537
1729887227,1729886948,0.79023755,-0.62076336,0.34628427
1729904702,1729904426,0.5131701,0.59813845,0.69722956
1729925928,1729925652,1.118,0.79309875,0.24384171
1729947165,1729946880,0.3850849,-0.04684547,0.64702547
1729967149,1729966859,0.79363906,0.29118437,0.9275446
1729984616,1729984336,0.3775444,1.5293922,0.71976155
1730005848,1730005563,1.7107981,1.0329553,0.8150534
1730027068,1730026789,2.0328135,-1.3123636,1.1823084
1730044546,1730044270,1.8922242,-2.3680286,0.87322253
1730065773,1730065497,4.1331306,1.654575,-0.5111912
1730087006,1730086723,-1.6149362,0.10351321,0.0054173116
1730106979,1730106701,-0.94609034,-1.172505,-0.6214365
1730125708,1730125430,0.49537334,4.2479105,1.2720019
1730145685,1730145408,1.3950235,-3.583277,-1.332265
1730166926,1730166643,-3.8489106,0.5657033,0.8192433
1730184401,1730184114,1.0418015,-3.6341002,-0.77228916
1730205617,1730205341,-3.1570363,-1.5377617,-0.33516604
1730226855,1730226567,0.73196024,3.5505836,-0.24798581
1730248113,1730247794,1.8340456,1.573649,1.5549175
1730265566,1730265274,-5.6217813,-2.031995,-0.19131608
1730285529,1730285252,3.9858053,3.9758992,0.5578507
1730306758,1730306478,1.1553885,-1.4712782,0.5958124
1730324235,1730323959,-2.3230267,0.9307416,-1.1118348
1730345462,1730345185,4.44698,5.5237875,0.5204027
1730366701,1730366412,0.79644805,-0.317887,0.7415616
1730387914,1730387638,-3.5993276,-2.350067,0.2842464
1730405402,1730405118,4.2127247,3.2353559,-0.11717556
1730426632,1730426345,-1.7532576,-0.8719157,1.6026807
1730447895,1730447576,-1.9751164,-5.5201783,0.39297372
1730464080,1730463803,0.4007583,3.312559,0.11849549
1730485306,1730485029,-1.7167642,-2.1514974,-0.6663582
1730506533,1730506256,-6.4046245,-5.0507855,0.07097693
1730527776,1730527482,2.2156923,2.8209188,-0.13330796
1730545239,1730544963,0.17868608,-0.70277584,0.26262668
1730566468,1730566192,-6.322631,-5.7568784,0.096858546
1730587692,1730587416,1.7473743,1.0029045,0.35526583
1730603937,1730603647,-7.06098,-3.7138903,0.23179471
1730625151,1730624874,-5.5976243,-1.9431865,-0.51624453
1730646384,1730646100,6.574088,3.2554872,-1.2907183
1730667610,1730667326,5.838635,5.278871,0.16973157
1730686335,1730686055,-8.583697,-5.665852,1.7045388
1730706310,1730706033,3.6976082,4.309145,-0.78444207
1730727551,1730727260,7.4021916,4.01945,-1.2209386
1730746266,1730745989,-6.2156606,-5.895682,0.8337205
1730764994,1730764718,3.787939,4.3204055,0.3213648
1730786225,1730785948,4.356188,3.5490606,0.0031898308
1730807448,1730807171,-2.0218976,-3.9677076,1.3503156
1730824927,1730824651,2.3748786,4.0249376,-1.4957213
1730846154,1730845877,1.2170179,0.14135508,-1.5137609
1730867390,1730867104,0.78643036,-0.113418244,1.3745576
1730884865,1730884584,5.8428755,4.6829777,-1.6138555
1730906099,1730905811,1.400931,1.6133329,-1.4434773
1730926065,1730925788,-4.1083755,-6.4665976,1.692749
1730947298,1730947015,-1.0641644,-0.40801215,0.8009686
1730964772,1730964496,4.0827003,3.0720375,-1.4051019
1730986001,1730985721,1.9759604,-1.3223228,0.8524135
1731007230,1731006951,0.6565249,0.5344211,1.6795586
1731025964,1731025677,1.0093089,-0.46130747,-0.8003023
1731045939,1731045655,-3.1672971,1.9966171,-0.84813654
1731067165,1731066881,-7.5254383,3.021152,-0.18790893
1731085889,1731085610,-1.5873852,7.525353,0.2328087
1731105867,1731105588,-0.123156354,8.733591,0.6382187
1731125860,1731125566,4.8091445,4.9656343,0.077599846
1731147071,1731146792,2.2693486,2.0494413,0.14313306
1731165801,1731165524,7.418855,5.1064153,-0.37416455
1731185782,1731185499,0.409956,2.9210038,0.90440476
1731207012,1731206725,5.6666546,-1.671782,-1.5000101
1731225734,1731225454,3.817601,-5.915059,-0.63794607
1731245713,1731245436,-11.780617,-8.095209,-0.40412462
1731265687,1731265410,-7.2279124,-3.7176948,-0.3687284
1731286927,1731286643,5.6334057,1.1654435,-0.2138777
1731304401,1731304117,1.6731327,-6.386809,-1.1971235
1731325644,1731325357,-1.3515248,-3.0115404,0.6948965
1731346862,1731346569,-2.6421232,-4.1870375,-0.29842883
1731365577,1731365301,-4.907451,-8.337108,-0.97762346
1731385564,1731385276,-6.9216523,-6.4163327,-0.85067034
1731405532,1731405256,-10.542757,-2.7310102,-1.1902356
1731426760,1731426480,4.9850197,3.1247683,0.49945563
1731444237,1731443961,4.365575,1.7358803,-0.051264316
1731465464,1731465187,3.4659662,2.4580853,0.84207267
1731486701,1731486414,1.5949423,-0.005540052,0.32225958
1731504170,1731503894,1.0176219,-3.0228817,-0.8747243
1731525406,1731525120,0.75750357,-1.6860969,-0.77857876
1731546634,1731546346,-0.25812268,-0.9972191,-1.3396113
1731564106,1731563827,1.0678744,-2.2042997,0.6224797
1731585344,1731585068,1.518891,-3.04056,0.4989322
1731605312,1731605026,0.254561,1.7143308,-0.6164909
1731626534,1731626257,0.37008423,1.7598314,-0.09307571
1731645268,1731644988,-1.567223,-0.5779532,-0.28917134
1731665242,1731664965,-0.8546847,1.7465531,-0.10782481
1731686467,1731686190,-0.6172636,-2.0709941,-0.0050830105
1731705218,1731704936,0.026609244,-0.8276513,-0.30283996
1731725190,1731724914,3.3757062,2.6116202,0.50451034
1731745152,1731744876,-0.45718706,-2.959109,-0.067212835
1731766392,1731766101,0.9206508,1.678622,0.6820344
1731785127,1731784851,2.4362857,-0.0033826777,1.7229923
1731805085,1731804808,-3.7543607,0.2624815,-0.48823434
1731826311,1731826034,-1.4849052,-2.6168387,0.7778368
1731845040,1731844764,0.2877368,1.9269595,-1.1757276
