timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
42501795,-0.010774723,0.00334273,-0.0017061214,5009,0,-0.2924177,0.3145196,-9.711959,5009,0
42506802,-0.0086043645,0.0014795811,-0.0013628708,5007,0,-0.290419,0.32865745,-9.665779,5007,0
42511811,-0.009604688,0.00331847,-0.00034075533,5009,0,-0.27547503,0.33833867,-9.708727,5009,0
42516821,-0.008211422,0.0021671453,-0.0015967705,5010,0,-0.30955184,0.3389741,-9.69882,5010,0
42521816,-0.0074139806,0.002935805,-0.0018293483,4995,0,-0.3005379,0.3182943,-9.697978,4995,0
42526822,-0.00850082,0.0025392508,-0.0024656367,5006,0,-0.29832578,0.34892437,-9.718605,5006,0
42531827,-0.009077555,0.0016415911,-0.0016612087,5005,0,-0.30195764,0.33480173,-9.716231,5005,0
42536837,-0.008438325,0.0019630252,-0.0018839386,5010,0,-0.3044391,0.3141545,-9.672971,5010,0
42541843,-0.008045741,0.0040241657,-0.0020758295,5006,0,-0.30327326,0.33179593,-9.696899,5006,0
42546848,-0.00813311,0.0036653308,-0.0021970128,5005,0,-0.3147712,0.302185,-9.727887,5005,0
42551860,-0.009158379,0.0028174417,-0.0009680896,5012,0,-0.2998915,0.3200999,-9.678784,5012,0
42556870,-0.00845491,0.0024845866,-0.0019640701,5010,0,-0.30173734,0.31181294,-9.68476,5010,0
42561876,-0.008799943,0.0030368946,-0.0019160103,5006,0,-0.3039967,0.31688893,-9.701477,5006,0
42566887,-0.007908596,0.0022483887,-0.0014210725,5011,0,-0.299236,0.30071017,-9.681563,5011,0
42571897,-0.009140882,0.0024946206,-0.00028682902,5010,0,-0.31422287,0.31884852,-9.696778,5010,0
42576907,-0.007105609,0.0029151125,-0.0024357405,5010,0,-0.29609856,0.3213647,-9.716015,5010,0
42581917,-0.0087897675,0.0013338518,-0.0015820788,5010,0,-0.29696482,0.31629673,-9.714112,5010,0
42586930,-0.009320893,0.0033055348,-0.0011288926,5013,0,-0.29682606,0.329157,-9.693267,5013,0
42591938,-0.009670037,0.003376143,-0.0017297064,5008,0,-0.28588215,0.34863052,-9.688727,5008,0
42596948,-0.009460621,0.0030556398,-0.0010181828,5010,0,-0.3092195,0.33530983,-9.698449,5010,0
42601960,-0.009718404,0.002570282,-0.0006749911,5012,0,-0.28709728,0.2967194,-9.678795,5012,0
42606969,-0.008740815,0.0031788866,-0.0018011451,5009,0,-0.29276577,0.32863247,-9.69378,5009,0
42611979,-0.009536806,0.002009854,-0.0014346279,5010,0,-0.30750427,0.32010382,-9.701681,5010,0
42616990,-0.00904927,0.0022437673,-0.00074677676,5011,0,-0.2918319,0.32098165,-9.694237,5011,0
42622003,-0.008103387,0.0027004755,-0.0014486396,5013,0,-0.2948214,0.32958254,-9.698174,5013,0
42627030,-0.009006724,0.0022443132,2.0239453e-05,5027,0,-0.3094539,0.31935337,-9.681395,5027,0
42632018,-0.009479185,0.003023167,-0.0015683407,4988,0,-0.30830774,0.33792627,-9.707362,4988,0
