timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
1333140258,-0.000512439,0.0021110615,-0.015684238,5006,0,-0.05044557,0.19253968,-9.903951,5006,0
1333145239,-0.0004629008,0.0023142477,-0.03502276,4981,0,0.1490492,0.39129984,-9.665253,4981,0
1333150231,0.005746573,0.011152008,-0.05008778,4992,0,0.1846842,0.38876322,-9.912104,4992,0
1333155225,-0.0062528574,0.0009208748,-0.057559993,4994,0,0.15825891,0.579171,-9.809502,4994,0
1333160219,-0.004347392,0.0060576983,-0.052474737,4994,0,0.3192825,0.550202,-9.748087,4994,0
1333165214,-0.0058349217,0.0050366763,-0.0359488,4995,0,0.12290647,0.5571619,-9.850056,4995,0
1333170208,-0.007518058,0.006411383,-0.008092245,4994,0,0.1723644,0.4574379,-9.798105,4994,0
1333175210,-0.0010274245,0.0051156445,0.021524008,5002,0,0.15063421,0.39917547,-9.883108,5002,0
1333180197,-0.0050912937,0.002633699,0.042812306,4987,0,0.022764573,0.25870618,-9.852322,4987,0
1333185191,0.00047271393,0.0018802945,0.052644663,4994,0,0.007813852,0.3463235,-9.89705,4994,0
1333190192,-0.012714339,-0.003650586,0.050567843,5001,0,0.19621703,0.23955648,-9.855159,5001,0
1333195182,-0.0002470591,-0.0055130417,0.03908329,4990,0,0.23810631,0.34227163,-9.824318,4990,0
1333200173,-0.0034688883,0.0004153632,0.024983855,4991,0,0.15814775,0.18043263,-9.782972,4991,0
1333205168,0.0022162085,0.0070863715,0.018109003,4995,0,-0.01548416,0.16177844,-9.814795,4995,0
1333210162,-0.013279937,0.0017430405,0.01547202,4994,0,0.1794541,0.13713774,-9.656033,4994,0
1333215160,0.00945441,0.0059749233,0.00568578,4998,0,0.042732403,0.17306688,-9.712418,4998,0
1333220153,0.007638238,-3.5956524e-05,-0.008301985,4993,0,-0.043647297,0.39664397,-9.844924,4993,0
1333225145,-0.005868376,0.0043969424,-0.027620858,4992,0,0.26477143,0.29317933,-9.936392,4992,0
1333230139,-0.013553413,-0.00956856,-0.042996634,4994,0,0.31122187,0.65141106,-9.871206,4994,0
1333235163,0.0019304083,0.0051932363,-0.044624954,5024,0,0.27977037,0.36378068,-9.831406,5024,0
1333240128,0.004037097,0.0108795315,-0.034369424,4965,0,0.12041173,0.43764433,-9.901444,4965,0
1333245122,-0.0100399265,0.0046879053,-0.009830123,4994,0,0.017734399,0.43912664,-9.604388,4994,0
1333250120,0.007761253,0.016122112,0.0090758875,4998,0,0.13551268,0.5053734,-9.729644,4998,0
1333255114,-0.006037672,-0.0016129825,0.013012587,4994,0,0.24103849,0.42290974,-9.909393,4994,0
1333260105,-0.012953517,-0.009452516,0.01776199,4991,0,0.24398665,0.59398913,-9.817002,4991,0
1333265099,-0.020473965,0.008129858,0.024877615,4994,0,0.2595305,0.30280054,-10.01483,4994,0
1333270093,0.0006274833,0.004307457,0.028073423,4994,0,-0.0051875417,-0.04643603,-10.091002,4994,0
1333275107,0.009543407,0.0063221003,0.03621256,5014,0,-0.15720752,0.4487342,-9.552069,5014,0
1333280085,0.0065753767,0.020802211,0.044716343,4978,0,0.075502,0.1473668,-9.8077345,4978,0
1333285080,0.0014067416,-0.008422994,0.02050082,4995,0,0.36315763,0.36371633,-9.95308,4995,0
1333290071,-0.022326697,-0.01295617,0.0018073734,4991,0,0.121461295,0.36513877,-9.596609,4991,0
1333295067,-0.007726522,0.00018556668,-0.005264978,4996,0,0.16907705,0.11433526,-9.85589,4996,0
1333300059,0.00746271,0.0083355345,-0.015351785,4992,0,-0.006171366,-0.038146786,-10.006643,4992,0
1333305056,0.0021906055,0.014512373,-0.0062126676,4997,0,-0.1236635,0.49539894,-9.549244,4997,0
1333310050,0.02501223,0.0054293526,-0.022614142,4994,0,0.33594668,0.78788096,-9.995173,4994,0
1333315044,-0.022523286,-0.011422456,-0.043750312,4994,0,0.51025856,0.2000346,-9.999765,4994,0
1333320059,-0.049030084,0.008337129,-0.015796965,5015,0,0.12174734,0.13232265,-9.838342,5015,0
1333325033,0.034269784,-0.0006378998,-0.011437559,4974,0,-0.10003478,0.46074563,-9.862701,4974,0
1333330031,0.011784228,0.009479125,-0.0029190702,4998,0,0.047648475,0.5954068,-9.253036,4998,0
1333335021,-0.0068390095,0.014183596,0.0115050655,4990,0,0.44481632,0.70005244,-10.260856,4990,0
1333340016,0.0022978866,-0.002879019,0.007991717,4995,0,0.1393273,0.17605473,-10.202615,4995,0
1333345010,-0.05621908,-0.0012299912,0.024790704,4994,0,0.2673022,-0.04859928,-9.64347,4994,0
1333350005,0.011035308,-0.0042227674,0.031898696,4995,0,-0.113611944,0.5936703,-9.933892,4995,0
1333354999,0.041655924,0.014012853,0.032466263,4994,0,-0.11505371,0.51840526,-9.066681,4994,0
1333359993,-0.013485438,0.0017284607,0.026942834,4994,0,0.52105033,0.30347314,-10.433944,4994,0
1333364984,-0.0017174215,-0.020402415,0.008071252,4991,0,0.10604742,0.049895484,-10.121938,4991,0
1333369982,-0.042941686,0.007147239,0.012555591,4998,0,-0.018057624,-0.010063486,-9.846817,4998,0
1333374973,0.007289888,0.010386391,-0.0050499844,4991,0,-0.0070075165,0.393603,-9.763419,4991,0
1333379970,0.03153263,0.0131505355,-0.0011069694,4997,0,-0.057365596,0.56012887,-9.0673,4997,0
1333384961,0.0060966937,-0.0010700367,-0.014984104,4991,0,0.84140146,0.6488994,-10.280332,4991,0
1333389959,-0.017078796,-0.0143220965,-0.024073137,4998,0,-0.25894633,0.108173974,-10.009017,4998,0
1333394950,-0.04265283,0.015083615,-0.016893784,4991,0,-0.02135676,0.10070554,-9.894719,4991,0
1333399944,0.0035994651,0.0014093241,-0.02013041,4994,0,0.16866478,0.45996255,-9.551495,4994,0
1333404942,0.042183626,0.021563988,0.0030524626,4998,0,0.1965389,0.4536517,-9.698301,4998,0
1333409933,-0.013116901,-0.009713426,0.0013311136,4991,0,0.7775429,0.5052213,-10.4976635,4991,0
1333414927,-0.017096803,0.0022439894,0.008305302,4994,0,-0.53334075,0.37653807,-9.501377,4994,0
1333419924,-0.040642124,0.008651079,0.0022904754,4997,0,0.20988986,0.2580495,-9.828969,4997,0
1333424916,0.024573669,-0.00296323,0.015549122,4992,0,0.09824546,0.30618864,-9.373377,4992,0
1333429913,0.031166868,0.008761771,0.030576456,4997,0,0.84916836,0.34681097,-9.945601,4997,0
1333434906,-0.015906604,-0.018043686,0.017000914,4993,0,-0.08212045,0.48010033,-10.362824,4993,0
1333439901,-0.036908302,0.023713902,0.015129705,4995,0,-0.27000788,-0.06557951,-9.632823,4995,0
1333444893,-0.013011571,-0.0014958761,-0.005090326,4992,0,0.169401,0.6037229,-9.662545,4992,0
1333449890,0.037934583,0.0064242366,0.013486355,4997,0,0.024815178,0.19306946,-9.311671,4997,0
1333454881,0.008136237,-0.0013018599,0.0018676468,4991,0,1.0770228,0.5164405,-10.411606,4991,0
1333459879,-0.015135807,-0.0038129068,-0.006463227,4998,0,-0.7273417,0.12637788,-9.999229,4998,0
