timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
382544774,-0.0020606208,0.0024731793,0.0024227458,4998,0,0.59841835,0.05446882,-9.836947,4998,0
382559753,-0.0023613602,0.0020470445,0.003020697,4994,0,0.59022087,0.089339055,-9.813428,4994,0
382564748,-0.00092516147,0.0036005073,0.0022947092,4995,0,0.58371025,0.057558544,-9.818565,4995,0
382569749,-0.0031901575,0.003444011,0.0012457904,5001,0,0.6171648,0.061926056,-9.816252,5001,0
382574737,-0.0028987734,0.004099299,0.0024194168,4988,0,0.60344225,0.05485656,-9.814519,4988,0
382579736,-0.0039627748,0.0027474822,0.002818441,4999,0,0.598724,0.04627701,-9.799485,4999,0
382584727,-0.0024929515,0.0034288024,0.0027564066,4991,0,0.6161617,0.042240813,-9.820417,4991,0
382589721,-0.0017748902,0.00441957,0.0023872552,4994,0,0.61861825,0.07425396,-9.838163,4994,0
382594716,-0.0016269055,0.0030271537,0.0011592079,4995,0,0.613995,0.0824983,-9.8222065,4995,0
382599711,-0.0022525743,0.0016402114,0.0018943741,4995,0,0.60848933,0.06895007,-9.849979,4995,0
382604705,-0.0024200673,0.0039013433,0.0011305984,4994,0,0.5922437,0.053779528,-9.823068,4994,0
382609700,-0.002494889,0.004295674,0.0017117118,4995,0,0.60949636,0.05496244,-9.830396,4995,0
382614699,-0.0011752738,0.0031096998,0.0026774753,4999,0,0.6334418,0.053082522,-9.820852,4999,0
382619689,-0.0014608913,0.0023485092,0.0021794157,4990,0,0.60827166,0.07152091,-9.829403,4990,0
382624684,-0.001139491,0.005487759,0.0031417257,4995,0,0.611525,0.07026942,-9.816751,4995,0
382629678,-0.0019088173,0.002518192,0.0033136474,4994,0,0.6060959,0.066049315,-9.830853,4994,0
382634673,-0.0010821356,0.0012852993,0.0011629668,4995,0,0.6237589,0.034203574,-9.817495,4995,0
382639668,-0.0020612243,0.004224518,0.001426997,4995,0,0.63172007,0.06675551,-9.841614,4995,0
382644662,-0.0026212516,0.0047664163,0.003628209,4994,0,0.63865215,0.04309704,-9.8308525,4994,0
382649668,-0.00256251,0.003656992,0.0024314176,5006,0,0.5932568,0.06196167,-9.793002,5006,0
382654652,-0.0029597476,0.0010594393,0.0023538135,4984,0,0.61181056,0.06412628,-9.81134,4984,0
382659646,-0.0017399912,0.0043929415,0.002792097,4994,0,0.61958814,0.07014833,-9.8259735,4994,0
382664641,-0.0011792983,0.0037296168,0.0025373132,4995,0,0.6146093,0.028952029,-9.82482,4995,0
382669636,-0.001550794,0.0021350402,0.0020513262,4995,0,0.5834997,0.048025534,-9.807493,4995,0
382674630,-0.0025736075,0.004056134,0.0020658046,4994,0,0.6058648,0.055302765,-9.806672,4994,0
382679625,-0.0025094333,0.0048235776,0.0029479477,4995,0,0.6182771,0.05665891,-9.804775,4995,0
382684620,-0.0011681883,0.0044583543,0.003731462,4995,0,0.62611455,0.06266369,-9.796736,4995,0
382689614,-0.002746398,0.0030398527,0.003055986,4994,0,0.620151,0.07396698,-9.807895,4994,0
382694609,-0.003237784,0.005639549,0.002190933,4995,0,0.6038206,0.062152818,-9.8155985,4995,0
382699604,-0.0028768147,0.003275711,0.0025524618,4995,0,0.6299071,0.07369496,-9.81385,4995,0
382704598,-0.0020119415,0.002247634,0.0032216264,4994,0,0.6146605,0.0814099,-9.786789,4994,0
382709593,-0.00047517227,0.005040343,0.0033797175,4995,0,0.62920034,0.07134709,-9.804501,4995,0
382714588,-0.0024434493,0.00617585,0.0037565979,4995,0,0.60669357,0.059154566,-9.819007,4995,0
382719582,0.0036776967,0.00026218896,0.009819204,4994,0,0.7350684,0.50407594,-9.809072,4994,0
382724577,-0.019718658,0.0015819236,0.032953534,4995,0,0.43877813,-0.5677761,-9.703327,4995,0
382729571,0.020532412,0.0023159545,0.037506983,4994,0,0.6520018,0.5829456,-9.971234,4994,0
382734566,-0.022906946,0.0034461392,0.036130033,4995,0,0.7281133,-0.28803208,-9.690951,4995,0
