timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
172429310,172428706,-0.84820235,0.0072725583,-0.015974684,0.52938163,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172484272,172483637,-0.8481991,0.0072642816,-0.015951881,0.5293876,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172534200,172533578,-0.8482161,0.0072737676,-0.015941832,0.5293605,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172579150,172578525,-0.84822404,0.0072516524,-0.015934616,0.5293483,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172629094,172628467,-0.84824306,0.007241247,-0.015939383,0.52931786,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172684024,172683403,-0.8482542,0.007227695,-0.015967079,0.5292993,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172733974,172733344,-0.8486108,0.007313401,-0.015960913,0.5287264,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172778893,172778291,-0.8482548,0.0072626006,-0.016093895,0.5292941,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172833828,172833226,-0.8486132,0.007144003,-0.01599163,0.52872396,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172883774,172883169,-0.84782475,0.0070426636,-0.016077172,0.529986,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172933734,172933109,-0.8485145,0.0070258793,-0.01602212,0.52888286,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
172978681,172978059,-0.84817934,0.006974659,-0.016123205,0.52941793,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173033628,173032995,-0.84831566,0.00675635,-0.016121909,0.5292023,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173083541,173082933,-0.8483264,0.006750157,-0.016109021,0.52918553,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173133489,173132875,-0.8483194,0.0065484606,-0.015977375,0.52920324,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173183452,173182816,-0.848508,0.0064374404,-0.016175887,0.52889615,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173233340,173232756,-0.8483876,0.0063125743,-0.01610633,0.5290929,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173283296,173282701,-0.8484598,0.0066321446,-0.01597077,0.52897745,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173328226,173327645,-0.84838426,0.0067961505,-0.01605488,0.5290938,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173383185,173382580,-0.84844816,0.0067554736,-0.016026355,0.5289927,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173433110,173432521,-0.8483573,0.006836307,-0.01608663,0.52913547,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173483078,173482463,-0.84846926,0.006749427,-0.015924035,0.5289621,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173532993,173532404,-0.84835505,0.0071221823,-0.015972398,0.52913886,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173582946,173582345,-0.84842795,0.0069523915,-0.015838718,0.52902824,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173632874,173632286,-0.84835535,0.0072270017,-0.016055938,0.52913445,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173682832,173682228,-0.84833455,0.0062256423,-0.016026823,0.5291815,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173732760,173732169,-0.84841365,0.0065820776,-0.016131816,0.5290471,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173782703,173782110,-0.8483274,0.006502643,-0.015975121,0.5291909,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173832667,173832052,-0.8483831,0.0072020907,-0.016004086,0.52909184,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173882585,173881993,-0.84843916,0.007201193,-0.015864694,0.5290061,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173932534,173931934,-0.84849435,0.0074007367,-0.015898798,0.528914,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
173982466,173981875,-0.84846723,0.0072949063,-0.015790327,0.52896214,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174032440,174031817,-0.84851724,0.0074915295,-0.015945042,0.5288744,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174082342,174081758,-0.8484731,0.007332754,-0.01577285,0.52895266,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174132331,174131699,-0.8485582,0.0066947793,-0.016156837,0.5288131,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174182227,174181641,-0.8485683,0.0067582647,-0.016037207,0.5287996,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174232335,174231582,-0.8485774,0.0064927214,-0.016130468,0.52878547,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174282149,174281523,-0.84844446,0.006848371,-0.015924893,0.52900046,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174332199,174331465,-0.8486173,0.0069801006,-0.01595463,0.5287206,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174382003,174381406,-0.848478,0.007133716,-0.015857218,0.52894497,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174432032,174431347,-0.8486068,0.0069035334,-0.016013447,0.52873665,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174481883,174481288,-0.8485499,0.0070242044,-0.015966846,0.5288279,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174532008,174531230,-0.8486986,0.0070150336,-0.015981646,0.5285889,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174581774,174581171,-0.84867907,0.007299323,-0.015943328,0.5286175,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174631734,174631113,-0.84875274,0.0071806437,-0.015789451,0.5285053,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174681642,174681054,-0.8485957,0.0074234856,-0.015885785,0.52875125,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174731599,174730995,-0.8486767,0.007596444,-0.015828447,0.52862066,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174781546,174780936,-0.84859514,0.00807517,-0.015749574,0.5287466,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174831513,174830894,-0.8486869,0.007924711,-0.015782239,0.52860075,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174881420,174880818,-0.8485874,0.008185134,-0.015720533,0.5287583,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174931388,174930760,-0.8486732,0.008211307,-0.015642533,0.52862257,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
174981293,174980701,-0.84862083,0.008664561,-0.015501867,0.5287035,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175031288,175030642,-0.8487521,0.009293662,-0.015450075,0.5284836,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175081169,175080584,-0.8486876,0.009853767,-0.015302723,0.5285813,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175131162,175130525,-0.84870857,0.010165692,-0.0152698625,0.5285426,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175181052,175180467,-0.84864,0.0109066,-0.014946196,0.52864707,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175231040,175230408,-0.84862405,0.011858306,-0.014776172,0.52865714,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175285954,175285343,-0.8486346,0.0134336995,-0.014383178,0.52861327,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175330924,175330290,-0.84855694,0.01490442,-0.014044331,0.5287078,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175380811,175380232,-0.84856904,0.016340762,-0.013687433,0.5286552,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175430770,175430173,-0.84863776,0.0167465,-0.013599388,0.52853453,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175480706,175480114,-0.8486949,0.01717449,-0.013501426,0.52843136,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175530656,175530055,-0.84870344,0.01692821,-0.0135355275,0.5284248,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175580592,175579996,-0.8487756,0.017514514,-0.013479857,0.52829105,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175635540,175634932,-0.848688,0.017204126,-0.013339829,0.5284458,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175680466,175679879,-0.84870917,0.017961433,-0.0132760005,0.52838796,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175730426,175729820,-0.84881055,0.017944356,-0.013229832,0.528227,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175780342,175779762,-0.8486792,0.018178033,-0.013192274,0.528431,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175835322,175834697,-0.84881985,0.0178946,-0.013002416,0.52821934,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175880224,175879644,-0.8486742,0.018152537,-0.013287923,0.5284375,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175930172,175929586,-0.8488513,0.018123452,-0.013457222,0.52814955,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
175985110,175984521,-0.84873205,0.017886948,-0.013191542,0.5283559,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
176030090,176029468,-0.8488327,0.018335072,-0.013422352,0.52817285,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
176080003,176079413,-0.84888226,0.018470077,-0.013090993,0.5280969,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
176129944,176129351,-0.84888655,0.017749928,-0.0135536585,0.52810323,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
176184885,176184286,-0.84889853,0.01714628,-0.0136859175,0.52810055,0.9999995,2.9207063e-08,2.8900658e-08,-0.0010141609,3
