timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
275964307,0.19704305,0.006054666,-0.012462958,0.980297,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
275969318,0.19702964,0.006057379,-0.01246537,0.9802996,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276014424,0.19694965,0.0060641915,-0.012483311,0.98031545,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276069554,0.1968578,0.0060859285,-0.0125116985,0.9803333,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276114660,0.19677585,0.0061003803,-0.012525953,0.9803495,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276164780,0.19669174,0.006100087,-0.012529391,0.9803664,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276219907,0.19659545,0.006082271,-0.012528067,0.98038584,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276265013,0.19652046,0.006073568,-0.012528734,0.98040086,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276315131,0.19642533,0.0060923994,-0.012541145,0.98041975,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276365249,0.19632877,0.0061083157,-0.012549325,0.9804388,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276415404,0.19622754,0.0061118207,-0.012549579,0.9804591,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276465485,0.19612972,0.0061084363,-0.012535132,0.9804788,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276515603,0.19603221,0.0060933293,-0.01252083,0.9804986,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276565721,0.19592978,0.0060904874,-0.012508129,0.9805193,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276615841,0.1958384,0.0060868934,-0.012516341,0.9805375,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276665957,0.19575535,0.006104154,-0.012531825,0.9805537,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276716075,0.1956543,0.0061032865,-0.012544164,0.9805737,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276766193,0.19554909,0.006086696,-0.012538212,0.9805949,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276816315,0.1954464,0.0060854596,-0.012534623,0.9806154,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276866429,0.1953685,0.0060921595,-0.012544871,0.9806308,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276916547,0.1952703,0.0061022984,-0.012542922,0.9806503,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
276966665,0.19516236,0.0061048917,-0.012553269,0.98067164,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277016782,0.1950763,0.006102389,-0.012547125,0.9806888,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277066901,0.1949856,0.0060975705,-0.012550706,0.9807068,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277117019,0.19489023,0.00610233,-0.012548254,0.9807258,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277167138,0.1947888,0.0060972255,-0.012548215,0.980746,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277217254,0.19469553,0.006103211,-0.012546917,0.9807645,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277267373,0.19460388,0.006112268,-0.012556205,0.9807825,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277317490,0.19449617,0.006101986,-0.012547332,0.9808041,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277367608,0.1943875,0.0060877777,-0.012537671,0.9808259,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277412715,0.1943011,0.006076634,-0.012528747,0.9808431,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277467847,0.1942071,0.0060961894,-0.012534331,0.98086154,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
277517971,0.19410256,0.006105302,-0.012554705,0.980882,0.9999998,9.0617325e-10,6.517217e-10,-0.0005886721,3
