timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
31536055,31535456,-0.23145854,-0.0091974465,0.11021872,0.9665372,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
31590987,31590402,-0.23155858,-0.009068821,0.11029787,0.96650547,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
31640954,31640354,-0.2312959,-0.009208704,0.11067039,0.9665244,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
31686019,31685310,-0.23137645,-0.009305338,0.1106305,0.96650887,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
31735873,31735262,-0.23121896,-0.009020853,0.11066902,0.96654475,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
31790792,31790209,-0.2311499,-0.008623079,0.110491626,0.9665853,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
31840758,31840161,-0.23103432,-0.00839392,0.110306524,0.966636,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
31885733,31885117,-0.23106223,-0.008371815,0.11055352,0.9666014,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
31940657,31940064,-0.23086482,-0.008592947,0.11085213,0.9666124,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
31990759,31990019,-0.23073152,-0.008437018,0.11079306,0.96665233,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32040570,32039968,-0.23062778,-0.007891924,0.11065866,0.96669704,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32085559,32084938,-0.23048611,-0.0075309807,0.11052992,0.9667485,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32140462,32139871,-0.23028734,-0.007676498,0.11073706,0.966771,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32190425,32189823,-0.23010947,-0.007735782,0.11093352,0.9667903,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32235391,32234780,-0.23000024,-0.0073452163,0.11079964,0.9668347,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32290313,32289726,-0.22987665,-0.0073099616,0.11082157,0.96686196,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32340261,32339678,-0.2298695,-0.0074330675,0.11116959,0.9668227,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32390217,32389630,-0.22965057,-0.007461656,0.11135658,0.96685296,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
