timestamp,main_state
1635530268,8
1636035084,8
1636543082,8
1637050081,8
1637557085,8
1638064372,8
1638572183,8
1639079263,8
1639586082,8
1640095288,8
1640602232,8
1641108275,8
1641617092,8
1642124182,8
1642632498,8
1643140082,8
1643646236,8
1644153081,8
1644661081,8
1645168581,8
1645675270,8
1646184154,8
1646690122,8
1647197080,8
1647704087,8
1648211514,8
1648717969,8
1649224084,8
1649733118,8
1650239248,8
1650746218,8
1651254086,8
1651763083,8
1652270121,8
1652777093,8
1653284489,8
1653793082,8
1654299214,8
1654805083,8
1655312216,8
1655819346,8
1656326084,8
1656832084,8
1657230723,8
1657731312,8
