timestamp,main_state
78980196,8
79485084,8
79991905,8
80498152,8
81004515,8
81513089,8
82019102,8
82526227,8
83033202,8
83539077,8
84046492,8
84553017,8
85059078,8
85566424,8
86073156,8
86581156,8
87088172,8
87595208,8
88102248,8
88609079,8
89115142,8
89621206,8
90128079,8
90636179,8
91143081,8
91650523,8
92156605,8
92663079,8
93170078,8
93676333,8
94183087,8
94690107,8
95198204,8
95704077,8
96133291,2
96639254,2
97147150,2
97653079,2
98160081,2
98667894,2
99173079,2
99680191,2
100186218,2
100692876,2
101200102,2
101707082,2
102214080,2
102723299,2
103229091,2
103735122,2
104243203,2
104749079,2
105256215,2
105762079,2
106270171,2
106781087,2
107288079,2
107794204,2
108301498,2
108808262,2
108819176,2
109325118,2
109402811,2
109909075,2
110415126,2
110537647,2
111044119,2
111551174,2
112058130,2
112565317,2
113071265,2
113577105,2
113830364,2
113845161,2
114349106,2
