timestamp,main_state
598070358,8
598577146,8
599085064,8
599592108,8
600098086,8
600604278,8
601111127,8
601619089,8
602125212,8
602632117,8
603138088,8
603646203,8
604152312,8
604659093,8
605167226,8
605676089,8
606183086,8
606689092,8
607196230,8
607705177,8
608214260,8
608721088,8
609228109,8
609734795,8
610243087,8
610751960,8
610795366,2
610839139,4
611348127,4
611857091,4
612000332,4
612508092,4
613014376,4
613521300,4
614029242,4
614538167,4
615047059,4
615556128,4
616063234,4
616570096,4
617012401,4
617512659,4
