timestamp,main_state_changes,main_state
18402589,0,0
18913019,0,0
19413035,0,0
19922943,0,0
20125128,1,2
20625218,1,2
21125954,1,2
21626944,1,2
22135117,1,2
22645069,1,2
23145536,1,2
23656014,1,2
24164543,1,2
24674097,1,2
25185064,1,2
25685295,1,2
26186983,1,2
26687144,1,2
27197037,1,2
27697303,1,2
28206949,1,2
28706990,1,2
29216943,1,2
29727944,1,2
30238052,1,2
30739328,1,2
31250159,1,2
31758944,1,2
32259024,1,2
32768948,1,2
33279943,1,2
33791565,1,2
34302102,1,2
34807022,1,2
35314193,1,2
35816075,1,2
36318250,1,2
36828944,1,2
37335352,1,2
37846410,1,2
38355997,1,2
38864019,1,2
39375112,1,2
39885102,1,2
40385284,1,2
40895064,1,2
41405314,1,2
41915991,1,2
42425946,1,2
42670346,2,11
43182308,2,11
43693054,2,11
44202949,2,11
44713224,2,11
45221955,2,11
45731949,2,11
46241944,2,11
46752979,2,11
47263436,2,11
47764200,2,11
48275112,2,11
48785191,2,11
49285591,2,11
49796567,2,11
49885906,2,11
50395994,2,11
