timestamp,main_state_changes,main_state
795948099,11,2
796454789,11,2
796960004,11,2
797471292,11,2
797980943,11,2
798492694,11,2
799001949,11,2
799510267,11,2
800020988,11,2
800532078,11,2
801032238,11,2
801541994,11,2
802052513,11,2
802562959,11,2
803063015,11,2
803573059,11,2
804081954,11,2
804593200,11,2
805105277,11,2
805615943,11,2
806126948,11,2
806627445,11,2
807127949,11,2
807628943,11,2
808139985,11,2
808648945,11,2
809158195,11,2
809669124,11,2
810178949,11,2
810678971,11,2
811179945,11,2
811689972,11,2
812202505,11,2
812711772,11,2
813221164,11,2
813732031,11,2
814232944,11,2
814742008,11,2
815254218,11,2
815754245,11,2
816264155,11,2
816774946,11,2
817284994,11,2
817794061,11,2
818305801,11,2
818816230,11,2
819324943,11,2
819825126,11,2
820335987,11,2
820845985,11,2
821348013,11,2
821857947,11,2
822358946,11,2
822859686,11,2
823369952,11,2
823869953,11,2
824370078,11,2
824881044,11,2
825392892,11,2
825894109,11,2
826402943,11,2
826914063,11,2
827415733,11,2
827926065,11,2
828436987,11,2
828947032,11,2
829447239,11,2
829956949,11,2
830457188,11,2
830966949,11,2
831467977,11,2
831977950,11,2
832488967,11,2
832999185,11,2
833508982,11,2
834019273,11,2
834518982,11,2
835019989,11,2
835527941,11,2
836038186,11,2
836549145,11,2
837059769,11,2
837569407,11,2
838079987,11,2
838589981,11,2
839099996,11,2
839599983,11,2
840100694,11,2
840611002,11,2
841112083,11,2
841620941,11,2
842121941,11,2
842633336,11,2
843144070,11,2
843644142,11,2
844152940,11,2
844656296,11,2
845166941,11,2
845666950,11,2
846176948,11,2
846677017,11,2
847188583,11,2
847688947,11,2
848188985,11,2
848700355,11,2
849210998,11,2
849711450,11,2
850220948,11,2
850732101,11,2
851243352,11,2
851752981,11,2
852262999,11,2
852772972,11,2
853282990,11,2
853783034,11,2
854285057,11,2
854788406,11,2
855298942,11,2
855798990,11,2
856310151,11,2
856821685,11,2
857331914,11,2
857832200,11,2
858342943,11,2
858854886,11,2
859354985,11,2
859865061,11,2
860375943,11,2
860886366,11,2
861396684,11,2
861906336,11,2
862415938,11,2
862926971,11,2
863435952,11,2
863945947,11,2
864445979,11,2
864946025,11,2
865449948,11,2
865960443,11,2
866471050,11,2
866972946,11,2
867475977,11,2
867985942,11,2
868494981,11,2
868995022,11,2
869508005,11,2
870018243,11,2
870527982,11,2
871028138,11,2
871539047,11,2
872049046,11,2
872560055,11,2
873061047,11,2
873573174,11,2
874084154,11,2
874592016,11,2
875092270,11,2
875601948,11,2
876102388,11,2
876612165,11,2
877123500,11,2
877633114,11,2
878144062,11,2
878644354,11,2
879154068,11,2
879655996,11,2
880156996,11,2
880665941,11,2
881176314,11,2
881686020,11,2
882186942,11,2
882687489,11,2
883197945,11,2
883699948,11,2
884200987,11,2
884709944,11,2
885210151,11,2
885718983,11,2
886230339,11,2
886742096,11,2
887249060,11,2
887760140,11,2
888270189,11,2
888780987,11,2
889290982,11,2
889791139,11,2
890300938,11,2
890802287,11,2
891310983,11,2
891811238,11,2
892320942,11,2
892821083,11,2
893330981,11,2
893841146,11,2
894350990,11,2
894859944,11,2
895361947,11,2
895871305,11,2
896380943,11,2
896881146,11,2
897390981,11,2
897901234,11,2
898410984,11,2
898920943,11,2
899421978,11,2
899921988,11,2
900432059,11,2
900932945,11,2
901444804,11,2
901955169,11,2
902465952,11,2
902967880,11,2
903467942,11,2
903977941,11,2
904488942,11,2
904989201,11,2
905498986,11,2
906010159,11,2
906518939,11,2
907019053,11,2
907529951,11,2
908039950,11,2
908550983,11,2
909052947,11,2
909552982,11,2
910064277,11,2
910574055,11,2
911084562,11,2
911594066,11,2
912104243,11,2
912614101,11,2
913115382,11,2
913625978,11,2
914135944,11,2
914646028,11,2
