timestamp,main_state
42202936,8
42707145,8
43215120,8
43723387,8
44230142,8
44736090,8
45245333,8
45753240,8
46262086,8
46768290,8
47276108,8
47783436,8
48289825,8
48795335,8
49302081,8
49808121,8
50317091,8
50825092,8
51331266,8
51839090,8
52346173,8
52853649,8
53360428,8
53867149,8
54373189,8
54880085,8
55387120,8
55894190,8
56400199,8
56907518,8
57415108,8
57922120,8
58429089,8
58936441,8
59443430,8
59949119,8
60457088,8
60963190,8
61470191,8
61976105,8
62483702,8
62990385,8
63498090,8
64007163,8
64513671,8
65022086,8
65530145,8
66038267,8
66545088,8
67053451,8
67561182,8
68067164,8
68575168,8
68675288,8
69181375,8
69690086,8
70197092,8
70704102,8
71210121,8
71717208,8
72225148,8
72732101,8
73239090,8
73691377,8
74192214,8
