timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
1332886683,nan,nan,nan,-1.1492273,0.0,0.008159373,-0.04796117,0.0015691104,-0.07215511,0.42413107,0.158448,nan,nan,8.0,nan,nan,nan
1332908084,nan,nan,nan,-1.1492429,0.0,0.008107375,-0.047110826,0.0018332097,-0.07296853,0.42400992,0.171264,nan,nan,8.0,nan,nan,nan
1333086404,nan,nan,nan,-1.1495891,0.0,0.0070135174,-0.048053555,0.0015476356,-0.06284709,0.43060082,0.15736,nan,nan,8.0,nan,nan,nan
1333286151,nan,nan,nan,-1.1489348,0.0,0.008347832,-0.04785402,0.0015444899,-0.07552994,0.4329761,0.1572,nan,nan,8.0,nan,nan,nan
1333485927,nan,nan,nan,-1.1494617,0.0,0.0024292453,-0.04825323,0.0015520448,-0.022218343,0.44133332,0.157584,nan,nan,8.0,nan,nan,nan
1333685956,nan,nan,nan,-1.1493355,0.0,0.0014179039,-0.044446368,0.001647548,-0.013682288,0.42889223,0.16236,nan,nan,8.0,nan,nan,nan
1333886159,nan,nan,nan,-1.1493497,0.0,0.00143091,-0.046935897,0.0017197608,-0.013492914,0.44258693,0.16588,nan,nan,8.0,nan,nan,nan
1334085459,nan,nan,nan,-1.1494308,0.0,0.0008197962,-0.048655223,0.0016316753,-0.007591986,0.45058727,0.161576,nan,nan,8.0,nan,nan,nan
1334285317,nan,nan,nan,-1.1494588,0.0,-0.002552628,-0.046392128,0.0016289296,0.024307895,0.441778,0.16144,nan,nan,8.0,nan,nan,nan
1334484755,nan,nan,nan,-1.1494508,0.0,-0.0028126626,-0.045761794,0.0015618303,0.026988437,0.43909964,0.15808,nan,nan,8.0,nan,nan,nan
1334684555,nan,nan,nan,-1.1494823,0.0,-0.004319748,-0.04516021,0.0015656266,0.04176418,0.4366179,0.158272,nan,nan,8.0,nan,nan,nan
1334884287,nan,nan,nan,-1.1493601,0.0,-0.0015022669,-0.04543876,-0.001559618,0.014524344,0.43931487,-0.157968,nan,nan,-8.0,nan,nan,nan
1335095291,nan,nan,nan,-1.149372,0.0,-0.005598503,-0.038736034,-0.0038464805,0.06202667,0.4291624,-0.24808,nan,nan,-8.0,nan,nan,nan
1335295209,nan,nan,nan,-1.1495649,0.0,-0.0009952098,-0.007360756,-0.0798085,0.027450062,0.20302576,-1.130016,nan,nan,-8.0,nan,nan,nan
1335494891,-1.6862525,-7.7880177,nan,-1.1495649,0.0,0.0,0.0,-0.38714674,0.0,0.0,-1.499779,nan,nan,-8.0,nan,nan,nan
1335694556,-1.6862525,-7.7880177,nan,-1.1495649,0.0,0.0,0.0,-0.6179748,0.0,0.0,-0.6598914,nan,nan,8.0,nan,nan,nan
1335894276,-1.6862525,-7.7880177,nan,-1.1495649,0.0,0.0,0.0,-0.78662246,0.0,0.0,-0.31305867,nan,nan,8.0,nan,nan,nan
1336094279,-1.6862525,-7.7880177,nan,-1.1495649,0.0,0.0,0.0,-0.8559546,0.0,0.0,-0.86908317,nan,nan,-8.0,nan,nan,nan
1336294210,-1.6862525,-7.7880177,nan,-1.1495649,0.0,0.0,0.0,-1.0526408,0.0,0.0,-1.032807,nan,nan,8.0,nan,nan,nan
