timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
1508012922,nan,nan,nan,-1.0280578,0.0,-0.050219975,0.016923824,0.0016255412,0.44972628,-0.151555,0.161272,nan,nan,8.0,nan,nan,nan
1508032692,nan,nan,nan,-1.0280564,0.0,-0.05023811,0.016805751,0.0015719639,0.44936368,-0.15032202,0.158592,nan,nan,8.0,nan,nan,nan
1508212471,nan,nan,nan,-1.0277646,0.0,-0.048826873,0.013621567,0.0015934468,0.44753206,-0.124851085,0.159672,nan,nan,8.0,nan,nan,nan
1508412242,nan,nan,nan,-1.0278822,0.0,-0.047216233,0.0122996075,0.0015768841,0.4416291,-0.115042314,0.15884,nan,nan,8.0,nan,nan,nan
1508607316,nan,nan,nan,-1.0275636,0.0,-0.04335625,0.011993041,0.0015886601,0.42396888,-0.11727667,0.159432,nan,nan,8.0,nan,nan,nan
1508806801,nan,nan,nan,-1.0278327,0.0,-0.040401384,0.012191559,0.0015808577,0.40898064,-0.12341439,0.15904,nan,nan,8.0,nan,nan,nan
1509006850,nan,nan,nan,-1.0279067,0.0,-0.041227937,0.010072531,0.001613468,0.41644916,-0.10174405,0.160672,nan,nan,8.0,nan,nan,nan
1509206292,nan,nan,nan,-1.0279268,0.0,-0.037905432,0.00839179,0.0015581966,0.4013428,-0.0888523,0.157896,nan,nan,8.0,nan,nan,nan
1509406220,nan,nan,nan,-1.0280083,0.0,-0.038862225,0.006056166,0.0015861101,0.40889925,-0.06372157,0.159304,nan,nan,8.0,nan,nan,nan
1509605834,nan,nan,nan,-1.0282283,0.0,-0.040097218,0.0038223476,0.0015939258,0.41652915,-0.039706472,0.159696,nan,nan,8.0,nan,nan,nan
1509805702,nan,nan,nan,-1.0281576,0.0,-0.038283348,0.0015695968,0.0015867476,0.4086307,-0.016753638,0.159336,nan,nan,8.0,nan,nan,nan
1510005549,nan,nan,nan,-1.0280608,0.0,-0.038751397,0.0013036588,0.0015853138,0.41092587,-0.013824201,0.159264,nan,nan,8.0,nan,nan,nan
1510205151,nan,nan,nan,-1.0282135,0.0,-0.035786916,-0.0020296152,0.0015940855,0.3963106,0.022476315,0.159704,nan,nan,8.0,nan,nan,nan
