timestamp,rtl_time_s,rtl_limit_fraction
670725868,0.0143128745,1.5903195e-05
671727385,0.04289239,4.7658214e-05
672745903,0.061079286,6.7865876e-05
673795001,0.093680695,0.00010408966
674814027,0.107965454,0.000119961616
675833784,0.14885893,0.00016539883
676856761,0.010404677,1.1560753e-05
677865729,0.22493358,0.0002499262
678894526,1.1212729,0.0012458588
679903611,1.2146418,0.0013496021
680928130,2.0961096,0.0023290107
681975877,2.1910598,0.002434511
682985301,2.2043004,0.0024492228
684004470,2.2571616,0.0025079576
685013160,2.3696864,0.0026329851
686056883,3.7760658,0.004195629
687060411,5.3764563,0.0059738406
688064575,5.268447,0.0058538304
689069926,5.4760866,0.006084541
690097317,5.115087,0.0056834305
691116719,4.6951528,0.0052168365
692125590,4.1554627,0.004617181
693134432,3.491114,0.0038790156
694153034,3.0123653,0.0033470728
695166677,2.8247328,0.003138592
696196095,3.3041065,0.0036712296
697205187,5.883631,0.0065373685
698212671,7.8806944,0.008756327
699222245,8.651567,0.009612854
700226528,7.953443,0.00883716
701235417,8.1659975,0.009073331
702251748,9.064274,0.010071415
703259243,9.371844,0.010413161
704264720,8.516825,0.00946314
705281338,7.6239204,0.008471023
706299050,7.232297,0.008035886
707303977,7.0324364,0.007813819
708317516,6.6871514,0.0074301683
709326534,6.3174553,0.007019395
710335590,5.8131337,0.006459038
711364249,5.3853846,0.005983761
712382972,5.068952,0.005632169
713397144,4.5688047,0.0050764503
714405887,3.9949718,0.0044388575
715425171,3.240629,0.003600699
716433581,2.1471295,0.0023856994
717453494,1.3129643,0.0014588493
718466298,1.1324949,0.0012583279
719476789,1.1167905,0.0012408785
720504296,1.192991,0.0013255456
721517624,1.2143115,0.0013492351
722546988,1.2087089,0.00134301
723555629,0.00655927,7.288078e-06
