timestamp,rtl_time_s,rtl_limit_fraction
381932717,0.1738603,0.00019317812
382981938,0.014063595,1.5626218e-05
384005469,0.042465337,4.718371e-05
385024251,0.063940644,7.1045164e-05
386033497,0.060147725,6.6830806e-05
387041701,0.69602436,0.0007733604
388051168,1.7128747,0.0019031942
389075385,2.9862952,0.0033181058
390094769,4.3706136,0.0048562377
391112454,5.8640857,0.006515651
392121941,7.667742,0.008519713
393125902,8.661691,0.009624102
394144564,7.8963394,0.0087737115
395163448,6.9541726,0.007726859
396212812,6.3227496,0.0070252777
397231183,5.6196523,0.0062440583
398240143,5.004563,0.005560626
399254365,4.457716,0.004953018
400273253,3.905374,0.0043393048
401283345,3.242982,0.0036033134
402296728,2.5010133,0.0027789038
403315534,1.8233182,0.0020259093
404333856,1.1917559,0.0013241733
405352872,0.4996397,0.0005551552
406376664,0.7223431,0.0008026035
407385357,1.0635571,0.0011817303
408394604,0.9302462,0.0010336069
409442906,0.06870783,7.634204e-05
