timestamp,rtl_time_s,rtl_limit_fraction
255999765,0.26749983,0.00029722202
257043850,0.294966,0.00032774
258052761,0.30823347,0.00034248165
259071996,0.3242878,0.0003603198
260095914,0.05297498,5.8861093e-05
261115281,0.11799349,0.00013110388
262133211,0.6922977,0.0007692197
263142033,1.9446732,0.002160748
264161206,2.67079,0.0029675446
265170067,1.2545636,0.0013939595
266188507,0.9973087,0.0011081208
267232767,1.326415,0.0014737945
268261609,1.4828842,0.0016476492
269282103,1.3957417,0.0015508241
270284103,1.2712299,0.0014124777
271304520,1.2019591,0.0013355103
272332412,0.7338551,0.0008153946
273350774,1.0045669,0.0011161856
274370099,2.269481,0.0025216455
275373836,3.4412365,0.0038235963
276402511,3.235027,0.0035944746
277416361,2.437462,0.0027082912
278430586,1.9702309,0.0021891454
279444394,2.2770212,0.0025300237
280453576,2.969498,0.0032994421
281472553,3.3045056,0.0036716731
282491322,2.5519557,0.0028355063
283510246,2.0342736,0.0022603043
284525139,1.6288229,0.0018098034
285533158,1.4459074,0.0016065638
286536935,1.5731342,0.0017479269
287565720,1.9994729,0.0022216367
288575653,2.6410909,0.0029345455
289603576,3.4588103,0.0038431226
290622399,4.916984,0.005463316
291636673,5.670995,0.006301106
292685067,4.9653215,0.005517024
293694458,4.628895,0.005143217
294713001,5.108691,0.0056763235
295761578,5.185917,0.00576213
296765543,4.788803,0.0053208927
297775409,3.9962313,0.0044402573
298783330,3.263753,0.0036263922
299802295,2.7056801,0.0030063116
300821151,2.132276,0.0023691957
301840077,1.4638739,0.0016265266
302864177,0.7774547,0.0008638386
303913092,0.4415687,0.0004906319
304931605,0.81204873,0.0009022764
305940505,0.9713204,0.0010792449
306958216,0.9158489,0.00101761
307983134,0.02743558,3.048398e-05
