timestamp,rtl_time_s,rtl_limit_fraction
788118861,0.22818618,0.0002535402
789130801,0.01482963,1.6477368e-05
790138689,0.090800464,0.0001008894
791157948,0.27775842,0.00030862048
792177561,1.1333122,0.0012592359
793195674,1.361646,0.0015129402
794209539,1.7609369,0.0019565965
795238162,1.8709232,0.0020788037
796246799,2.1983428,0.0024426032
797260589,2.434437,0.0027049303
798297165,2.6718168,0.0029686855
799318646,2.9389644,0.0032655161
800327723,3.1617475,0.0035130528
818997880,0.0006544888,7.2720985e-07
