timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
63444351,63444305,4259850,0.30645782,-0.5363012,-9.730036,31.5,0,0,0,0
63445348,63445298,4259850,0.32561144,-0.51714754,-9.730036,31.5,0,0,0,0
64446498,64446442,4259850,0.32561144,-0.47884035,-9.615114,31.5,0,0,0,0
65448144,65448098,4259850,0.45968673,-0.5363012,-9.768343,31.5,0,0,0,0
66446184,66446139,4259850,0.30645782,-0.49799395,-9.672575,31.5,0,0,0,0
67446185,67446139,4259850,0.32561144,-0.5363012,-9.634268,31.5,0,0,0,0
68447010,68446962,4259850,0.24899697,-0.45968673,-9.710882,31.5,0,0,0,0
69445048,69445000,4259850,0.30645782,-0.5554548,-9.653421,31.5,0,0,0,0
70446083,70446037,4259850,0.30645782,-0.49799395,-9.634268,31.5,0,0,0,0
71446922,71446866,4259850,0.32561144,-0.49799395,-9.634268,31.5,0,0,0,0
72447330,72447282,4259850,0.32561144,-0.5363012,-9.691729,31.5,0,0,0,0
73445303,73445253,4259850,0.36391866,-0.51714754,-9.691729,31.5,0,0,0,0
74446279,74446233,4259850,0.32561144,-0.47884035,-9.615114,31.5,0,0,0,0
