timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
717344102,717332037,49,4,1,0,0,0,3,0,0,0,0,0,0,0
718353555,718340040,49,4,1,0,0,0,3,0,0,0,0,0,0,0
719360103,719348037,49,4,1,0,0,0,3,0,0,0,0,0,0,0
720368171,720356040,49,4,1,0,0,0,3,0,0,0,0,0,0,0
721376151,721364047,49,4,1,0,0,0,3,0,0,0,0,0,0,0
722384111,722372065,49,4,1,0,0,0,3,0,0,0,0,0,0,0
723392735,723380104,49,4,1,0,0,0,3,0,0,0,0,0,0,0
724401136,724388037,49,4,1,0,0,0,3,0,0,0,0,0,0,0
725408116,725396037,49,4,1,0,0,0,3,0,0,0,0,0,0,0
726416116,726404137,49,4,1,0,0,0,3,0,0,0,0,0,0,0
727424309,727413151,49,4,1,0,0,0,3,0,0,0,0,0,0,0
728432103,728420040,49,4,1,0,0,0,3,0,0,0,0,0,0,0
729440711,729428249,49,4,1,0,0,0,3,0,0,0,0,0,0,0
730449322,730436037,49,4,1,0,0,0,3,0,0,0,0,0,0,0
731453561,731444039,49,4,1,0,0,0,3,0,0,0,0,0,0,0
732464103,732452335,49,4,1,0,0,0,3,0,0,0,0,0,0,0
733472103,733461279,49,4,1,0,0,0,3,0,0,0,0,0,0,0
734480104,734468037,49,4,1,0,0,0,3,0,0,0,0,0,0,0
735488124,735476040,49,4,1,0,0,0,3,0,0,0,0,0,0,0
736494284,736484039,49,4,1,0,0,0,3,0,0,0,0,0,0,0
737504189,737492848,49,4,1,0,0,0,3,0,0,0,0,0,0,0
738512101,738500125,49,4,1,0,0,0,3,0,0,0,0,0,0,0
738572112,738564371,50,6,1,0,0,0,3,0,0,0,0,0,0,0
739572114,739564239,50,6,1,0,0,0,3,0,0,0,0,0,0,0
740573610,740564040,50,6,1,0,0,0,3,0,0,0,0,0,0,0
741580104,741572078,50,6,1,0,0,0,3,0,0,0,0,0,0,0
742580111,742568038,50,6,1,0,0,0,3,0,0,0,0,0,0,0
743585267,743576037,50,6,1,0,0,0,3,0,0,0,0,0,0,0
744596183,744584040,50,6,1,0,0,0,3,0,0,0,0,0,0,0
745604104,745592584,50,6,1,0,0,0,3,0,0,0,0,0,0,0
746612160,746600944,50,6,1,0,0,0,3,0,0,0,0,0,0,0
747456222,747448043,51,6,3,0,0,0,3,0,0,0,0,0,0,0
