timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
25945338,25937050,7,1,1,0,0,0,3,0,0,0,0,0,0,0
26945350,26937053,7,1,1,0,0,0,3,0,0,0,0,0,0,0
27953163,27945053,7,1,1,0,0,0,3,0,0,0,0,0,0,0
28961131,28953050,7,1,1,0,0,0,3,0,0,0,0,0,0,0
29969367,29961050,7,1,1,0,0,0,3,0,0,0,0,0,0,0
30977126,30969263,7,1,1,0,0,0,3,0,0,0,0,0,0,0
31977129,31969050,7,1,1,0,0,0,3,0,0,0,0,0,0,0
32986069,32977050,7,1,1,0,0,0,3,0,0,0,0,0,0,0
33995764,33985050,7,1,1,0,0,0,3,0,0,0,0,0,0,0
34999633,34993285,7,1,1,0,0,0,3,0,0,0,0,0,0,0
36009176,35998094,7,1,1,0,0,0,3,0,0,0,0,0,0,0
36457134,36449056,8,1,1,0,0,0,1,0,0,0,0,0,0,0
