timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
652882465,652882132,0.122576244,-0.001450794,-0.00021431882,0.001,0.0,0.0,0.0,-1.0
652934901,652934575,0.12280325,-0.001873376,0.000111905676,0.001,0.0,0.0,0.0,-1.0
652986077,652985769,0.1241373,-0.0021333175,-0.00042041804,0.001,0.0,0.0,0.0,-1.0
653034789,653034481,0.12256047,-0.000654098,-1.4610976e-05,0.001,0.0,0.0,0.0,-1.0
653084729,653084418,0.12450334,-0.0033743945,-0.00015131818,0.001,0.0,0.0,0.0,-1.0
653132181,653131867,0.12692016,-0.007005809,7.6214084e-05,0.001,0.0,0.0,0.0,-1.0
653184622,653184314,0.12703179,-0.00097002246,0.0021744196,0.001,0.0,0.0,0.0,-1.0
653234579,653234262,0.12587458,-0.00064324046,0.0008392031,0.001,0.0,0.0,0.0,-1.0
653284519,653284209,0.12905043,-0.002979443,0.0029672857,0.001,0.0,0.0,0.0,-1.0
653335709,653335404,0.12846994,-0.0079818545,-0.000120206394,0.001,0.0,0.0,0.0,-1.0
653384429,653384104,0.121569,-0.0018718943,-0.005467617,0.001,0.0,0.0,0.0,-1.0
653434360,653434052,0.13127804,0.0037271914,0.00014776347,0.001,0.0,0.0,0.0,-1.0
653483056,653482750,0.128541,-0.0050509432,0.006853728,0.001,0.0,0.0,0.0,-1.0
653535500,653535195,0.12600487,-0.0016755133,-0.0071663586,0.001,0.0,0.0,0.0,-1.0
653584214,653583906,0.12854588,0.00010743051,0.0011716357,0.001,0.0,0.0,0.0,-1.0
653634165,653633848,0.12793075,-0.004644818,0.0038468249,0.001,0.0,0.0,0.0,-1.0
653685337,653685037,0.13095486,-0.002092607,-0.006398657,0.001,0.0,0.0,0.0,-1.0
653734039,653733736,0.16671231,0.021323724,0.0023274713,0.001,0.0,0.0,0.0,-1.0
653783986,653783684,0.15426606,0.016912824,0.002554224,0.0036556013,0.0,0.0,0.0,-1.0
653833942,653833631,0.15448222,0.01958392,-0.0046971473,0.008873697,0.0,0.0,0.0,-1.0
653885147,653884827,0.15111944,0.003366562,0.003523454,0.012771702,0.0,0.0,0.0,-1.0
653933835,653933526,0.12358543,-0.0031328101,-0.004426346,0.01784835,0.0,0.0,0.0,-1.0
653982525,653982225,0.13297765,0.011429813,0.0045745694,0.02426199,0.0,0.0,0.0,-1.0
654033726,654033424,0.11235521,-0.0055839703,-0.00021892325,0.029054353,0.0,0.0,0.0,-1.0
654084941,654084618,0.104924455,-0.0014827945,-0.004228182,0.035639405,0.0,0.0,0.0,-1.0
654133646,654133324,0.07068836,0.008890779,0.0048155193,0.042605545,0.0,0.0,0.0,-1.0
654182316,654182016,0.040093984,-0.0036105155,-0.0010692338,0.048619144,0.0,0.0,0.0,-1.0
654233520,654233212,0.0059272074,-0.0010933494,0.0033436741,0.05496095,0.0,0.0,0.0,-1.0
654284725,654284408,-9.3629234e-05,-0.004940928,-0.0023718816,0.060564227,0.0,0.0,0.0,-1.0
654333431,654333107,0.007584483,-0.010831869,0.003666983,0.06683758,0.0,0.0,0.0,-1.0
654383368,654383066,0.0191867,0.011004878,0.0035781204,0.07435325,0.0,0.0,0.0,-1.0
654434552,654434250,0.031799994,0.019888649,-0.008418253,0.08055501,0.0,0.0,0.0,-1.0
654483252,654482949,0.017364323,-0.022852544,-0.014323283,0.08807508,0.0,0.0,0.0,-1.0
654533230,654532897,0.02949605,-0.03266404,-0.010783865,0.09566728,0.0,0.0,0.0,-1.0
654583153,654582847,0.026030777,-0.010520434,0.0028953701,0.10350022,0.0,0.0,0.0,-1.0
654634342,654634040,0.01483026,-0.0037331018,0.0068881866,0.11310037,0.0,0.0,0.0,-1.0
654683042,654682740,0.014984458,-0.004126536,0.0057499944,0.12132141,0.0,0.0,0.0,-1.0
654733000,654732687,0.018777683,-0.008963501,-0.0017610983,0.1293004,0.0,0.0,0.0,-1.0
654782937,654782634,0.013670215,-0.015901057,-0.0119814975,0.138238,0.0,0.0,0.0,-1.0
654834137,654833830,0.04287113,0.0062040924,0.0021692687,0.14823276,0.0,0.0,0.0,-1.0
654882831,654882529,0.0103650885,-0.009826522,-0.0002604073,0.1586531,0.0,0.0,0.0,-1.0
654932779,654932476,0.0071982443,0.0052510905,-0.0035469898,0.16889022,0.0,0.0,0.0,-1.0
654983981,654983672,0.013451072,0.013779053,-0.000859369,0.17749721,0.0,0.0,0.0,-1.0
655032684,655032371,0.0042988113,-0.026729096,-0.0049375533,0.18897246,0.0,0.0,0.0,-1.0
655082625,655082319,0.0026278326,-0.0380951,-0.00743555,0.20137717,0.0,0.0,0.0,-1.0
655132569,655132266,-0.009461926,-0.028771553,-0.0069311038,0.21078262,0.0,0.0,0.0,-1.0
655183764,655183463,0.018333906,0.002397673,-0.005510152,0.22211236,0.0,0.0,0.0,-1.0
655232472,655232161,0.009874178,-0.026289407,-0.0067454744,0.23379585,0.0,0.0,0.0,-1.0
655284919,655284606,0.039228953,-0.012598876,-0.009087197,0.24670757,0.0,0.0,0.0,-1.0
655333608,655333305,0.04244195,-0.0064444016,-0.01437305,0.2568296,0.0,0.0,0.0,-1.0
