timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
467102353,467102105,3932170,-0.5042189,1.148738,-9.86028,39.736843,0,0,0,0
467103614,467103359,3932170,-0.49129018,1.0984598,-9.797073,39.736843,0,0,0,0
468108483,468108237,3932170,-0.46447513,1.1439496,-9.828198,39.7858,0,0,0,0
469104625,469104386,3932170,-0.5281609,1.1295844,-9.851662,39.638924,0,0,0,0
470104462,470104213,3932170,-0.46351746,1.0658987,-9.825326,39.736843,0,0,0,0
471105577,471105334,3932170,-0.5511452,1.1080366,-9.892841,39.638924,0,0,0,0
472106703,472106453,3932170,-0.49224788,1.1204864,-9.880871,39.638924,0,0,0,0
473104057,473103814,3932170,-0.44915226,1.0673351,-9.84448,39.589962,0,0,0,0
474105185,474104934,3932170,-0.4975151,1.13964,-9.865548,39.736843,0,0,0,0
475106298,475106052,3932170,-0.5080496,1.0912771,-9.878476,39.736843,0,0,0,0
476103659,476103411,3932170,-0.48985368,1.1166557,-9.870815,39.589962,0,0,0,0
477103524,477103277,3932170,-0.48458645,1.0534488,-9.852619,39.541004,0,0,0,0
478104641,478104394,3932170,-0.4735731,1.1066,-9.844,39.443085,0,0,0,0
