timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
797198695,797198292,3801098,0.62967503,0.87532014,-9.654858,37.82742,0,0,0,0,5
798200093,798199692,3801098,-2.4109612,1.5835251,-10.271605,37.82742,0,0,0,0,5
799200257,799199846,3801098,2.0053833,0.61770403,-8.792945,37.778458,0,0,0,0,5
800197903,800197496,3801098,1.6740259,0.25139117,-8.136934,37.925335,0,0,0,0,5
801200566,801200144,3801098,1.0740389,-1.2919112,-9.816227,37.82742,0,0,0,0,5
802200700,802200296,3801098,0.10151415,-2.6499026,-10.107362,37.778458,0,0,0,0,5
803198352,803197950,3801098,1.9800048,4.2358217,-3.767037,37.82742,0,0,0,0,5
804198527,804198108,3801098,1.0362105,-3.575022,-14.669753,37.974297,0,0,0,0,5
805199906,805199501,3801098,6.2900467,-2.8783092,-8.007168,37.82742,0,0,0,0,5
806201314,806200912,3801098,5.9926867,-0.8236054,-6.224446,37.778458,0,0,0,0,5
807197701,807197299,3801098,-4.193205,11.216356,-4.652413,37.778458,0,0,0,0,5
808199109,808198693,3801098,-3.5965698,4.612669,4.8602295,37.778458,0,0,0,0,5
809200496,809200087,3801098,1.1650186,6.2637105,-19.053057,37.68054,0,0,0,0,5
810200633,810200231,3801098,1.3397952,10.033142,0.638773,37.58262,0,0,0,0,5
811198279,811197876,3801098,-1.3699622,-8.93947,2.2778435,37.778458,0,0,0,0,5
812199669,812199267,3801098,-1.2033257,3.3868377,-5.6967635,37.58262,0,0,0,0,5
813201061,813200658,3801098,-3.9973593,-3.9600096,-3.4198778,37.63158,0,0,0,0,5
814198711,814198304,3801098,-10.635044,-1.9354727,-9.3421755,37.778458,0,0,0,0,5
815198852,815198448,3801098,0.67372835,11.446678,-9.405382,37.63158,0,0,0,0,5
816200244,816199839,3801098,-2.7849355,-6.2632318,-0.2480393,37.778458,0,0,0,0,5
817202895,817202479,3801098,3.1455023,6.702807,-18.389864,37.58262,0,0,0,0,5
818199286,818198875,3801098,15.62456,-4.0806775,-8.687121,37.63158,0,0,0,0,5
819199426,819199017,3801098,-9.930191,4.6236825,-14.918271,37.38678,0,0,0,0,5
820200810,820200405,3801098,-20.725647,-4.7223234,-7.3229055,37.63158,0,0,0,0,5
821198458,821198047,3801098,-14.056837,0.018195933,1.4149733,37.4847,0,0,0,0,5
822199855,822199434,3801098,5.0881577,6.0549364,-21.18294,37.4847,0,0,0,0,5
823199980,823199571,3801098,-6.2038555,-8.027759,-9.389581,37.43574,0,0,0,0,5
824201369,824200956,3801098,-13.034513,2.042254,2.918532,37.38678,0,0,0,0,5
825199000,825198595,3801098,13.814065,4.0093303,-13.1393795,37.28886,0,0,0,0,5
826199143,826198731,3801098,-9.298601,-2.9204473,-2.6819847,37.38678,0,0,0,0,5
