timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
126154255,126154001,3932170,-0.5109227,0.4927267,-9.865548,36.946144,0,0,0,0
126155504,126155254,3932170,-0.49464208,0.50709194,-9.928755,36.946144,0,0,0,0
127159059,127158805,3932170,-0.4405331,0.4999093,-9.91008,37.093025,0,0,0,0
128157593,128157347,3932170,-0.48267108,0.5114015,-9.886617,37.239902,0,0,0,0
129154872,129154628,3932170,-0.47884035,0.54300493,-9.896672,37.044064,0,0,0,0
130155918,130155673,3932170,-0.3653552,0.5664681,-10.029311,37.093025,0,0,0,0
131156975,131156722,3932170,-1.1583148,-1.164061,-10.093476,37.093025,0,0,0,0
132158012,132157761,3932170,3.4768598,-1.3737929,-12.077311,36.897186,0,0,0,0
133155294,133155048,3932170,2.9266722,-1.3297397,-0.31076738,36.946144,0,0,0,0
134156337,134156092,3932170,5.1930237,-0.30741552,-12.353602,37.093025,0,0,0,0
135157384,135157137,3932170,4.3028593,7.1701555,-3.4629734,37.093025,0,0,0,0
136154677,136154425,3932170,7.3229055,4.9828124,-5.2332463,37.141983,0,0,0,0
137155723,137155474,3932170,6.7861257,4.5892057,-6.1449585,37.093025,0,0,0,0
138156765,138156513,3932170,6.172731,6.622362,-4.768771,36.946144,0,0,0,0
139155299,139155052,3932170,6.1487885,6.0635552,-5.461174,37.093025,0,0,0,0
140155133,140154885,3932170,6.2886105,4.629907,-5.9725757,37.093025,0,0,0,0
141156141,141155889,3932170,2.0863075,1.8789694,-6.0448804,36.946144,0,0,0,0
142157181,142156933,3932170,-1.0960656,0.7589619,-9.787018,37.141983,0,0,0,0
143154466,143154219,3932170,-0.71730286,0.7273585,-9.864111,36.946144,0,0,0,0
144155513,144155267,3932170,-0.797748,0.6742072,-9.852619,37.044064,0,0,0,0
