timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
1332637954,1330788038,587288105,1332637781,0,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1333142051,1330788038,587288105,1332637781,0,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1333652971,1330788038,587288105,1332637781,0,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1334164097,1330788038,587288105,1332637781,0,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1334675505,1330788038,587288105,1332637781,0,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1335185949,1330788038,587288105,1332637781,0,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1335695933,1330788038,587288105,1332637781,0,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1336204929,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1336705978,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1337217384,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1337727987,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1338236977,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1338748102,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1339258976,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1339759016,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1340260067,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1340770932,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1341271022,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1341781211,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1342289068,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1342799988,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1343310014,1330788038,587288105,1332637781,1336161142,304709676,304185356,304709679,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1343399369,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1343900017,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1344408411,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1344918930,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1345419223,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1345926538,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1346431002,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1346941181,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1347441976,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1347951285,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1348456048,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1348961997,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1349470082,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1349970979,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1350477248,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1350984204,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1351494052,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1351999980,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1352501021,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1353011942,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1353523674,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1354025930,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1354537399,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1355044380,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1355556310,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1356060929,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1356569974,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1357071015,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
