timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
1792327320,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1792831888,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1793338070,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1793838115,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1794344180,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1794851103,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1795359272,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1795866074,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1796375571,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1796882502,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1797388183,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1797894525,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1798401408,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1798908111,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1799415134,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1799921076,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1800427137,1771089220,304545839,304152591,304545839,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1800669186,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1801176073,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1801683114,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1802192086,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1802700260,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1803206114,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1803713074,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1804221143,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1804728075,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1805237077,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1805746074,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1806255232,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1806761075,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1807267075,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1807776079,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1808282072,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1808790075,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1809298073,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1809805076,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1810312308,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1810819228,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1811325074,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1811835081,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1812343194,1800669182,304545839,304152591,304545839,2,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1812630052,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1813139576,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1813648379,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1814158212,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1814666105,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1815173073,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1815681105,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1816188150,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1816695069,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1817203070,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1817710750,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1818216410,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1818725072,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1819176171,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1819686107,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1820193069,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1820700070,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1821206226,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1821714133,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1822221072,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1822729173,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1823235163,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1823744107,1812629608,304545839,304152591,304545839,1,2,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1824196794,1824196680,304545839,304152591,304545839,2,1,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1824211120,1824196680,304545839,304152623,34013231,2,1,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1824228155,1824196680,304545839,304152623,34013231,2,1,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1824421159,1824421155,304545839,304152623,34013231,1,1,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
1824922108,1824421155,304545839,304152623,34013231,1,1,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
