timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
1635577125,391159525,-23.556119699999996,-46.7301347,8.630075,-6.6672783,11.227777,0.050272733,0.052439343,0.0,0.029395409,0.015165807,0.0040302747,0.0011454059,0.07749023,0.048337087,0.05838525,0.0049295835,0.032114234,-0.0096623525,-1.0618043,-0.004804967,728.66846,0.102713585,0.23762019,0.39093944,0.13006483,0.10507803,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1635587134,391159525,-23.556119699999996,-46.7301347,8.630427,-6.6671066,11.227896,0.050272733,0.052439343,0.0,0.029451072,0.015445869,0.0040626545,0.0012825821,0.07749023,0.048337087,0.05838525,0.0123417415,0.03590997,-0.010301398,-1.0618461,-0.004804967,728.66846,0.10262394,0.23852937,0.39161217,0.13051994,0.105267905,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1635677361,391159525,-23.556119699999996,-46.7301347,8.633661,-6.6658235,11.229479,0.050272733,0.052439343,0.0,0.029311424,0.013599801,0.003987061,0.002642654,0.07749023,0.048337087,0.05838525,0.009773971,-0.002911233,0.012463532,-1.0619124,-0.004804967,728.66846,0.10697365,0.2285309,0.38845652,0.12532476,0.10360747,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1635777624,391159525,-23.556119699999996,-46.7301347,8.6371565,-6.6648517,11.231914,0.050272733,0.052439343,0.0,0.030577853,0.012693141,0.0045379233,0.0052505583,0.07749023,0.048337087,0.05838525,0.07381139,0.05994396,-0.018894345,-1.0619822,-0.004804967,728.66846,0.10324478,0.23729673,0.3902309,0.12983581,0.10496703,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1635877887,391159525,-23.556119699999996,-46.7301347,8.640871,-6.663526,11.233291,0.050272733,0.052439343,0.0,0.031210499,0.014299368,0.0049991338,0.006531416,0.07749023,0.048337087,0.05838525,0.009263733,-0.018234152,0.01646755,-1.0619909,-0.004804967,728.66846,0.10180473,0.22857742,0.3901912,0.12541933,0.10380028,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1635978189,391159525,-23.556119699999996,-46.7301347,8.64437,-6.6623716,11.234898,0.050272733,0.052439343,0.0,0.029580262,0.010505468,0.005917874,0.00828646,0.07749023,0.048337087,0.05838525,-0.0028804794,0.002723108,-0.022253599,-1.0622264,-0.004804967,728.66846,0.102210045,0.23735167,0.39199677,0.1299355,0.105168805,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1636078414,391159525,-23.556119699999996,-46.7301347,8.648506,-6.6609573,11.236811,0.050272733,0.052439343,0.0,0.03114738,0.014185242,0.006494014,0.009864545,0.07749023,0.048337087,0.05838525,-0.0174701,0.023998767,0.008905995,-1.0621552,-0.004804967,728.66846,0.103767395,0.22862232,0.38951972,0.12550195,0.10373521,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1636178678,391159525,-23.556119699999996,-46.7301347,8.652675,-6.6593795,11.239103,0.050272733,0.052439343,0.0,0.030341242,0.011106779,0.006778583,0.011332338,0.07749023,0.048337087,0.05838525,-0.043756086,-0.08703927,-0.017865859,-1.0623966,-0.004804967,728.66846,0.10250187,0.23740406,0.3913063,0.1300185,0.10509845,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1636278941,391159525,-23.556119699999996,-46.7301347,8.656638,-6.658276,11.242597,0.050272733,0.052439343,0.0,0.030276164,0.00975878,0.007936518,0.014633457,0.07749023,0.048337087,0.05838525,-0.0070922337,0.032798864,-0.018366449,-1.0623941,-0.004804967,728.66846,0.10551262,0.2286652,0.3888487,0.12557457,0.10366949,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1636379201,391159525,-23.556119699999996,-46.7301347,8.660497,-6.656951,11.244997,0.050272733,0.052439343,0.0,0.031528395,0.013515703,0.008766232,0.016150884,0.07749023,0.048337087,0.05838525,-0.0019900727,-0.03269186,-0.020612212,-1.0625439,-0.004804967,728.66846,0.1,0.23745377,0.39063293,0.13009335,0.105031766,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1636479471,391159525,-23.556119699999996,-46.7301347,8.66446,-6.655106,11.245463,0.050272733,0.052439343,0.0,0.029226659,0.008146806,0.00943897,0.015493524,0.07749023,0.048337087,0.05838525,-0.04098335,-0.047645856,-0.0119861895,-1.0626241,-0.004804967,728.66846,0.1,0.22880962,0.3881844,0.12572809,0.10361559,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1636579738,391159525,-23.556119699999996,-46.7301347,8.668155,-6.653486,11.245391,0.050272733,0.052439343,0.0,0.031492922,0.01209591,0.009693896,0.013966785,0.07749023,0.048337087,0.05838525,0.009388426,0.043902066,-0.0051185596,-1.0627527,-0.004804967,728.66846,0.1,0.23761503,0.39241028,0.13025121,0.10524566,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1636679995,391159525,-23.556119699999996,-46.7301347,8.672232,-6.6515384,11.246387,0.050272733,0.052439343,0.0,0.030780746,0.012155128,0.010798796,0.014474415,0.07749023,0.048337087,0.05838525,-0.019954624,-0.058316514,0.0059587574,-1.0628539,-0.004804967,728.66846,0.1,0.22883832,0.3899274,0.12576665,0.1038087,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1636780258,391159525,-23.556119699999996,-46.7301347,8.675975,-6.650121,11.247969,0.050272733,0.052439343,0.0,0.029256042,0.009019142,0.01159129,0.015184562,0.07749023,0.048337087,0.05838525,-0.020146605,0.053588513,-0.013474507,-1.0629971,-0.004804967,728.66846,0.1,0.23764732,0.3917327,0.13028832,0.105176754,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1636880522,391159525,-23.556119699999996,-46.7301347,8.679635,-6.64833,11.249426,0.050272733,0.052439343,0.0,0.031006906,0.015209921,0.011901504,0.0152751105,0.07749023,0.048337087,0.05838525,0.017639859,0.030653385,0.005072208,-1.0630536,-0.004804967,728.66846,0.100027084,0.22886483,0.38926852,0.12579519,0.10374412,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
1636980792,391159525,-23.556119699999996,-46.7301347,8.683062,-6.6465654,11.251267,0.050272733,0.052439343,0.0,0.028845135,0.009927393,0.013344629,0.016794255,0.07749023,0.048337087,0.05838525,-0.014795857,-0.03787601,0.01723147,-1.0632372,-0.004804967,728.66846,0.1,0.23767681,0.39106318,0.13031821,0.10510892,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
