timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
382540783,382539776,17070433,-23.5560604,-46.730193,0.7819904,-1.3162228,0.40734455,7.213618e-05,-0.0012098117,0.0,-0.012825735,-0.017932037,0.025312852,-0.00340335,-0.0014130457,-0.011625316,0.1118697,0.011004849,-0.0010118356,0.017783161,-2.6310298,0.02044167,726.0748,0.1,0.26741317,0.3911365,0.13083915,0.105485156,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0
382640613,382639668,17070433,-23.5560604,-46.730193,0.77613807,-1.3214632,0.40652132,7.213618e-05,-0.0012098117,0.0,-0.0121988375,-0.018586038,0.023687653,-0.005235986,-0.0014130457,-0.011625316,0.1118697,0.0008863741,-0.014724473,-0.023592016,-2.6310208,0.02044167,726.0748,0.1,0.27611837,0.3930026,0.13533257,0.106920294,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0
382740767,382739561,17070433,-23.5560604,-46.730193,0.76997596,-1.3265562,0.40588653,7.213618e-05,-0.0012098117,0.0,-0.011796118,-0.02010095,0.023488447,-0.0053603137,-0.0014130457,-0.011625316,0.1118697,0.17278366,-0.14599925,-0.062315647,-2.6303146,0.02044167,726.0748,0.1,0.2673342,0.39045864,0.1308911,0.105415374,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0
382840651,382839454,17070433,-23.5560604,-46.730193,0.764824,-1.3309761,0.40561935,7.213618e-05,-0.0012098117,0.0,-0.011508459,-0.019575885,0.023774153,-0.0045826053,-0.0014130457,-0.011625316,0.1118697,-0.08171967,-0.06534899,0.14477596,-2.6310058,0.02044167,726.0748,0.1,0.27604732,0.39232185,0.13538757,0.1068496,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0
382940305,382939347,17070433,-23.5560604,-46.730193,0.75894374,-1.3370526,0.40526697,7.213618e-05,-0.0012098117,0.0,-0.011723517,-0.021871949,0.023440802,-0.0045480486,-0.0014130457,-0.011625316,0.1118697,-0.4877172,0.090761326,0.29672924,-2.632832,0.02044167,726.0748,0.1,0.2672374,0.389789,0.13093126,0.105347335,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0
383040419,383039240,17070433,-23.5560604,-46.730193,0.75394005,-1.3430052,0.40481523,7.213618e-05,-0.0012098117,0.0,-0.012800372,-0.02329767,0.023504019,-0.004155009,-0.0014130457,-0.011625316,0.1118697,-0.57502663,0.2524936,0.75655437,-2.6316361,0.02044167,726.0748,0.1,0.27595708,0.39164063,0.13543342,0.10677812,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0
383140256,383139133,17070433,-23.5560604,-46.730193,0.74803525,-1.3489568,0.40310165,7.213618e-05,-0.0012098117,0.0,-0.010565638,-0.020358253,0.024131266,-0.0045804777,-0.0014130457,-0.011625316,0.1118697,0.6192674,-0.25456217,-0.8765764,-2.632088,0.02044167,726.0748,0.1,0.26715848,0.38911882,0.13097651,0.10527814,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0
383240122,383239026,17070433,-23.5560604,-46.730193,0.7428497,-1.3538989,0.40132877,7.213618e-05,-0.0012098117,0.0,-0.013104321,-0.017879307,0.02165629,-0.007815848,-0.0014130457,-0.011625316,0.1118697,-0.09880778,0.33111885,1.1131984,-2.6325562,0.02044167,726.0748,0.1,0.27588475,0.39095923,0.13546224,0.10670536,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0
383350307,383348907,17070433,-23.5560604,-46.730193,0.73612887,-1.3599243,0.40013608,7.213618e-05,-0.0012098117,0.0,-0.012367201,-0.020902159,0.023731222,-0.0056545096,-0.0014130457,-0.011625316,0.1118697,0.5339451,0.52468264,0.89116037,-2.632111,0.02044167,726.0748,0.1,0.267909,0.38911408,0.13143176,0.10540459,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0
383439721,383438811,17070433,-23.5560604,-46.730193,0.7314327,-1.36471,0.39982015,7.213618e-05,-0.0012098117,0.0,-0.010457725,-0.024341688,0.019517742,-0.0090499995,-0.0014130457,-0.011625316,0.1118697,-0.11289766,0.45025015,-0.6075819,-2.6318429,0.02044167,726.0748,0.10030705,0.27579093,0.39273542,0.13547504,0.10690618,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0
