timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
588524016,588522935,159444046,-23.5560083,-46.73010370000001,0.38586494,-0.92015654,-2.8359554,0.00059244025,-0.004986074,0.0,0.027779318,0.007575481,0.008927017,-0.0019572931,0.010183221,-0.022645034,-0.026750553,-0.8555103,-0.9353996,0.32675382,-1.1720673,-0.011911286,721.53467,0.1,0.27223533,0.38912463,0.13186505,0.10531912,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
588623932,588622834,159444046,-23.5560083,-46.73010370000001,0.38856494,-0.91867095,-2.8367548,0.00059244025,-0.004986074,0.0,0.026530972,0.007767768,0.0052610133,-0.005746781,0.010183221,-0.022645034,-0.026750553,-0.939601,-0.38636675,0.28751495,-1.1722524,-0.011911286,721.53467,0.1,0.28095633,0.39096412,0.13636726,0.10674984,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
588733789,588732715,159444046,-23.5560083,-46.73010370000001,0.39165363,-0.9165981,-2.8384178,0.00059244025,-0.004986074,0.0,0.029276118,0.0048766537,0.001406429,-0.010215202,0.010183221,-0.022645034,-0.026750553,-0.09487748,-0.5558634,0.09810155,-1.1722409,-0.011911286,721.53467,0.1,0.27325904,0.3891188,0.13236327,0.10544886,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
588823542,588822620,159444046,-23.5560083,-46.73010370000001,0.39417037,-0.9150045,-2.8397691,0.00059244025,-0.004986074,0.0,0.028373437,0.0076044393,-0.0012566883,-0.0130871115,0.010183221,-0.022645034,-0.026750553,0.22272874,0.12920564,0.24160075,-1.1724658,-0.011911286,721.53467,0.1,0.28114375,0.3927398,0.13643548,0.10695329,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
588933788,588932505,159444046,-23.5560083,-46.73010370000001,0.396479,-0.91370875,-2.84241,0.00059244025,-0.004986074,0.0,0.028930219,0.009994203,-0.0033118622,-0.016170347,0.010183221,-0.022645034,-0.026750553,0.11395172,0.80672294,-0.3304217,-1.1725584,-0.011911286,721.53467,0.1,0.2734809,0.39086974,0.13242386,0.10564486,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
589023356,589022411,159444046,-23.5560083,-46.73010370000001,0.39809683,-0.9130133,-2.844568,0.00059244025,-0.004986074,0.0,0.025262663,0.0022290417,-0.0074032154,-0.020776892,0.010183221,-0.022645034,-0.026750553,0.45766443,-0.46593642,-0.34168556,-1.1725079,-0.011911286,721.53467,0.1,0.281377,0.39205346,0.13648188,0.10688248,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
589133207,589132295,159444046,-23.5560083,-46.73010370000001,0.39978677,-0.91217065,-2.8477883,0.00059244025,-0.004986074,0.0,0.02605111,0.0058490946,-0.005931541,-0.020255283,0.010183221,-0.022645034,-0.026750553,0.23432879,0.40727574,0.31467327,-1.1723124,-0.011911286,721.53467,0.1,0.27374247,0.39019358,0.13247822,0.105576746,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
589223348,589222200,159444046,-23.5560083,-46.73010370000001,0.40103382,-0.9117388,-2.8503232,0.00059244025,-0.004986074,0.0,0.021634528,0.0022247175,-0.00824202,-0.022890965,0.010183221,-0.022645034,-0.026750553,-0.56425023,-0.33575964,0.14993131,-1.1723775,-0.011911286,721.53467,0.1,0.2816493,0.3913757,0.13652903,0.10681307,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
589323261,589322096,159444046,-23.5560083,-46.73010370000001,0.40216446,-0.91150874,-2.8541408,0.00059244025,-0.004986074,0.0,0.021215467,0.0032918174,-0.013181085,-0.028902987,0.010183221,-0.022645034,-0.026750553,-0.16501318,-0.009836302,-0.12360356,-1.1725914,-0.011911286,721.53467,0.1,0.27318406,0.3888594,0.13206165,0.10531281,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
589433070,589431980,159444046,-23.5560083,-46.73010370000001,0.4033818,-0.9114957,-2.858282,0.00059244025,-0.004986074,0.0,0.020543793,0.0016351935,-0.015891103,-0.03223855,0.010183221,-0.022645034,-0.026750553,-0.26552644,0.41048884,-0.14986132,-1.1722918,-0.011911286,721.53467,0.1,0.2828599,0.39137822,0.13703747,0.10694057,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
