timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
108558589,107542484,1200.0,0.40324232,0.050881546,0.5666807,0.0,255,190,6,4,1,0,1,1,0,1,36
108588637,108588145,1200.0,0.40324232,0.033700336,0.47973418,0.0,255,190,6,4,1,0,1,1,0,1,36
109010590,0,800000.0,0.05,0.0,0.0,0.7098068,0,0,0,0,4,5,0,0,0,1,44
109523241,109516565,1200.0,0.40324232,0.033700336,0.47973418,0.0,255,190,6,4,1,0,1,1,0,1,36
110010651,0,800000.0,0.05,0.0,0.0,0.8129471,0,0,0,0,4,5,0,0,0,1,44
110529669,109516565,1200.0,0.40324232,0.06764614,0.5232628,0.0,255,190,6,4,1,0,1,1,0,1,36
110539648,110535576,1200.0,0.40324232,0.06764614,0.5232628,0.0,255,190,6,4,1,0,1,1,0,1,36
111015051,0,800000.0,0.05,0.0,0.0,0.7977094,0,0,0,0,4,5,0,0,0,1,44
111547645,110535576,1200.0,0.40324232,0.05068993,0.55957705,0.0,255,190,6,4,1,0,1,1,0,1,36
111587652,111582489,1200.0,0.40324232,0.05068993,0.55957705,0.0,255,190,6,4,1,0,1,1,0,1,36
112016815,0,800000.0,0.05,0.0,0.0,0.70661926,0,0,0,0,4,5,0,0,0,1,44
112514587,112510501,1200.0,0.40324232,0.050602414,0.48022684,0.0,255,190,6,4,1,0,1,1,0,1,36
113019152,0,800000.0,0.05,0.0,0.0,0.75422376,0,0,0,0,4,5,0,0,0,1,44
113516642,112510501,1200.0,0.40324232,0.050497197,0.56240016,0.0,255,190,6,4,1,0,1,1,0,1,36
113536646,113529546,1200.0,0.40324232,0.050497197,0.56240016,0.0,255,190,6,4,1,0,1,1,0,1,36
114022138,0,800000.0,0.05,0.0,0.0,0.868406,0,0,0,0,4,5,0,0,0,1,44
114538590,113529546,1200.0,0.40324232,0.07293115,0.5055228,0.0,255,190,6,4,1,0,1,1,0,1,36
114590918,114586446,1200.0,0.40324232,0.07293115,0.5055228,0.0,255,190,6,4,1,0,1,1,0,1,36
115023647,0,800000.0,0.05,0.0,0.0,0.85465384,0,0,0,0,4,5,0,0,0,1,44
115520813,115514488,1200.0,0.40324232,0.05090206,0.67270565,0.0,255,190,6,4,1,0,1,1,0,1,36
116023730,0,800000.0,0.05,0.0,0.0,0.7079787,0,0,0,0,4,5,0,0,0,1,44
116524972,116522488,1200.0,0.40324232,0.050947573,0.4954901,0.0,255,190,6,4,1,0,1,1,0,1,36
117025557,0,800000.0,0.05,0.0,0.0,0.71025634,0,0,0,0,4,5,0,0,0,1,44
117535222,116522488,1200.0,0.40324232,0.050641105,0.43591067,0.0,255,190,6,4,1,0,1,1,0,1,36
117575351,117573545,1200.0,0.40324232,0.050641105,0.43591067,0.0,255,190,6,4,1,0,1,1,0,1,36
118028252,0,800000.0,0.05,0.0,0.0,0.8101458,0,0,0,0,4,5,0,0,0,1,44
118582942,117573545,1200.0,0.40324232,0.050525613,0.63206553,0.0,255,190,6,4,1,0,1,1,0,1,36
118602590,118595788,1200.0,0.40324232,0.050525613,0.63206553,0.0,255,190,6,4,1,0,1,1,0,1,36
119031864,0,800000.0,0.05,0.0,0.0,0.79811555,0,0,0,0,4,5,0,0,0,1,44
119520648,119517547,1200.0,0.40324232,0.05077097,0.44001508,0.0,255,190,6,4,1,0,1,1,0,1,36
120034626,0,800000.0,0.05,0.0,0.0,0.7509244,0,0,0,0,4,5,0,0,0,1,44
120524771,119517547,1200.0,0.40324232,0.050592676,0.6051281,0.0,255,190,6,4,1,0,1,1,0,1,36
120565955,120565577,1200.0,0.40324232,0.050592676,0.6051281,0.0,255,190,6,4,1,0,1,1,0,1,36
121037948,0,800000.0,0.05,0.0,0.0,0.7086918,0,0,0,0,4,5,0,0,0,1,44
121568782,120565577,1200.0,0.40324232,0.05069451,0.49302897,0.0,255,190,6,4,1,0,1,1,0,1,36
121598797,121590216,1200.0,0.40324232,0.05069451,0.49302897,0.0,255,190,6,4,1,0,1,1,0,1,36
122039284,0,800000.0,0.05,0.0,0.0,0.7669255,0,0,0,0,4,5,0,0,0,1,44
122510758,122510535,1200.0,0.40324232,0.050902367,0.43815958,0.0,255,190,6,4,1,0,1,1,0,1,36
123042796,0,800000.0,0.05,0.0,0.0,0.843098,0,0,0,0,4,5,0,0,0,1,44
123516644,122510535,1200.0,0.40324232,0.05074904,0.6348606,0.0,255,190,6,4,1,0,1,1,0,1,36
123557253,123549578,1200.0,0.40324232,0.05074904,0.6348606,0.0,255,190,6,4,1,0,1,1,0,1,36
124044641,0,800000.0,0.05,0.0,0.0,0.706651,0,0,0,0,4,5,0,0,0,1,44
124564636,123549578,1200.0,0.40324232,0.07263623,0.49750844,0.0,255,190,6,4,1,0,1,1,0,1,36
124584793,124583618,1200.0,0.40324232,0.07263623,0.49750844,0.0,255,190,6,4,1,0,1,1,0,1,36
125048080,0,800000.0,0.05,0.0,0.0,0.7633694,0,0,0,0,4,5,0,0,0,1,44
125507556,125504537,1200.0,0.40324232,0.050693203,0.60633045,0.0,255,190,6,4,1,0,1,1,0,1,36
126048635,0,800000.0,0.05,0.0,0.0,0.76757395,0,0,0,0,4,5,0,0,0,1,44
126513941,125504537,1200.0,0.40324232,0.050741725,0.5293058,0.0,255,190,6,4,1,0,1,1,0,1,36
126554742,126551618,1200.0,0.40324232,0.050741725,0.5293058,0.0,255,190,6,4,1,0,1,1,0,1,36
127048983,0,800000.0,0.05,0.0,0.0,0.80072534,0,0,0,0,4,5,0,0,0,1,44
127554756,126551618,1200.0,0.40324232,0.050565336,0.3995653,0.0,255,190,6,4,1,0,1,1,0,1,36
127584736,127577568,1200.0,0.40324232,0.050565336,0.3995653,0.0,255,190,6,4,1,0,1,1,0,1,36
128049809,0,800000.0,0.05,0.0,0.0,0.80072534,0,0,0,0,4,5,0,0,0,1,44
128588790,127577568,1200.0,0.40324232,0.050654735,0.6336808,0.0,255,190,6,4,1,0,1,1,0,1,36
128629644,128627798,1200.0,0.40324232,0.050654735,0.6336808,0.0,255,190,6,4,1,0,1,1,0,1,36
129052568,0,800000.0,0.05,0.0,0.0,0.750257,0,0,0,0,4,5,0,0,0,1,44
129562990,129559545,1200.0,0.40324232,0.05077036,0.4400098,0.0,255,190,6,4,1,0,1,1,0,1,36
130055539,0,800000.0,0.05,0.0,0.0,0.7084842,0,0,0,0,4,5,0,0,0,1,44
130571748,130570489,1200.0,0.40324232,0.050745204,0.6069524,0.0,255,190,6,4,1,0,1,1,0,1,36
131057745,0,800000.0,0.05,0.0,0.0,0.81025237,0,0,0,0,4,5,0,0,0,1,44
131578042,130570489,1200.0,0.40324232,0.050646383,0.5283113,0.0,255,190,6,4,1,0,1,1,0,1,36
131617692,131616538,1200.0,0.40324232,0.050646383,0.5283113,0.0,255,190,6,4,1,0,1,1,0,1,36
132057756,0,800000.0,0.05,0.0,0.0,0.80004627,0,0,0,0,4,5,0,0,0,1,44
132552796,132548536,1200.0,0.40324232,0.050652318,0.42806175,0.0,255,190,6,4,1,0,1,1,0,1,36
133060811,0,800000.0,0.05,0.0,0.0,0.70660233,0,0,0,0,4,5,0,0,0,1,44
133555819,132548536,1200.0,0.40324232,0.050635874,0.64138776,0.0,255,190,6,4,1,0,1,1,0,1,36
133566355,133564578,1200.0,0.40324232,0.050635874,0.64138776,0.0,255,190,6,4,1,0,1,1,0,1,36
134062650,0,800000.0,0.05,0.0,0.0,0.7550871,0,0,0,0,4,5,0,0,0,1,44
134489781,134489627,1200.0,0.40324232,0.07284564,0.46301886,0.0,255,190,6,4,1,0,1,1,0,1,36
135063811,0,800000.0,0.05,0.0,0.0,0.8678713,0,0,0,0,4,5,0,0,0,1,44
135489859,134489627,1200.0,0.40324232,0.050799694,0.6076042,0.0,255,190,6,4,1,0,1,1,0,1,36
135539763,135537778,1200.0,0.40324232,0.050799694,0.6076042,0.0,255,190,6,4,1,0,1,1,0,1,36
136068813,0,800000.0,0.05,0.0,0.0,0.7074687,0,0,0,0,4,5,0,0,0,1,44
136543644,135537778,1200.0,0.40324232,0.05098124,0.53180426,0.0,255,190,6,4,1,0,1,1,0,1,36
136563648,136558229,1200.0,0.40324232,0.05098124,0.53180426,0.0,255,190,6,4,1,0,1,1,0,1,36
137069666,0,800000.0,0.05,0.0,0.0,0.7103322,0,0,0,0,4,5,0,0,0,1,44
137566809,136558229,1200.0,0.40324232,0.050671495,0.47293395,0.0,255,190,6,4,1,0,1,1,0,1,36
137607800,137605397,1200.0,0.40324232,0.050671495,0.47293395,0.0,255,190,6,4,1,0,1,1,0,1,36
138069827,0,800000.0,0.05,0.0,0.0,0.7103322,0,0,0,0,4,5,0,0,0,1,44
138533372,138532989,1200.0,0.40324232,0.05053237,0.5598194,0.0,255,190,6,4,1,0,1,1,0,1,36
139070592,0,800000.0,0.05,0.0,0.0,0.81051975,0,0,0,0,4,5,0,0,0,1,44
139541325,138532989,1200.0,0.40324232,0.05055822,0.43817124,0.0,255,190,6,4,1,0,1,1,0,1,36
139560829,139551813,1200.0,0.40324232,0.05055822,0.43817124,0.0,255,190,6,4,1,0,1,1,0,1,36
