timestamp,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,_padding0[0],_padding0[1],_padding0[2],_padding0[3],_padding0[4],heartbeats[0].timestamp,heartbeats[0].system_id,heartbeats[0].component_id,heartbeats[0].type,heartbeats[0].state,heartbeats[0]._padding0[0],heartbeats[0]._padding0[1],heartbeats[0]._padding0[2],heartbeats[0]._padding0[3],heartbeats[1].timestamp,heartbeats[1].system_id,heartbeats[1].component_id,heartbeats[1].type,heartbeats[1].state,heartbeats[1]._padding0[0],heartbeats[1]._padding0[1],heartbeats[1]._padding0[2],heartbeats[1]._padding0[3],heartbeats[2].timestamp,heartbeats[2].system_id,heartbeats[2].component_id,heartbeats[2].type,heartbeats[2].state,heartbeats[2]._padding0[0],heartbeats[2]._padding0[1],heartbeats[2]._padding0[2],heartbeats[2]._padding0[3],heartbeats[3].timestamp,heartbeats[3].system_id,heartbeats[3].component_id,heartbeats[3].type,heartbeats[3].state,heartbeats[3]._padding0[0],heartbeats[3]._padding0[1],heartbeats[3]._padding0[2],heartbeats[3]._padding0[3]
1792134132,1200.0,0.62888896,0.046522304,0.98092777,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1792130813,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1793143347,1200.0,0.62888896,0.020841273,1.4132367,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1792130813,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1793183367,1200.0,0.62888896,0.020841273,1.4132367,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1793177934,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1794206099,1200.0,0.62888896,0.020932535,0.8901311,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1794203759,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1795128097,1200.0,0.62888896,0.0209408,1.2295241,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1795124300,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1796221449,1200.0,0.62888896,0.020952646,1.1753436,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1796211764,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1797203155,1200.0,0.62888896,0.020943515,0.91952,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1797197763,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1798124183,1200.0,0.62888896,0.020970976,1.0016137,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1798118822,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1799194099,1200.0,0.62888896,0.020799555,1.1905268,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1799184763,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800114173,1200.0,0.62888896,0.0209992,0.9419642,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1800112761,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1801114099,1200.0,0.62888896,0.020789135,1.2998159,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1801113250,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1802164158,1200.0,0.62888896,0.04654433,0.9724794,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1802160768,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1803194168,1200.0,0.62888896,0.020996429,1.3087775,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1803185759,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804114252,1200.0,0.62888896,0.020795578,1.0556232,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1804107768,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1805174252,1200.0,0.62888896,0.020999642,1.0529821,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1805166800,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1806124112,1200.0,0.62888896,0.020792428,1.2049707,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1806119147,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1807234599,1200.0,0.62888896,0.02099983,0.98299205,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1807226922,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1808174373,1200.0,0.62888896,0.020998446,1.1669136,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1808171795,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1809174242,1200.0,0.62888896,0.020793768,1.3446636,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1809173251,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810294099,1200.0,0.62888896,0.020999977,0.936999,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1810287761,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811164322,1200.0,0.62888896,0.02099752,1.1178681,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1811162011,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1812114314,1200.0,0.62888896,0.046537694,1.3198882,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1812111758,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813234432,1200.0,0.62888896,0.02079247,1.1812103,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1813228768,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814145102,1200.0,0.62888896,0.020979501,1.1189067,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1814137211,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815165113,1200.0,0.62888896,0.020791667,1.3732401,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1815161761,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1816255336,1200.0,0.62888896,0.020792717,0.8940868,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1816250776,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1817165190,1200.0,0.62888896,0.020791378,1.1365954,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1817155853,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1818165480,1200.0,0.62888896,0.020792758,1.2643977,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1818156755,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819235097,1200.0,0.62888896,0.020790473,1.0761545,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1819227763,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1820125163,1200.0,0.62888896,0.020793704,1.189202,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1820123754,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1821155157,1200.0,0.62888896,0.020792037,1.1386116,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1821150760,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822215258,1200.0,0.62888896,0.046999812,1.1409954,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1822212310,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1823225319,1200.0,0.62888896,0.020792203,1.199017,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1823224786,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1824145163,1200.0,0.62888896,0.02099832,1.1229101,0.0,0,0,1,1,1,1,38,0,0,0,0,0,1824144935,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
