timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
16665018,16663712,1.13370646e-10,8.218107e-06,0.00014418257,0.0004427931,0.00068408967,0.0029313685,68157971,0,0.08889495,0.6187139,0.00907628,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
16675068,16673696,1.1385121e-10,8.240136e-06,0.0001431726,0.0004312251,0.0010600103,0.0045446167,68157971,0,0.0897226,0.61082023,0.00907628,nan,nan,0.003791356,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
16865357,16863459,1.1875136e-10,8.402972e-06,0.0001385772,0.00018030647,0.00053370453,0.0008424277,68157971,0,0.087455854,0.612913,0.0044597243,nan,nan,0.0033247606,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
17064564,17063209,1.5984101e-08,6.8809895e-05,0.0012281351,0.0005605361,0.000906827,0.002919337,1049107,0,0.10392995,0.6072533,0.019594183,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
17264801,17262964,1.4799512e-07,0.00012123019,0.0020820524,0.00049352576,0.0011146956,0.0034763482,1049235,0,0.124023885,0.60177416,0.03785188,nan,nan,0.012753634,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
17464523,17462710,7.853734e-07,0.00036151332,0.008225615,0.001525016,0.0030279662,0.0015737058,1049235,0,0.14739253,0.6053646,0.030838037,nan,nan,0.009648899,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
17663692,17662462,8.2701985e-07,0.00071481185,0.015382796,0.0016394084,0.005587811,0.021457098,1049235,0,0.17595346,0.5998936,0.04635808,nan,nan,0.027383057,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
17864063,17862214,6.2392104e-07,0.0010206441,0.019177837,0.001574024,0.00389528,0.016288646,1049235,0,0.21219057,0.5946039,0.041945543,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
18063811,18061965,4.7750905e-07,0.0012226903,0.021286534,0.0008837686,0.0025998023,0.011406307,1049235,0,0.25817564,0.59801376,0.014411392,nan,nan,0.008167365,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
18273115,18271705,3.971614e-07,0.0014021593,0.026139366,0.001101322,0.00052597467,0.0018990414,1049235,0,0.318419,0.5943431,0.05183422,nan,nan,8.251336e-05,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,229,1,0,1,0,3,0,0,0,0,0,0,0
