timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
78771570,0.5871333,0.049720358,0.0075841513,0.8079263,-0.016831856,-0.008151166,0.0025293364,1.7096233,-0.83851755,0.21723098,2.1171225e-05,-2.6884295e-06,1.8002352e-06,0.0,0.0,0.0014885386,0.16391885,-0.06234515,-0.12824954,0.0,0.0,0.0,0.0,0.0,8.0552794e-11,9.358466e-06,0.0002113075,2.9426677e-05,3.3955184e-06,3.4941588e-06,1.5269361e-05,0.008241642,0.008239535,0.010981035,0.030202398,0.030201504,0.15067247,1.9539313e-11,1.9548377e-11,4.0862577e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034176893,0.000596815,0.0026136197,67109399,0.24577205,0.3881655,0.01879357,0.006846766,0.021686966,0.021686966,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
78781592,0.5871327,0.049722385,0.0075899824,0.8079266,-0.016778653,-0.008056893,0.0026741154,1.7094543,-0.8385991,0.21725714,2.1171225e-05,-2.6884295e-06,1.8002352e-06,0.0,0.0,0.0014885386,0.16391885,-0.06234515,-0.12824954,0.0,0.0,0.0,0.0,0.0,8.122366e-11,9.410952e-06,0.00021108448,2.9449848e-05,3.4049317e-06,3.503655e-06,1.528143e-05,0.008299476,0.008297345,0.011021849,0.03041376,0.030412842,0.15118799,1.9549314e-11,1.9558377e-11,4.0872576e-11,0.0,0.0,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032902308,0.00052723294,0.0025390806,67109399,0.24663049,0.388829,0.01879357,0.006846766,0.021686966,0.021686966,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
78972029,0.58713746,0.04970922,0.007578014,0.8079241,-0.018682668,-0.0055644307,0.0028713301,1.7024593,-0.84389806,0.2162317,2.1158623e-05,-2.6880984e-06,1.7844455e-06,0.0,0.0,0.0014896006,0.16391885,-0.06234515,-0.12824954,0.0,0.0,0.0,0.0,0.0,8.110048e-11,9.233723e-06,0.00019750698,2.941929e-05,3.3957906e-06,3.494208e-06,1.5269266e-05,0.008243419,0.0082413135,0.011023458,0.030212844,0.030211952,0.15206203,1.9537927e-11,1.9547057e-11,4.075152e-11,0.0,0.0,5.0000292e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.674697e-05,0.001094989,0.0031998346,67109399,0.24581456,0.38995132,0.073737375,0.006620357,0.019418523,0.019418523,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
79172488,0.58691275,0.049660604,0.007584529,0.8080902,-0.018958278,-0.0055025755,0.0040833643,1.6979173,-0.85124564,0.21731167,2.1159505e-05,-2.7310869e-06,1.5905617e-06,0.0,0.0,0.0014895871,0.16391885,-0.06234515,-0.12824954,0.0,0.0,0.0,0.0,0.0,7.5946215e-11,8.814597e-06,0.00019445118,2.9354547e-05,3.3958786e-06,3.4938962e-06,1.5238467e-05,0.008243676,0.008241582,0.011010793,0.030212231,0.030211337,0.15157384,1.953622e-11,1.9545447e-11,4.0604405e-11,0.0,0.0,5.0000207e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063987705,0.0014442229,0.0016107189,67109399,0.24581206,0.38932484,0.018632716,0.016771128,0.021216616,0.021216616,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
79372949,0.58672893,0.04966681,0.007581304,0.8082234,-0.020088103,-0.0035636823,0.0045960345,1.6921434,-0.8558796,0.21998926,2.1155054e-05,-2.7456397e-06,1.4276835e-06,0.0,0.0,0.001490034,0.16391885,-0.06234515,-0.12824954,0.0,0.0,0.0,0.0,0.0,7.8191974e-11,8.792085e-06,0.00019797293,2.929034e-05,3.3959366e-06,3.493686e-06,1.5208076e-05,0.008244141,0.008242055,0.01099768,0.030211749,0.03021084,0.15108398,1.953453e-11,1.9543837e-11,4.0460062e-11,0.0,0.0,5.0000093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008496055,0.0006770037,0.0019651973,67109399,0.24581006,0.3886952,0.016241614,0.00874694,0.018736612,0.018736612,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
79573412,0.5865302,0.049650535,0.007604428,0.80836827,-0.020199267,-0.0029348203,0.0059688454,1.6863204,-0.861361,0.22632962,2.1150096e-05,-2.775834e-06,1.2656475e-06,0.0,0.0,0.0014898607,0.16391885,-0.06234515,-0.12824954,0.0,0.0,0.0,0.0,0.0,7.4781466e-11,8.689278e-06,0.00019233012,2.92276e-05,3.3959898e-06,3.4934183e-06,1.5177114e-05,0.00824446,0.008242378,0.010984605,0.030211389,0.030210482,0.15059899,1.953287e-11,1.9542238e-11,4.03183e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008346476,0.0011218328,0.005749391,67109399,0.2458086,0.38807085,0.078877345,0.011607177,0.017242283,0.017242283,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
79773870,0.58637416,0.049603093,0.007613225,0.8084844,-0.01972332,-0.0017095116,0.004017413,1.6819336,-0.86577874,0.2215129,2.1160839e-05,-2.8030604e-06,1.1263473e-06,0.0,0.0,0.0014930561,0.16391885,-0.06234515,-0.12824954,0.0,0.0,0.0,0.0,0.0,7.126823e-11,8.511752e-06,0.00019310693,2.9165052e-05,3.396045e-06,3.4930454e-06,1.5147087e-05,0.008244952,0.008242869,0.0110263955,0.03021113,0.030210229,0.15198761,1.9531238e-11,1.9540654e-11,4.0179193e-11,0.0,0.0,5.0000295e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078741816,0.0021484676,0.0018935535,67109399,0.24580756,0.3898559,0.06940574,0.018558875,0.015405647,0.015405647,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
79974329,0.5861004,0.04956436,0.0076450333,0.8086849,-0.019511795,-0.0012056546,0.002795606,1.6761634,-0.87057066,0.21986924,2.115004e-05,-2.8424727e-06,8.866206e-07,0.0,0.0,0.0014944469,0.16391885,-0.06234515,-0.12824954,0.0,0.0,0.0,0.0,0.0,7.141664e-11,8.477677e-06,0.00018378883,2.9102723e-05,3.3960564e-06,3.4926727e-06,1.5117676e-05,0.008245544,0.008243458,0.011013084,0.030210963,0.030210067,0.15149988,1.9529612e-11,1.953907e-11,4.004258e-11,0.0,0.0,5.000012e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010371853,0.0018856078,0.0022888728,67109399,0.24580689,0.38922986,0.030041255,0.011934097,0.015090319,0.015090319,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
80174794,0.5858743,0.04957972,0.0076358477,0.8088479,-0.019135697,0.0008934759,0.0041273376,1.6688149,-0.8728531,0.22488211,2.113513e-05,-2.8529446e-06,6.915531e-07,0.0,0.0,0.0014938272,0.16391885,-0.06234515,-0.12824954,0.0,0.0,0.0,0.0,0.0,7.309485e-11,8.7002e-06,0.00018755083,2.9041545e-05,3.3960262e-06,3.4924258e-06,1.5088115e-05,0.008245818,0.008243718,0.010999803,0.030210879,0.030209985,0.15101673,1.9528027e-11,1.9537523e-11,3.9908563e-11,0.0,0.0,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010372503,0.00020727805,0.0030877318,67109399,0.24580656,0.3886087,0.06984911,0.0057811947,0.016933642,0.016933642,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
80375249,0.5857679,0.049563173,0.007643417,0.8089259,-0.019703196,0.0020201888,0.0056698984,1.6617893,-0.8751349,0.22333087,2.1123706e-05,-2.8617028e-06,6.019197e-07,0.0,0.0,0.0014937909,0.16391885,-0.06234515,-0.12824954,0.0,0.0,0.0,0.0,0.0,7.515892e-11,8.52543e-06,0.00019971484,2.8981693e-05,3.3914955e-06,3.4875284e-06,1.5058218e-05,0.008222977,0.00822088,0.011035599,0.030162944,0.030162055,0.15239997,1.9521437e-11,1.9530972e-11,3.9776942e-11,0.0,0.0,5.000024e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007205524,0.00083369133,0.0035390093,67109399,0.24561147,0.39038438,0.020385271,0.0043834317,0.014323733,0.014323733,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
