timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
550235099,550233349,2.3652612e-08,0.00029685406,0.0050870273,0.00010470163,0.0014115928,0.004016216,1049111,0,0.29290986,0.39244446,0.00160185,0.009628559,0.027820943,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
550434335,550433138,2.1582817e-08,0.00028051398,0.004763669,7.559779e-05,0.0017218423,0.004720037,1049111,0,0.29319096,0.39176577,0.0032850623,0.01205658,0.028020658,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
550634609,550632926,1.9392722e-08,0.00027354492,0.004366353,0.0003675255,0.00093678676,0.00271713,1049111,0,0.2934633,0.39355108,0.03944647,0.0134251565,0.030340822,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
550834522,550832715,1.8590452e-08,0.0002559317,0.0039548622,4.6646208e-05,0.0012619402,0.003750488,1049111,0,0.29375654,0.3928672,0.011662616,0.015447788,0.027901994,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
551034309,551032504,1.9760089e-08,0.00024936034,0.003717181,0.00011309463,0.0020980472,0.00539617,1049111,0,0.29404008,0.3921912,0.008790339,0.027317753,0.02846295,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
551234075,551232293,2.1737636e-08,0.00025387315,0.003631053,4.3593835e-05,0.00206197,0.005321167,1049111,0,0.29431447,0.391506,0.016998632,0.021555573,0.02836954,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
551433519,551432081,2.4991555e-08,0.00027838667,0.00424109,9.307072e-05,0.0020581752,0.0054965634,1049111,0,0.2945804,0.39329702,0.0069743427,0.02173101,0.031896602,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
551633709,551631870,2.7351232e-08,0.00029421505,0.004176771,0.00017904332,0.0019588617,0.0058650128,1049111,0,0.2948393,0.39261496,0.0069573917,0.030114144,0.032434203,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
551833569,551831659,2.8187044e-08,0.00029119736,0.004082383,6.7601555e-05,0.0028929182,0.007163521,1049111,0,0.29509154,0.3919239,0.011842306,0.038825177,0.02918842,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
552033590,552031450,2.9080283e-08,0.0002973626,0.0041651353,0.00012561244,0.0031516226,0.0079487385,1049111,0,0.29533848,0.39124122,0.034125846,0.04191312,0.029838212,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
552233199,552231236,3.0937915e-08,0.00032086694,0.004662723,8.68331e-05,0.0024631212,0.0070317783,1049111,0,0.29555184,0.39303,0.026737813,0.033745263,0.032193325,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
552432978,552431025,3.29339e-08,0.00033726863,0.0046264976,0.00014962179,0.002751515,0.006638758,1049111,0,0.29579344,0.39234206,0.015267987,0.039403193,0.031090084,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
552637749,552635808,3.3676542e-08,0.00034568217,0.004631871,4.0760526e-05,0.0017827887,0.00489794,1049111,0,0.29600263,0.39165384,0.00033523826,0.03505552,0.035206866,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
552836989,552835596,3.4608785e-08,0.00035817907,0.0048264745,0.00012755067,0.0016413204,0.004378307,1049111,0,0.29622075,0.39098248,0.0059039267,0.038509164,0.03517275,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
553036581,553035392,3.3057265e-08,0.00036842265,0.0050255246,1.7887196e-05,0.0014312746,0.0026500516,1049111,0,0.29643285,0.39277694,0.012614343,0.027400993,0.035358556,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
553236372,553235173,2.8817533e-08,0.0003672108,0.00496606,0.00010108882,0.0012828023,0.0018320217,1049111,0,0.29661557,0.3921076,0.028817251,0.032874797,0.03853455,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
553436407,553434962,2.3709925e-08,0.00033265576,0.004784736,1.0437549e-05,0.00076861435,0.001641963,1049111,0,0.29677254,0.39142865,0.03249489,0.033696704,0.03860489,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
553636454,553634750,2.1421899e-08,0.00030310047,0.004517267,0.00015709219,0.0015430185,0.001841776,1049111,0,0.29690638,0.3932159,0.011069406,0.027933365,0.04109218,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
553836372,553834538,2.0140469e-08,0.00027620673,0.004380069,4.5320747e-05,0.00020990339,0.00086691556,1049111,0,0.2970493,0.3925399,0.00017357213,0.033425245,0.040212024,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
554035528,554034327,2.2207994e-08,0.00027712094,0.004589239,6.714011e-05,0.0013141938,0.0025614623,1049111,0,0.29717165,0.391863,0.012950559,0.018099755,0.04250117,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
554235958,554234116,2.4853618e-08,0.00029178924,0.0050201826,7.996838e-05,0.0015452806,0.0027034306,1049111,0,0.2972465,0.39119348,0.022018885,0.041149963,0.041983895,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
554435616,554433904,2.834476e-08,0.000321191,0.0056877113,0.00030584005,0.0011503068,0.002444091,1049111,0,0.29730952,0.3929855,0.03904715,0.02851924,0.04182359,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
554635412,554633692,2.8054115e-08,0.00033974394,0.005981698,0.0002099351,0.0010399728,0.002307388,1049111,0,0.29736182,0.3923015,0.018919988,0.02517079,0.04131429,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
554834891,554833481,3.107988e-08,0.0003777984,0.005844862,8.370177e-05,0.0018918935,0.0034632601,1049111,0,0.29740515,0.39161685,0.032573823,0.028377628,0.037210047,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
555035087,555033268,2.5544887e-08,0.00033996432,0.005647016,0.00015814677,0.001021683,0.0026995526,1049111,0,0.29744154,0.39340216,0.027143048,0.039294824,0.03753427,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
555234465,555233060,2.2792372e-08,0.0003151275,0.005477251,5.148253e-05,0.00070705917,0.0028615054,1049111,0,0.29744273,0.39272106,0.035942648,0.030125322,0.037164018,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
555434690,555432846,2.1544684e-08,0.00029802707,0.0053448295,8.558516e-05,0.001951592,0.004490869,1049111,0,0.29744166,0.39203918,0.00069397857,0.03342058,0.03346849,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
555634488,555632632,2.1602366e-08,0.00027975958,0.0047808643,0.00015804586,0.0015762638,0.004750783,1049111,0,0.29743904,0.39135677,0.004946084,0.03472671,0.034257412,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
555834231,555832420,2.2490454e-08,0.00028552933,0.004853357,0.00018195066,0.0014435807,0.0047036237,1049111,0,0.29743612,0.39314786,0.011076015,0.03674552,0.031378996,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
556034046,556032207,2.3818847e-08,0.0002960784,0.004934082,0.00011157988,0.001257413,0.0045347363,1049111,0,0.29743242,0.39246008,0.026542462,0.042999074,0.031724166,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
556233695,556231995,2.5644423e-08,0.00030471152,0.00484819,8.9277484e-05,0.0017543335,0.0044769226,1049111,0,0.29739878,0.3917721,0.008475359,0.043092486,0.031361323,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
556433666,556431782,2.4105322e-08,0.00028767606,0.0049929405,0.0001608842,0.0009428118,0.0040808255,1049111,0,0.29736826,0.3935571,0.03801688,0.045281865,0.032265384,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
556633265,556631570,2.2487468e-08,0.00027443847,0.00467522,0.00014950182,0.0010688731,0.0041629677,1049111,0,0.29731134,0.39287278,0.080276385,0.031742606,0.029405432,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
556833278,556831359,2.5819888e-08,0.00030901254,0.0049876124,0.00020419835,0.0015656985,0.004931871,535,0,0.29717064,0.3921801,0.005872716,0.024276286,0.026866816,1.1754944e-38,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
557033013,557031159,2.11737e-08,0.0002660968,0.004819465,2.4506804e-05,0.0046861735,0.031712517,535,0,0.29704234,0.391487,0.0057237213,0.033805717,0.027004844,0.04863262,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
557232900,557230937,1.6904293e-08,0.00023166071,0.004204234,0.00011930853,0.0041647987,0.028520243,535,0,0.29689714,0.39326122,0.057483412,0.031212222,0.02610804,0.027339358,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
557432813,557430721,1.2169818e-08,0.0001795577,0.003292605,0.00015910622,0.002747823,0.022090938,535,0,0.2967672,0.392555,0.046701018,0.022378327,0.024422377,0.029030126,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
557632258,557630509,8.62391e-09,0.00013892846,0.0026030228,0.00012087819,0.0028575643,0.021003123,535,0,0.2967398,0.39186552,0.010249136,0.026045013,0.025053378,0.030222392,0.0,0.0,0.0,0.0,3801098,3801098,3997714,527625,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
