timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
652660781,1,0,1,0,0,0,0,0
653165288,1,0,1,0,0,0,0,0
653675170,1,0,1,0,0,0,0,0
654185183,1,0,1,0,0,0,0,0
654695982,1,0,1,0,0,0,0,0
655206940,1,0,1,0,0,0,0,0
655717148,1,0,1,0,0,0,0,0
656225988,1,0,1,0,0,0,0,0
656726098,1,0,1,0,0,0,0,0
657236981,1,0,1,0,0,0,0,0
657746984,1,0,1,0,0,0,0,0
658247087,1,0,1,0,0,0,0,0
658747978,1,0,1,0,0,0,0,0
659257427,1,0,1,0,0,0,0,0
659757948,1,0,1,0,0,0,0,0
660267939,1,0,1,0,0,0,0,0
660768316,1,0,1,0,0,0,0,0
661275688,1,0,1,0,0,0,0,0
661778941,1,0,1,0,0,0,0,0
662285404,1,0,1,0,0,0,0,0
662794223,1,0,1,0,0,0,0,0
663295918,1,0,1,0,0,0,0,0
663800135,1,0,1,0,0,0,0,0
664310940,1,0,1,0,0,0,0,0
664818981,1,0,1,0,0,0,0,0
665323185,1,0,1,0,0,0,0,0
665833018,1,0,1,0,0,0,0,0
666342341,1,0,1,0,0,0,0,0
666851982,1,0,1,0,0,0,0,0
667361943,1,0,1,0,0,0,0,0
667862026,1,0,1,0,0,0,0,0
668370003,1,0,1,0,0,0,0,0
668878074,1,0,1,0,0,0,0,0
669382980,1,0,1,0,0,0,0,0
669887148,1,0,1,0,0,0,0,0
670387985,1,0,1,0,0,0,0,0
670888353,1,0,1,0,0,0,0,0
671395404,1,0,1,0,0,0,0,0
671896988,1,0,1,0,0,0,0,0
672398946,1,0,1,0,0,0,0,0
672899371,1,0,1,0,0,0,0,0
673408261,1,0,1,0,0,0,0,0
673913007,1,0,1,0,0,0,0,0
674416103,1,0,1,0,0,0,0,0
674926068,1,0,1,0,0,0,0,0
675437235,1,0,1,0,0,0,0,0
675939532,1,0,1,0,0,0,0,0
676439964,1,0,1,0,0,0,0,0
676940949,1,0,1,0,0,0,0,0
677451319,1,0,1,0,0,0,0,0
677963246,1,0,1,0,0,0,0,0
678472754,1,0,1,0,0,0,0,0
678983233,1,0,1,0,0,0,0,0
679493139,1,0,1,0,0,0,0,0
680003942,1,0,1,0,0,0,0,0
680512977,1,0,1,0,0,0,0,0
681022941,1,0,1,0,0,0,0,0
681524217,1,0,1,0,0,0,0,0
682035068,1,0,1,0,0,0,0,0
682445314,0,0,1,0,0,0,0,0
682950136,0,0,1,0,0,0,0,0
