timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
1792327353,1792327,1,1,1,0,0,0,0,0
1792831895,1792327,1,1,1,0,0,0,0,0
1793338077,1792327,1,1,1,0,0,0,0,0
1793838121,1792327,1,1,1,0,0,0,0,0
1794344187,1792327,1,1,1,0,0,0,0,0
1794851111,1792327,1,1,1,0,0,0,0,0
1795359435,1792327,1,1,1,0,0,0,0,0
1795866081,1792327,1,1,1,0,0,0,0,0
1796375577,1792327,1,1,1,0,0,0,0,0
1796882507,1792327,1,1,1,0,0,0,0,0
1797388191,1792327,1,1,1,0,0,0,0,0
1797894532,1792327,1,1,1,0,0,0,0,0
1798401415,1792327,1,1,1,0,0,0,0,0
1798908118,1792327,1,1,1,0,0,0,0,0
1799415141,1792327,1,1,1,0,0,0,0,0
1799921083,1792327,1,1,1,0,0,0,0,0
1800427143,1792327,1,1,1,0,0,0,0,0
1800669193,1792327,1,1,1,0,0,0,0,0
1801176082,1792327,1,1,1,0,0,0,0,0
1801683121,1792327,1,1,1,0,0,0,0,0
1802192093,1792327,1,1,1,0,0,0,0,0
1802700267,1792327,1,1,1,0,0,0,0,0
1803206121,1792327,1,1,1,0,0,0,0,0
1803713081,1792327,1,1,1,0,0,0,0,0
1804221150,1792327,1,1,1,0,0,0,0,0
1804728082,1792327,1,1,1,0,0,0,0,0
1805237083,1792327,1,1,1,0,0,0,0,0
1805746082,1792327,1,1,1,0,0,0,0,0
1806255239,1792327,1,1,1,0,0,0,0,0
1806761083,1792327,1,1,1,0,0,0,0,0
1807267082,1792327,1,1,1,0,0,0,0,0
1807776088,1792327,1,1,1,0,0,0,0,0
1808282079,1792327,1,1,1,0,0,0,0,0
1808790083,1792327,1,1,1,0,0,0,0,0
1809298080,1792327,1,1,1,0,0,0,0,0
1809805084,1792327,1,1,1,0,0,0,0,0
1810312318,1792327,1,1,1,0,0,0,0,0
1810819237,1792327,1,1,1,0,0,0,0,0
1811325082,1792327,1,1,1,0,0,0,0,0
1811835122,1792327,1,1,1,0,0,0,0,0
1812343201,1792327,1,1,1,0,0,0,0,0
1812630059,1792327,1,1,1,0,0,0,0,0
1813139583,1792327,1,1,1,0,0,0,0,0
1813648386,1792327,1,1,1,0,0,0,0,0
1814158218,1792327,1,1,1,0,0,0,0,0
1814666112,1792327,1,1,1,0,0,0,0,0
1815173080,1792327,1,1,1,0,0,0,0,0
1815681112,1792327,1,1,1,0,0,0,0,0
1816188157,1792327,1,1,1,0,0,0,0,0
1816695077,1792327,1,1,1,0,0,0,0,0
1817203077,1792327,1,1,1,0,0,0,0,0
1817710761,1792327,1,1,1,0,0,0,0,0
1818216417,1792327,1,1,1,0,0,0,0,0
1818725079,1792327,1,1,1,0,0,0,0,0
1819176178,1792327,1,1,1,0,1,0,0,0
1819686113,1792327,1,1,1,0,1,0,0,0
1820193076,1792327,1,1,1,0,1,0,0,0
1820700077,1792327,1,1,1,0,1,0,0,0
1821206234,1792327,1,1,1,0,1,0,0,0
1821714140,1792327,1,1,1,0,1,0,0,0
1822221079,1792327,1,1,1,0,1,0,0,0
1822729180,1792327,1,1,1,0,1,0,0,0
1823235170,1792327,1,1,1,0,1,0,0,0
1823744114,1792327,1,1,1,0,1,0,0,0
1824196838,0,0,1,1,0,1,0,0,0
1824211127,0,0,1,1,0,1,0,0,0
1824228189,0,0,1,1,0,1,0,0,0
1824421166,0,0,1,1,0,1,0,0,0
1824922114,0,0,1,1,0,1,0,0,0
