timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
82225590,82225,1,1,1,0,0,0,0,0
82730171,82225,1,1,1,0,0,0,0,0
83236118,82225,1,1,1,0,0,0,0,0
83745470,82225,1,1,1,0,0,0,0,0
84252115,82225,1,1,1,0,0,0,0,0
84758221,82225,1,1,1,0,0,0,0,0
85265121,82225,1,1,1,0,0,0,0,0
85773085,82225,1,1,1,0,0,0,0,0
86279340,82225,1,1,1,0,0,0,0,0
86786117,82225,1,1,1,0,0,0,0,0
87292085,82225,1,1,1,0,0,0,0,0
87800292,82225,1,1,1,0,0,0,0,0
88310371,82225,1,1,1,0,0,0,0,0
88816088,82225,1,1,1,0,0,0,0,0
89323406,82225,1,1,1,0,0,0,0,0
89830088,82225,1,1,1,0,0,0,0,0
90336121,82225,1,1,1,0,0,0,0,0
90842494,82225,1,1,1,0,0,0,0,0
91349083,82225,1,1,1,0,0,0,0,0
91855085,82225,1,1,1,0,0,0,0,0
92297441,0,0,1,1,0,0,0,0,0
92808105,0,0,1,1,0,0,0,0,0
